MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,PLAYER_ID,PLAYER,PLAYER_NAME,IS_STARTER,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS,TS%,eFG%,3PAr,FTr,PPS_2,PPS_3,FTA_PER_PFD,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
2486258,1,979989,HLA ALICANTE,HOME,1869378,U. Mendicote Rubio,U. Mendicote Rubio,0,18.4,1106.0,10.0,5.0,6.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,5.0,83.3,83.3,0.0,0.0,1.7,0.0,0.0,0.0,22.5,11.6,0.0,0.0,0.0,14.3,19.8
2486258,1,979989,HLA ALICANTE,HOME,2734619,J. Mwema,J. Mwema,1,28.8,1730.0,8.0,1.0,2.0,2.0,5.0,3.0,7.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,9.0,18.0,57.1,57.1,71.4,0.0,1.0,1.2,0.0,5.1,9.6,7.4,11.1,2.0,0.0,0.0,12.7
2486258,1,979989,HLA ALICANTE,HOME,2818653,B. Coulibaly,B. Coulibaly,0,4.7,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,15.2,33.3,0.0,0.0,0.0,0.0
2486258,1,979989,HLA ALICANTE,HOME,2433482,K. Larsen,K. Larsen,1,30.0,1799.0,16.0,3.0,6.0,2.0,3.0,5.0,9.0,4.0,6.0,2.0,3.0,5.0,6.0,3.0,2.0,0.0,1.0,2.0,3.0,21.0,15.0,68.7,66.7,33.3,66.7,1.0,2.0,2.0,9.9,13.8,11.9,31.6,3.8,0.0,20.5,25.5
2486258,1,979989,HLA ALICANTE,HOME,1997161,I. Tamba Villen,I. Tamba Villen,0,8.2,490.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,17.4,0.0,0.0,0.0,33.3,19.1
2486258,1,979989,HLA ALICANTE,HOME,1676991,A. Jorda Rodriguez,A. Jorda Rodriguez,0,20.3,1219.0,12.0,1.0,4.0,2.0,2.0,3.0,6.0,4.0,4.0,2.0,4.0,6.0,0.0,1.0,2.0,0.0,1.0,5.0,2.0,13.0,9.0,77.3,66.7,33.3,66.7,0.5,3.0,2.0,14.6,27.2,21.1,0.0,5.6,0.0,11.4,22.5
2486258,1,979989,HLA ALICANTE,HOME,2736303,J. Walker,J. Walker,0,29.8,1790.0,16.0,3.0,5.0,2.0,6.0,5.0,11.0,4.0,6.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,4.0,17.0,34.0,58.7,54.5,54.5,54.5,1.2,1.0,1.5,5.0,4.6,4.8,25.0,1.9,0.0,0.0,23.9
2486258,1,979989,HLA ALICANTE,HOME,2817123,D. Geu,D. Geu,1,18.4,1105.0,10.0,4.0,7.0,0.0,0.0,4.0,7.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,-10.0,63.5,57.1,0.0,28.6,1.1,0.0,1.0,8.1,7.5,7.8,0.0,0.0,0.0,0.0,22.3
2486258,1,979989,HLA ALICANTE,HOME,1285873,M. Torres Cuevas,M. Torres Cuevas,1,24.9,1494.0,12.0,3.0,4.0,1.0,3.0,4.0,7.0,3.0,4.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,5.0,13.0,-11.0,68.5,64.3,42.9,57.1,1.5,1.0,0.8,0.0,11.1,5.7,21.4,0.0,0.0,18.6,22.5
2486258,1,979989,HLA ALICANTE,HOME,2735928,B. Davison,B. Davison,1,16.5,988.0,3.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,4.0,2.0,4.0,0.0,50.0,50.0,66.7,0.0,0.0,1.5,0.0,0.0,0.0,0.0,45.5,3.4,0.0,25.0,12.6
