MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,P1_ID,P1_NAME,P1_POS,P2_ID,P2_NAME,P2_POS,P3_ID,P3_NAME,P3_POS,P4_ID,P4_NAME,P4_POS,P5_ID,P5_NAME,P5_POS,MINUTES,SECONDS,PTS_FOR,PTS_AGAINST,PLUS_MINUS,PTS_FOR_PER40,PTS_AGT_PER40,NET_PER40
2486258,1,979989,HLA ALICANTE,HOME,1285873,M. Torres Cuevas,SF,1869378,U. Mendicote Rubio,SF,1676991,A. Jorda Rodriguez,SF,2817123,D. Geu,SF,1997161,I. Tamba Villen,SF,1.7,99.0,0.0,8.0,-8.0,0.0,193.9,-193.9
2486258,1,979989,HLA ALICANTE,HOME,2433482,K. Larsen,SF,1285873,M. Torres Cuevas,SF,2734619,J. Mwema,SF,1676991,A. Jorda Rodriguez,SF,2817123,D. Geu,SF,0.9,57.0,1.0,2.0,-1.0,42.1,84.2,-42.1
2486258,1,979989,HLA ALICANTE,HOME,2433482,K. Larsen,SF,2735928,B. Davison,SF,1285873,M. Torres Cuevas,SF,1869378,U. Mendicote Rubio,SF,1997161,I. Tamba Villen,SF,1.7,101.0,4.0,5.0,-1.0,95.0,118.8,-23.8
2486258,1,979989,HLA ALICANTE,HOME,2433482,K. Larsen,SF,2735928,B. Davison,SF,1285873,M. Torres Cuevas,SF,2734619,J. Mwema,SF,2817123,D. Geu,SF,0.9,56.0,4.0,1.0,3.0,171.4,42.9,128.6
2486258,1,979989,HLA ALICANTE,HOME,2735928,B. Davison,SF,2433482,K. Larsen,SF,1285873,M. Torres Cuevas,SF,2734619,J. Mwema,SF,2817123,D. Geu,SF,5.0,297.0,7.0,16.0,-9.0,56.6,129.3,-72.7
2486258,1,979989,HLA ALICANTE,HOME,2736303,J. Walker,SF,1285873,M. Torres Cuevas,SF,1869378,U. Mendicote Rubio,SF,1676991,A. Jorda Rodriguez,SF,1997161,I. Tamba Villen,SF,1.3,78.0,3.0,4.0,-1.0,92.3,123.1,-30.8
2486258,1,979989,HLA ALICANTE,HOME,2736303,J. Walker,SF,1285873,M. Torres Cuevas,SF,2734619,J. Mwema,SF,2817123,D. Geu,SF,1997161,I. Tamba Villen,SF,1.6,98.0,2.0,0.0,2.0,49.0,0.0,49.0
2486258,1,979989,HLA ALICANTE,HOME,2736303,J. Walker,SF,2433482,K. Larsen,SF,1285873,M. Torres Cuevas,SF,1869378,U. Mendicote Rubio,SF,1676991,A. Jorda Rodriguez,SF,2.5,149.0,7.0,2.0,5.0,112.8,32.2,80.5
2486258,1,979989,HLA ALICANTE,HOME,2736303,J. Walker,SF,2433482,K. Larsen,SF,1285873,M. Torres Cuevas,SF,2734619,J. Mwema,SF,1676991,A. Jorda Rodriguez,SF,5.6,335.0,19.0,10.0,9.0,136.1,71.6,64.5
2486258,1,979989,HLA ALICANTE,HOME,2736303,J. Walker,SF,2433482,K. Larsen,SF,1285873,M. Torres Cuevas,SF,2734619,J. Mwema,SF,2817123,D. Geu,SF,2.2,134.0,2.0,5.0,-3.0,35.8,89.6,-53.7
2486258,1,979989,HLA ALICANTE,HOME,2736303,J. Walker,SF,2433482,K. Larsen,SF,2734619,J. Mwema,SF,1676991,A. Jorda Rodriguez,SF,2817123,D. Geu,SF,2.5,153.0,5.0,5.0,0.0,78.4,78.4,0.0
