PLAYER_ID,PLAYER_NAME,TEAM,POSITION,ROLE_NAME,MIN,PTS,eFG%,TS%,TOV%,ORB%,FTr,USG%,AST%,STL%,BLK%,2PT%,3PT%,FT%,DRB%,3PAr
1251001,C. Diaz,MELILLA CIUDAD DEL DEPORTE,PG,Offensive Engine,483.2,167.0,54.4,50.5,21.4,3.4,49.3,20.1,24.8,1.9,0.0,34.6,31.0,88.1,6.9,42.6
1253254,A. Muñoz,SÚPER AGROPAL PALENCIA,SF,3&D Wing,275.6,106.0,69.4,53.4,5.7,5.1,23.3,18.0,8.2,1.6,0.7,45.7,34.5,81.0,13.4,61.1
1285873,M. Torres,HLA ALICANTE,PG,High Volume Scorer,545.0,229.0,64.5,58.1,13.6,3.8,42.8,20.5,24.0,1.5,0.2,46.9,38.6,81.7,7.1,42.2
1382456,V. Arteaga,HESTIA MENORCA,C,Traditional Center,274.6,114.0,55.5,58.8,21.8,13.8,41.5,22.0,2.0,0.6,2.5,55.6,0.0,70.6,16.5,1.2
1382710,I. Cruz,MELILLA CIUDAD DEL DEPORTE,PF,Stretch Big,300.6,160.0,69.0,59.6,14.6,9.7,9.3,23.7,21.2,1.0,0.2,50.6,46.2,83.3,33.2,40.3
1384223,A. Martin,GRUPO CAESA SEGUROS FC CARTAGENA CB,PG,Offensive Engine,399.0,106.0,59.5,43.9,25.3,2.5,34.3,19.5,34.6,2.9,0.0,41.7,24.6,66.7,9.6,54.3
1442713,P. Hernandez,GRUPO ALEGA CANTABRIA,SF,High Volume Scorer,430.8,147.0,69.3,56.7,14.5,3.5,20.2,17.0,8.2,0.9,0.1,40.4,41.8,87.5,10.6,56.3
1447983,M. Motos,INVEREADY GIPUZKOA,SG,3&D Wing,303.8,55.0,62.9,45.0,21.8,6.7,12.1,12.3,11.8,2.3,0.0,48.1,25.8,71.4,14.0,53.4
1491674,G. Coll,LEYMA CORUÑA,SF,Shooter Specialist,468.2,181.0,84.8,64.4,5.4,7.7,34.4,14.3,6.7,2.2,0.1,59.3,42.1,69.0,15.2,77.9
1509876,A. Aramburu,FIBWI MALLORCA BASQUET PALMA,PF,3&D Wing,666.5,192.0,67.5,55.9,14.5,6.8,51.4,14.4,10.5,2.8,1.4,57.8,31.6,58.3,22.1,40.7
1517914,S. Garcia Calvo,MOVISTAR ESTUDIANTES,PG,Offensive Engine,300.1,88.0,69.6,55.6,25.4,4.8,33.3,17.5,25.8,2.0,0.4,44.8,37.5,73.9,15.3,58.0
