MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,POSS,PACE,O_RTG,D_RTG,NET_RTG,TS%,eFG%,TOV%,ORB%,DRB%,TRB%,AST_TOV_RATIO,FTr,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS
2486258,1,981493,CLUB OURENSE BALONCESTO,AWAY,70.8,70.2,107.3,124.9,-17.6,52.9,50.8,11.1,34.5,74.1,53.6,1.4,31.7,200,12000.0,76.0,20.0,37.0,8.0,26.0,28.0,63.0,12.0,20.0,10.0,20.0,30.0,13.0,9.0,5.0,4.0,0.0,21.0,20.0,75.0,-55.0
2486258,1,979989,HLA ALICANTE,HOME,69.7,70.2,124.9,107.3,17.6,64.3,60.3,11.7,25.9,65.5,46.4,2.3,37.9,200,12000.0,87.0,20.0,37.0,10.0,21.0,30.0,58.0,17.0,22.0,7.0,19.0,26.0,21.0,9.0,7.0,0.0,4.0,21.0,21.0,99.0,55.0
2486259,1,981300,HESTIA MENORCA,HOME,69.9,70.0,138.8,109.7,29.1,74.8,69.8,17.7,37.5,74.2,58.2,1.5,50.9,200,12000.0,97.0,10.0,22.0,18.0,31.0,28.0,53.0,23.0,27.0,9.0,23.0,32.0,21.0,14.0,5.0,0.0,0.0,24.0,22.0,110.0,100.0
2486259,1,981421,MONBUS OBRADOIRO,AWAY,70.2,70.0,109.7,138.8,-29.1,56.5,49.1,12.8,25.8,62.5,41.8,1.6,54.5,200,12000.0,77.0,21.0,33.0,4.0,22.0,25.0,55.0,23.0,30.0,8.0,15.0,23.0,16.0,10.0,10.0,0.0,0.0,22.0,24.0,81.0,-100.0
2486260,1,981215,PALMER BASKET MALLORCA PALMA,HOME,69.0,71.3,100.1,106.2,-6.1,53.1,52.5,19.8,35.3,58.3,47.1,0.9,14.8,200,12000.0,69.0,14.0,26.0,12.0,35.0,26.0,61.0,5.0,9.0,12.0,21.0,33.0,14.0,16.0,3.0,6.0,2.0,17.0,14.0,67.0,-45.0
2486260,1,981343,SÚPER AGROPAL PALENCIA,AWAY,73.5,71.2,106.2,100.1,6.1,49.7,47.9,11.3,41.7,64.7,52.9,1.5,23.9,200,12000.0,78.0,22.0,43.0,8.0,28.0,30.0,71.0,10.0,17.0,15.0,22.0,37.0,15.0,10.0,11.0,2.0,6.0,14.0,17.0,88.0,45.0
2486261,1,979920,GRUPO URETA TIZONA BURGOS,HOME,79.6,82.2,133.2,107.3,25.9,69.2,66.4,13.5,34.6,79.3,58.2,1.9,21.4,200,12000.0,106.0,30.0,42.0,11.0,28.0,41.0,70.0,13.0,15.0,9.0,23.0,32.0,23.0,12.0,8.0,2.0,0.0,22.0,16.0,122.0,75.0
2486261,1,979769,MELILLA CIUDAD DEL DEPORTE,AWAY,84.8,82.2,107.3,133.2,-25.9,56.3,53.5,11.0,20.7,65.4,41.8,1.4,27.8,200,12000.0,91.0,31.0,52.0,5.0,20.0,36.0,72.0,14.0,20.0,6.0,17.0,23.0,14.0,10.0,6.0,0.0,2.0,17.0,22.0,87.0,-75.0
2486262,1,981203,INVEREADY GIPUZKOA,HOME,71.6,73.9,88.0,103.6,-15.6,45.3,34.7,11.5,24.1,66.7,45.8,1.6,40.7,200,12000.0,63.0,19.0,37.0,1.0,22.0,20.0,59.0,22.0,24.0,7.0,20.0,27.0,14.0,9.0,6.0,3.0,3.0,24.0,22.0,61.0,-80.0
2486262,1,980004,LEYMA CORUÑA,AWAY,76.2,73.9,103.6,88.0,15.6,53.2,46.9,13.9,33.3,75.9,54.2,0.9,32.3,200,12000.0,79.0,20.0,40.0,7.0,25.0,27.0,65.0,18.0,21.0,10.0,22.0,32.0,11.0,12.0,8.0,3.0,3.0,22.0,24.0,82.0,80.0
2486264,1,981214,FIBWI MALLORCA BASQUET PALMA,AWAY,77.2,78.5,90.7,90.1,0.6,47.2,44.1,13.9,23.7,59.3,38.5,1.2,20.6,200,12000.0,70.0,18.0,34.0,8.0,34.0,26.0,68.0,10.0,14.0,9.0,16.0,25.0,14.0,12.0,12.0,1.0,3.0,28.0,22.0,58.0,-10.0
2486264,1,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,HOME,79.9,78.5,90.1,90.7,-0.6,54.6,48.1,27.5,40.7,76.3,61.5,0.4,50.0,200,12000.0,72.0,20.0,36.0,4.0,18.0,24.0,54.0,20.0,27.0,11.0,29.0,40.0,9.0,25.0,4.0,3.0,1.0,22.0,28.0,72.0,10.0
2486265,1,981124,ALIMERKA OVIEDO BALONCESTO,HOME,81.0,81.6,107.4,122.8,-15.4,63.0,56.9,20.7,19.4,66.7,42.6,0.7,43.1,200,12000.0,87.0,18.0,29.0,10.0,29.0,28.0,58.0,21.0,25.0,6.0,20.0,26.0,12.0,18.0,7.0,0.0,0.0,22.0,23.0,81.0,-70.0
2486265,1,981431,MOVISTAR ESTUDIANTES,AWAY,82.2,81.7,122.8,107.4,15.4,62.9,60.6,13.0,33.3,80.6,57.4,1.6,29.6,200,12000.0,101.0,22.0,38.0,14.0,33.0,36.0,71.0,15.0,21.0,10.0,25.0,35.0,19.0,12.0,10.0,0.0,0.0,23.0,22.0,111.0,70.0
2486266,1,981125,CAJA RURAL CB ZAMORA,AWAY,78.7,78.5,122.0,91.9,30.1,64.2,63.8,14.8,36.0,73.0,58.1,1.2,18.8,200,12000.0,96.0,29.0,51.0,10.0,18.0,39.0,69.0,8.0,13.0,9.0,27.0,36.0,16.0,13.0,8.0,3.0,0.0,25.0,19.0,105.0,120.0
2486266,1,979907,GRUPO ALEGA CANTABRIA,HOME,78.3,78.5,91.9,122.0,-30.1,50.5,42.4,19.2,27.0,64.0,41.9,0.8,47.5,200,12000.0,72.0,10.0,29.0,10.0,30.0,20.0,59.0,22.0,28.0,10.0,16.0,26.0,14.0,17.0,9.0,0.0,3.0,20.0,25.0,64.0,-120.0
2486267,2,981214,FIBWI MALLORCA BASQUET PALMA,AWAY,68.0,70.7,104.4,95.3,9.1,57.2,53.6,19.5,37.5,34.2,35.5,1.0,29.1,200,12000.0,71.0,19.0,32.0,7.0,23.0,26.0,55.0,12.0,16.0,9.0,13.0,22.0,15.0,15.0,9.0,8.0,1.0,21.0,21.0,77.0,5.0
2486267,2,981300,HESTIA MENORCA,HOME,73.5,70.8,95.3,104.4,-9.1,43.5,39.0,18.3,65.8,62.5,64.5,0.9,23.3,200,12000.0,70.0,12.0,35.0,11.0,38.0,23.0,73.0,13.0,17.0,25.0,15.0,40.0,17.0,18.0,6.0,1.0,8.0,21.0,21.0,62.0,-5.0
2486268,2,981124,ALIMERKA OVIEDO BALONCESTO,AWAY,81.0,83.2,88.8,101.9,-13.1,47.3,47.1,14.6,21.6,66.7,45.6,0.8,23.2,200,12000.0,72.0,22.0,38.0,7.0,31.0,29.0,69.0,7.0,16.0,8.0,28.0,36.0,11.0,13.0,6.0,2.0,3.0,22.0,19.0,62.0,-75.0
2486268,2,980004,LEYMA CORUÑA,HOME,85.4,83.2,101.9,88.8,13.1,47.6,45.8,8.1,33.3,78.4,54.4,1.5,22.9,200,12000.0,87.0,23.0,46.0,10.0,37.0,33.0,83.0,11.0,19.0,14.0,29.0,43.0,12.0,8.0,12.0,3.0,2.0,19.0,21.0,93.0,75.0
2486269,2,979907,GRUPO ALEGA CANTABRIA,AWAY,77.9,78.2,111.7,104.4,7.3,64.1,55.4,23.6,40.7,71.4,58.1,0.5,48.2,200,12000.0,87.0,13.0,28.0,12.0,28.0,25.0,56.0,25.0,27.0,11.0,25.0,36.0,10.0,21.0,7.0,2.0,2.0,24.0,23.0,87.0,25.0
2486269,2,981421,MONBUS OBRADOIRO,HOME,78.6,78.2,104.4,111.7,-7.3,52.9,46.3,12.4,28.6,59.3,41.9,1.5,35.8,200,12000.0,82.0,25.0,47.0,4.0,20.0,29.0,67.0,20.0,24.0,10.0,16.0,26.0,17.0,11.0,12.0,2.0,2.0,25.0,24.0,85.0,-25.0
