Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HESTIA MENORCA,0,1,E. Vicedo Ayala,28:38,14,1,3,33.3,2,5,40.0,3,8,37.5,6,8,75.0,0,4,4,0,0,1,0,0,0,2,6,11,16,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,1718
HESTIA MENORCA,1,1,J. Cone,20:28,15,1,3,33.3,3,7,42.9,4,10,40.0,4,4,100.0,1,3,4,3,2,0,0,0,0,1,4,11,17,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,1228
HESTIA MENORCA,2,0,I. Pons Pons,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339515,https://imagenes.feb.es/foto.aspx?c=2339515,0
HESTIA MENORCA,3,0,N. Galette,05:54,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,4,3,2820270,https://imagenes.feb.es/foto.aspx?c=2820270,354
HESTIA MENORCA,7,0,P. Figueras Lopez,22:03,7,2,3,66.7,1,2,50.0,3,5,60.0,0,0,0.0,0,2,2,6,3,1,0,0,0,2,1,18,10,1496030,https://imagenes.feb.es/foto.aspx?c=1496030,1323
HESTIA MENORCA,8,0,F. Schott,14:12,3,1,2,50.0,0,0,0.0,1,2,50.0,1,2,50.0,2,2,4,0,0,1,0,0,0,5,1,4,2,2662856,https://imagenes.feb.es/foto.aspx?c=2662856,852
HESTIA MENORCA,11,1,S. Littleson,20:12,17,1,3,33.3,5,5,100.0,6,8,75.0,0,0,0.0,0,0,0,1,3,0,0,0,0,3,0,10,10,2650859,https://imagenes.feb.es/foto.aspx?c=2650859,1212
HESTIA MENORCA,13,0,J. Lobo Martorell,18:12,22,1,1,100.0,5,8,62.5,6,9,66.7,5,5,100.0,1,0,1,3,2,0,0,0,0,2,3,1,22,1938697,https://imagenes.feb.es/foto.aspx?c=1938697,1092
HESTIA MENORCA,15,0,P. Molins Calderon,08:22,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,3,1,0,0,0,0,2,1,-1,1,1784407,https://imagenes.feb.es/foto.aspx?c=1784407,502
HESTIA MENORCA,23,1,E. Wembi,16:16,1,0,1,0.0,0,0,0.0,0,1,0.0,1,2,50.0,0,2,2,2,0,0,0,0,0,2,1,0,2,2702840,https://imagenes.feb.es/foto.aspx?c=2702840,976
HESTIA MENORCA,55,1,A. Sola Iddrisu,30:43,10,0,1,0.0,2,3,66.7,2,4,50.0,4,4,100.0,2,6,8,2,1,2,0,0,0,1,3,21,21,1875914,https://imagenes.feb.es/foto.aspx?c=1875914,1843
HESTIA MENORCA,77,0,V. Arteaga Gonzalez,15:00,6,2,4,50.0,0,0,0.0,2,4,50.0,2,2,100.0,2,3,5,1,2,0,0,0,1,4,2,21,6,1382456,https://imagenes.feb.es/foto.aspx?c=1382456,900
MONBUS OBRADOIRO,3,0,R. Díaz Del Valle,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2128178,https://imagenes.feb.es/foto.aspx?c=2128178,0
MONBUS OBRADOIRO,5,0,R. Andersson,18:14,4,0,0,0.0,0,3,0.0,0,3,0.0,4,5,80.0,1,2,3,1,1,0,0,0,0,4,2,-19,1,2524084,https://imagenes.feb.es/foto.aspx?c=2524084,1094
MONBUS OBRADOIRO,7,0,F. Dos Anjos De Paula,21:51,9,3,4,75.0,0,0,0.0,3,4,75.0,3,5,60.0,1,5,6,0,0,0,0,0,0,2,3,-17,13,2219665,https://imagenes.feb.es/foto.aspx?c=2219665,1311
MONBUS OBRADOIRO,8,1,G. Huskic,07:34,5,2,4,50.0,0,0,0.0,2,4,50.0,1,2,50.0,0,1,1,1,1,1,0,0,0,2,3,-7,5,2026110,https://imagenes.feb.es/foto.aspx?c=2026110,454
