Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO URETA TIZONA BURGOS,5,0,M. Jackson,15:53,6,3,6,50.0,0,2,0.0,3,8,37.5,0,1,0.0,0,1,1,4,0,2,0,0,0,1,2,-7,8,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,953
GRUPO URETA TIZONA BURGOS,8,0,F. Terins,06:33,2,1,2,50.0,0,1,0.0,1,3,33.3,0,0,0.0,0,0,0,2,2,0,0,0,0,1,0,4,-1,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,393
GRUPO URETA TIZONA BURGOS,10,1,A. Parrado Calabria,18:57,5,1,3,33.3,1,3,33.3,2,6,33.3,0,0,0.0,1,5,6,1,4,0,0,0,0,1,1,6,4,1787348,https://imagenes.feb.es/foto.aspx?c=1787348,1137
GRUPO URETA TIZONA BURGOS,13,1,R. Vila Soley,20:47,14,7,9,77.8,0,0,0.0,7,9,77.8,0,0,0.0,0,0,0,0,1,0,1,0,0,2,1,-9,11,1572466,https://imagenes.feb.es/foto.aspx?c=1572466,1247
GRUPO URETA TIZONA BURGOS,21,0,G. Gil Garcia,16:36,6,2,2,100.0,0,3,0.0,2,5,40.0,2,2,100.0,1,2,3,2,0,1,1,0,0,1,1,12,10,1808439,https://imagenes.feb.es/foto.aspx?c=1808439,996
GRUPO URETA TIZONA BURGOS,24,1,A. Huelves Garcia,13:49,6,2,2,100.0,0,2,0.0,2,4,50.0,2,2,100.0,1,1,2,4,1,1,0,0,0,4,1,2,7,2138600,https://imagenes.feb.es/foto.aspx?c=2138600,829
GRUPO URETA TIZONA BURGOS,25,0,J. Zidek,16:01,10,1,1,100.0,2,3,66.7,3,4,75.0,2,2,100.0,0,1,1,0,0,0,0,0,0,0,2,1,12,2736183,https://imagenes.feb.es/foto.aspx?c=2736183,961
GRUPO URETA TIZONA BURGOS,31,0,J. Brown-Ferguson,10:51,4,2,3,66.7,0,0,0.0,2,3,66.7,0,0,0.0,1,1,2,0,0,2,0,0,0,0,0,15,7,2814907,https://imagenes.feb.es/foto.aspx?c=2814907,651
GRUPO URETA TIZONA BURGOS,33,0,A. Alonso Cuevas,16:18,13,2,2,100.0,3,4,75.0,5,6,83.3,0,0,0.0,1,3,4,1,1,0,0,0,0,2,0,14,14,1879609,https://imagenes.feb.es/foto.aspx?c=1879609,978
GRUPO URETA TIZONA BURGOS,35,1,R. Seoane Rodicio,28:34,12,2,4,50.0,2,3,66.7,4,7,57.1,2,2,100.0,1,3,4,1,2,1,0,0,0,3,3,2,13,1625687,https://imagenes.feb.es/foto.aspx?c=1625687,1714
GRUPO URETA TIZONA BURGOS,55,1,G. Jofresa Sarret,18:42,20,4,5,80.0,3,6,50.0,7,11,63.6,3,4,75.0,2,2,4,2,1,1,0,0,0,3,3,14,21,1787363,https://imagenes.feb.es/foto.aspx?c=1787363,1122
GRUPO URETA TIZONA BURGOS,60,0,A. Alonso Ruiz,16:59,8,3,3,100.0,0,1,0.0,3,4,75.0,2,2,100.0,1,4,5,6,0,0,0,0,0,4,2,21,16,2325671,https://imagenes.feb.es/foto.aspx?c=2325671,1019
