Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
INVEREADY GIPUZKOA,0,0,A. Ngom,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,0
INVEREADY GIPUZKOA,1,1,L. Terry,17:44,8,2,5,40.0,0,2,0.0,2,7,28.6,4,4,100.0,0,1,1,2,4,2,0,1,0,4,3,-1,3,2813563,https://imagenes.feb.es/foto.aspx?c=2813563,1064
INVEREADY GIPUZKOA,2,1,O. Hanzlik,22:02,2,0,1,0.0,0,1,0.0,0,2,0.0,2,2,100.0,1,2,3,2,0,0,1,0,0,4,1,-4,3,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,1322
INVEREADY GIPUZKOA,6,0,A. Zubizarreta Aranbarri,13:52,4,1,1,100.0,0,2,0.0,1,3,33.3,2,2,100.0,1,0,1,1,1,2,0,0,0,2,2,-10,5,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,832
INVEREADY GIPUZKOA,9,0,M. Motos Cabodevilla,04:52,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,-7,1,1447983,https://imagenes.feb.es/foto.aspx?c=1447983,292
INVEREADY GIPUZKOA,10,1,M. Ansorregui Deba,22:33,4,1,5,20.0,0,1,0.0,1,6,16.7,2,2,100.0,0,3,3,1,0,1,0,1,0,2,2,-15,4,2082685,https://imagenes.feb.es/foto.aspx?c=2082685,1353
INVEREADY GIPUZKOA,11,0,G. Maiza Apecechea,09:51,3,0,0,0.0,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,-2,1,1822814,https://imagenes.feb.es/foto.aspx?c=1822814,591
INVEREADY GIPUZKOA,12,1,J. Nicolau Aledon,18:53,9,2,5,40.0,0,0,0.0,2,5,40.0,5,6,83.3,0,3,3,0,0,0,1,0,0,0,3,-1,12,1988355,https://imagenes.feb.es/foto.aspx?c=1988355,1133
INVEREADY GIPUZKOA,13,0,T. Mcghie,19:13,4,1,2,50.0,0,6,0.0,1,8,12.5,2,2,100.0,0,0,0,0,1,0,0,0,0,2,0,-13,-6,2814207,https://imagenes.feb.es/foto.aspx?c=2814207,1153
INVEREADY GIPUZKOA,22,0,G. Korsantia,23:34,15,6,10,60.0,0,3,0.0,6,13,46.2,3,3,100.0,2,4,6,1,2,0,0,1,0,2,4,-3,15,2813562,https://imagenes.feb.es/foto.aspx?c=2813562,1414
INVEREADY GIPUZKOA,24,1,I. Arroyo Varela,29:21,9,4,6,66.7,0,3,0.0,4,9,44.4,1,1,100.0,1,2,3,7,0,1,0,0,0,3,4,-12,16,2275973,https://imagenes.feb.es/foto.aspx?c=2275973,1761
INVEREADY GIPUZKOA,33,0,I. Rosa Pompido,18:05,5,2,2,100.0,0,1,0.0,2,3,66.7,1,2,50.0,2,3,5,0,1,0,1,0,0,4,3,-12,7,1535344,https://imagenes.feb.es/foto.aspx?c=1535344,1085
LEYMA CORUÑA,0,0,D. Cuevas Simarro,21:39,0,0,4,0.0,0,2,0.0,0,6,0.0,0,0,0.0,0,4,4,3,1,2,0,1,0,0,2,5,4,2557970,https://imagenes.feb.es/foto.aspx?c=2557970,1299
LEYMA CORUÑA,2,1,Y. Mencia Hernandez,21:31,13,5,8,62.5,0,1,0.0,5,9,55.6,3,4,75.0,1,7,8,0,2,3,0,0,1,2,5,-3,20,2651052,https://imagenes.feb.es/foto.aspx?c=2651052,1291
LEYMA CORUÑA,4,1,P. Jorgensen,23:58,9,3,5,60.0,1,6,16.7,4,11,36.4,0,0,0.0,0,3,3,1,1,0,0,0,0,2,3,0,6,2371535,https://imagenes.feb.es/foto.aspx?c=2371535,1438
LEYMA CORUÑA,5,1,G. Jou Coll,20:34,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,1,1,0,0,0,0,2,1,12,-1,1491674,https://imagenes.feb.es/foto.aspx?c=1491674,1234
LEYMA CORUÑA,6,0,M. Braz,06:55,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,1,0,-1,0,2814191,https://imagenes.feb.es/foto.aspx?c=2814191,415
LEYMA CORUÑA,9,1,C. De Souza Pacheco,22:22,10,1,3,33.3,1,4,25.0,2,7,28.6,5,6,83.3,0,1,1,3,1,0,0,0,0,2,4,14,9,2644143,https://imagenes.feb.es/foto.aspx?c=2644143,1342
LEYMA CORUÑA,13,0,D. Brnovic,20:00,14,3,4,75.0,2,5,40.0,5,9,55.6,2,2,100.0,2,1,3,2,0,0,0,0,0,0,2,15,17,2814190,https://imagenes.feb.es/foto.aspx?c=2814190,1200
LEYMA CORUÑA,21,0,I. Diop Gaye,19:00,10,3,4,75.0,0,1,0.0,3,5,60.0,4,4,100.0,2,4,6,0,3,2,1,1,0,3,2,17,13,1848359,https://imagenes.feb.es/foto.aspx?c=1848359,1140
LEYMA CORUÑA,24,0,J. Cremo,18:26,9,1,5,20.0,1,2,50.0,2,7,28.6,4,5,80.0,1,0,1,1,2,0,0,0,0,4,5,14,4,2452677,https://imagenes.feb.es/foto.aspx?c=2452677,1106
LEYMA CORUÑA,44,1,A. Thiam,11:46,2,1,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,3,1,4,0,1,0,0,1,0,3,0,2,0,2815798,https://imagenes.feb.es/foto.aspx?c=2815798,706
LEYMA CORUÑA,50,0,J. Diaz Alejano,13:49,12,3,3,100.0,2,3,66.7,5,6,83.3,0,0,0.0,0,0,0,0,0,1,1,0,1,3,0,5,10,1541543,https://imagenes.feb.es/foto.aspx?c=1541543,829
