Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
ALIMERKA OVIEDO BALONCESTO,2,0,L. Johnson,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2820533,https://imagenes.feb.es/foto.aspx?c=2820533,0
ALIMERKA OVIEDO BALONCESTO,4,1,A. Faure Ribes,22:12,7,3,4,75.0,0,0,0.0,3,4,75.0,1,2,50.0,0,3,3,1,3,1,0,0,0,2,2,-22,7,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,1332
ALIMERKA OVIEDO BALONCESTO,5,0,G. Parham Ii,33:09,32,9,11,81.8,3,5,60.0,12,16,75.0,5,6,83.3,1,8,9,6,4,1,0,0,0,2,3,-10,40,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1989
ALIMERKA OVIEDO BALONCESTO,7,1,D. Duscak,19:16,8,1,2,50.0,1,4,25.0,2,6,33.3,3,4,75.0,1,1,2,1,2,0,0,0,0,1,5,-10,8,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1156
ALIMERKA OVIEDO BALONCESTO,11,1,F. Copes,18:35,12,3,7,42.9,0,2,0.0,3,9,33.3,6,6,100.0,3,1,4,2,2,1,0,0,0,3,5,-10,13,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,1115
ALIMERKA OVIEDO BALONCESTO,14,0,D. Shelist,22:42,5,0,1,0.0,1,1,100.0,1,2,50.0,2,2,100.0,0,2,2,2,2,1,0,0,0,3,1,0,5,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,1362
ALIMERKA OVIEDO BALONCESTO,24,0,C. Hermanson,28:50,8,1,2,50.0,2,6,33.3,3,8,37.5,0,1,0.0,0,1,1,0,2,2,0,0,0,3,3,-8,3,2735658,https://imagenes.feb.es/foto.aspx?c=2735658,1730
ALIMERKA OVIEDO BALONCESTO,35,1,F. Nwaokorie,24:23,10,1,1,100.0,2,7,28.6,3,8,37.5,2,2,100.0,1,2,3,0,1,1,0,0,1,4,1,-10,5,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1463
ALIMERKA OVIEDO BALONCESTO,41,0,R. Cosialls Borras,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,0
ALIMERKA OVIEDO BALONCESTO,48,0,J. Arias Gonzalez,07:58,2,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,0,0,0,0,1,11,3,1981938,https://imagenes.feb.es/foto.aspx?c=1981938,478
ALIMERKA OVIEDO BALONCESTO,55,1,R. Lobaco Muñoz,22:55,3,0,1,0.0,1,4,25.0,1,5,20.0,0,0,0.0,0,2,2,0,2,0,0,0,0,4,2,-11,-3,1978545,https://imagenes.feb.es/foto.aspx?c=1978545,1375
MOVISTAR ESTUDIANTES,0,0,H. Atencia Suarez,13:14,6,0,0,0.0,2,3,66.7,2,3,66.7,0,0,0.0,1,0,1,2,0,1,0,0,0,2,0,-19,7,2533643,https://imagenes.feb.es/foto.aspx?c=2533643,794
MOVISTAR ESTUDIANTES,1,0,A. González Pérez,10:29,4,1,3,33.3,0,0,0.0,1,3,33.3,2,4,50.0,1,4,5,0,0,0,0,0,0,1,2,-2,6,2094445,https://imagenes.feb.es/foto.aspx?c=2094445,629
