Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HESTIA MENORCA,0,0,E. Vicedo Ayala,11:37,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,1,-6,1,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,697
HESTIA MENORCA,1,1,J. Cone,20:17,16,2,5,40.0,4,10,40.0,6,15,40.0,0,1,0.0,1,1,2,3,10,0,0,0,0,4,5,12,2,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,1217
HESTIA MENORCA,2,0,I. Pons Pons,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339515,https://imagenes.feb.es/foto.aspx?c=2339515,0
HESTIA MENORCA,3,1,N. Galette,24:26,8,1,4,25.0,2,6,33.3,3,10,30.0,0,0,0.0,2,1,3,0,1,4,0,1,0,4,0,-1,3,2820270,https://imagenes.feb.es/foto.aspx?c=2820270,1466
HESTIA MENORCA,7,0,P. Figueras Lopez,19:15,7,0,1,0.0,1,4,25.0,1,5,20.0,4,4,100.0,1,1,2,5,3,0,0,1,0,2,2,-7,7,1496030,https://imagenes.feb.es/foto.aspx?c=1496030,1155
HESTIA MENORCA,8,1,F. Schott,15:46,4,2,2,100.0,0,0,0.0,2,2,100.0,0,0,0.0,4,1,5,2,0,0,0,0,0,1,1,-3,11,2662856,https://imagenes.feb.es/foto.aspx?c=2662856,946
HESTIA MENORCA,11,1,S. Littleson,30:55,11,1,8,12.5,2,9,22.2,3,17,17.6,3,4,75.0,4,2,6,4,0,0,0,1,0,1,1,0,6,2650859,https://imagenes.feb.es/foto.aspx?c=2650859,1855
HESTIA MENORCA,13,0,J. Lobo Martorell,21:02,6,0,1,0.0,2,7,28.6,2,8,25.0,0,0,0.0,1,1,2,2,2,0,0,2,0,3,2,-4,1,1938697,https://imagenes.feb.es/foto.aspx?c=1938697,1262
HESTIA MENORCA,15,0,P. Molins Calderon,03:29,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,2,0,0,1,0,0,0,-6,-3,1784407,https://imagenes.feb.es/foto.aspx?c=1784407,209
HESTIA MENORCA,23,0,E. Wembi,19:48,10,3,6,50.0,0,0,0.0,3,6,50.0,4,6,66.7,4,2,6,0,0,1,1,1,3,5,5,7,13,2702840,https://imagenes.feb.es/foto.aspx?c=2702840,1188
HESTIA MENORCA,55,1,A. Sola Iddrisu,28:59,6,3,5,60.0,0,1,0.0,3,6,50.0,0,0,0.0,7,5,12,1,0,1,0,1,0,1,3,8,19,1875914,https://imagenes.feb.es/foto.aspx?c=1875914,1739
HESTIA MENORCA,77,0,V. Arteaga Gonzalez,04:26,2,0,2,0.0,0,0,0.0,0,2,0.0,2,2,100.0,1,0,1,0,0,0,0,0,0,0,1,-5,2,1382456,https://imagenes.feb.es/foto.aspx?c=1382456,266
FIBWI MALLORCA BASQUET PALMA ,1,0,L. Smith,14:11,0,0,2,0.0,0,1,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,2,0,0,2,0,-6,-3,2788739,https://imagenes.feb.es/foto.aspx?c=2788739,851
FIBWI MALLORCA BASQUET PALMA ,6,1,J. Bocca,25:19,2,1,2,50.0,0,1,0.0,1,3,33.3,0,0,0.0,0,0,0,1,2,3,1,0,1,4,0,-2,-1,2821058,https://imagenes.feb.es/foto.aspx?c=2821058,1519
FIBWI MALLORCA BASQUET PALMA ,10,0,A. Bosch Domingo,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597927,https://imagenes.feb.es/foto.aspx?c=1597927,0
FIBWI MALLORCA BASQUET PALMA ,15,0,O. Siquier Costa,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008018,https://imagenes.feb.es/foto.aspx?c=2008018,0
FIBWI MALLORCA BASQUET PALMA ,23,1,J. Aramburu Lamy,27:51,5,1,2,50.0,0,0,0.0,1,2,50.0,3,4,75.0,3,5,8,3,3,1,3,0,0,1,7,-5,21,1509876,https://imagenes.feb.es/foto.aspx?c=1509876,1671
FIBWI MALLORCA BASQUET PALMA ,24,1,L. Capalbo,29:23,17,4,5,80.0,2,3,66.7,6,8,75.0,3,4,75.0,2,3,5,4,1,2,0,0,0,3,5,3,26,2818075,https://imagenes.feb.es/foto.aspx?c=2818075,1763
FIBWI MALLORCA BASQUET PALMA ,30,0,J. Martinez Cabezudo,11:49,2,1,1,100.0,0,3,0.0,1,4,25.0,0,0,0.0,0,0,0,0,2,2,0,0,0,3,1,0,-3,1241485,https://imagenes.feb.es/foto.aspx?c=1241485,709
FIBWI MALLORCA BASQUET PALMA ,33,1,L. Bracey,29:10,11,4,7,57.1,1,6,16.7,5,13,38.5,0,0,0.0,1,0,1,2,0,1,0,1,0,2,2,-6,7,2583212,https://imagenes.feb.es/foto.aspx?c=2583212,1750
FIBWI MALLORCA BASQUET PALMA ,34,0,P. Santos Spencer,12:59,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,3,4,1,1,0,0,0,0,3,0,3,0,2527396,https://imagenes.feb.es/foto.aspx?c=2527396,779
FIBWI MALLORCA BASQUET PALMA ,44,0,B. Vazquez Arraiza,21:08,15,1,2,50.0,4,9,44.4,5,11,45.5,1,3,33.3,0,1,1,1,3,0,1,0,0,1,3,9,9,2783882,https://imagenes.feb.es/foto.aspx?c=2783882,1268
FIBWI MALLORCA BASQUET PALMA ,99,1,P. Bombino Parada,28:10,19,7,10,70.0,0,0,0.0,7,10,70.0,5,5,100.0,2,1,3,3,3,0,1,0,1,2,3,9,21,2819257,https://imagenes.feb.es/foto.aspx?c=2819257,1690
