Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
LEYMA CORUÑA,0,1,D. Cuevas Simarro,20:48,16,2,6,33.3,3,6,50.0,5,12,41.7,3,3,100.0,2,2,4,2,1,2,0,0,0,1,3,12,18,2557970,https://imagenes.feb.es/foto.aspx?c=2557970,1248
LEYMA CORUÑA,2,1,Y. Mencia Hernandez,19:16,11,4,8,50.0,1,5,20.0,5,13,38.5,0,2,0.0,3,4,7,0,3,2,0,0,0,2,3,7,8,2651052,https://imagenes.feb.es/foto.aspx?c=2651052,1156
LEYMA CORUÑA,4,0,P. Jorgensen,20:41,9,1,3,33.3,1,4,25.0,2,7,28.6,4,7,57.1,0,2,2,0,0,2,0,0,0,0,4,1,9,2371535,https://imagenes.feb.es/foto.aspx?c=2371535,1241
LEYMA CORUÑA,5,1,G. Jou Coll,21:41,5,1,2,50.0,1,3,33.3,2,5,40.0,0,0,0.0,2,3,5,0,0,2,0,1,0,0,0,-1,9,1491674,https://imagenes.feb.es/foto.aspx?c=1491674,1301
LEYMA CORUÑA,6,0,M. Braz,04:07,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,2,0,0,0,0,0,0,2,0,-4,2,2814191,https://imagenes.feb.es/foto.aspx?c=2814191,247
LEYMA CORUÑA,9,0,C. De Souza Pacheco,21:00,8,4,8,50.0,0,5,0.0,4,13,30.8,0,0,0.0,0,2,2,5,0,0,0,0,0,3,3,6,6,2644143,https://imagenes.feb.es/foto.aspx?c=2644143,1260
LEYMA CORUÑA,13,0,D. Brnovic,18:37,10,2,3,66.7,2,3,66.7,4,6,66.7,0,0,0.0,1,1,2,0,1,0,0,0,1,2,1,11,8,2814190,https://imagenes.feb.es/foto.aspx?c=2814190,1117
LEYMA CORUÑA,21,0,I. Diop Gaye,20:49,5,1,4,25.0,0,3,0.0,1,7,14.3,3,5,60.0,1,5,6,2,1,0,3,1,0,3,4,6,8,1848359,https://imagenes.feb.es/foto.aspx?c=1848359,1249
LEYMA CORUÑA,22,0,C. Varela Romero,00:28,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-2,-2,2039654,https://imagenes.feb.es/foto.aspx?c=2039654,28
LEYMA CORUÑA,24,1,J. Cremo,18:32,4,2,4,50.0,0,3,0.0,2,7,28.6,0,0,0.0,0,0,0,2,0,2,0,0,0,1,1,11,3,2452677,https://imagenes.feb.es/foto.aspx?c=2452677,1112
LEYMA CORUÑA,44,1,A. Thiam,16:02,8,4,5,80.0,0,0,0.0,4,5,80.0,0,1,0.0,4,7,11,1,1,1,0,0,3,3,1,11,16,2815798,https://imagenes.feb.es/foto.aspx?c=2815798,962
LEYMA CORUÑA,50,0,J. Diaz Alejano,17:59,9,1,2,50.0,2,4,50.0,3,6,50.0,1,1,100.0,0,2,2,0,0,1,0,0,0,2,1,17,8,1541543,https://imagenes.feb.es/foto.aspx?c=1541543,1079
ALIMERKA OVIEDO BALONCESTO,4,1,A. Faure Ribes,18:50,9,3,7,42.9,1,1,100.0,4,8,50.0,0,0,0.0,1,5,6,0,0,0,0,0,0,0,2,-1,13,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,1130
ALIMERKA OVIEDO BALONCESTO,5,0,G. Parham Ii,28:52,15,4,6,66.7,2,6,33.3,6,12,50.0,1,2,50.0,1,4,5,6,4,0,0,0,0,3,4,-3,16,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1732
ALIMERKA OVIEDO BALONCESTO,7,1,D. Duscak,23:44,6,2,3,66.7,0,3,0.0,2,6,33.3,2,4,50.0,0,2,2,3,1,3,0,0,0,4,5,-14,8,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1424
ALIMERKA OVIEDO BALONCESTO,11,1,F. Copes,19:23,3,1,5,20.0,0,3,0.0,1,8,12.5,1,2,50.0,1,6,7,0,2,1,0,1,0,0,1,-14,2,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,1163
ALIMERKA OVIEDO BALONCESTO,14,1,D. Shelist,18:52,6,3,3,100.0,0,2,0.0,3,5,60.0,0,0,0.0,1,5,6,1,1,0,1,0,1,5,2,-14,8,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,1132
ALIMERKA OVIEDO BALONCESTO,24,1,C. Hermanson,27:27,9,3,3,100.0,1,7,14.3,4,10,40.0,0,0,0.0,0,3,3,1,2,0,0,0,0,3,0,-1,2,2735658,https://imagenes.feb.es/foto.aspx?c=2735658,1647
ALIMERKA OVIEDO BALONCESTO,35,0,F. Nwaokorie,29:09,12,2,5,40.0,2,5,40.0,4,10,40.0,2,6,33.3,2,1,3,0,1,1,0,1,0,2,3,-12,6,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1749
ALIMERKA OVIEDO BALONCESTO,41,0,R. Cosialls Borras,16:09,4,2,3,66.7,0,0,0.0,2,3,66.7,0,0,0.0,2,1,3,0,1,1,0,1,0,3,1,-1,4,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,969
ALIMERKA OVIEDO BALONCESTO,48,0,J. Arias Gonzalez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981938,https://imagenes.feb.es/foto.aspx?c=1981938,0
ALIMERKA OVIEDO BALONCESTO,55,0,R. Lobaco Muñoz,17:34,8,2,3,66.7,1,4,25.0,3,7,42.9,1,2,50.0,0,1,1,0,1,0,1,0,0,2,1,-15,3,1978545,https://imagenes.feb.es/foto.aspx?c=1978545,1054
