Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MONBUS OBRADOIRO,2,0,Y. Pinas,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2698507,https://imagenes.feb.es/foto.aspx?c=2698507,0
MONBUS OBRADOIRO,3,0,R. Díaz Del Valle,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2128178,https://imagenes.feb.es/foto.aspx?c=2128178,0
MONBUS OBRADOIRO,5,0,R. Andersson,25:30,5,1,1,100.0,1,1,100.0,2,2,100.0,0,0,0.0,1,0,1,0,1,1,1,0,0,2,0,5,5,2524084,https://imagenes.feb.es/foto.aspx?c=2524084,1530
MONBUS OBRADOIRO,7,1,F. Dos Anjos De Paula,27:02,12,5,6,83.3,0,0,0.0,5,6,83.3,2,2,100.0,1,1,2,0,2,0,1,0,3,3,2,5,11,2219665,https://imagenes.feb.es/foto.aspx?c=2219665,1622
MONBUS OBRADOIRO,9,1,L. Westermann,27:36,12,5,10,50.0,0,1,0.0,5,11,45.5,2,6,33.3,0,2,2,5,1,0,0,0,0,2,9,5,15,2436780,https://imagenes.feb.es/foto.aspx?c=2436780,1656
MONBUS OBRADOIRO,10,0,A. Grela Rojas,10:32,0,0,3,0.0,0,2,0.0,0,5,0.0,0,0,0.0,0,1,1,0,1,1,0,0,0,3,1,-8,-6,2533473,https://imagenes.feb.es/foto.aspx?c=2533473,632
MONBUS OBRADOIRO,16,0,A. Etxeguren Gonzalez,12:58,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,3,0,-10,-1,2082696,https://imagenes.feb.es/foto.aspx?c=2082696,778
MONBUS OBRADOIRO,23,1,Y. Barrueta,24:50,9,2,3,66.7,1,6,16.7,3,9,33.3,2,2,100.0,2,7,9,3,0,1,0,0,0,2,1,1,15,2524267,https://imagenes.feb.es/foto.aspx?c=2524267,1490
MONBUS OBRADOIRO,24,0,D. De Sousa Anjo Brito,13:40,2,1,2,50.0,0,3,0.0,1,5,20.0,0,0,0.0,1,2,3,2,1,2,0,0,0,1,0,-3,3,2528063,https://imagenes.feb.es/foto.aspx?c=2528063,820
MONBUS OBRADOIRO,25,1,S. Quintela Salvador,20:51,17,4,8,50.0,1,2,50.0,5,10,50.0,6,6,100.0,1,3,4,2,2,1,0,0,0,1,4,-7,20,2220063,https://imagenes.feb.es/foto.aspx?c=2220063,1251
MONBUS OBRADOIRO,28,0,A. Barcello,23:54,25,7,13,53.8,1,3,33.3,8,16,50.0,8,8,100.0,2,0,2,4,3,4,0,2,0,3,7,-8,28,2640794,https://imagenes.feb.es/foto.aspx?c=2640794,1434
MONBUS OBRADOIRO,57,1,A. Galan Pozo ,13:07,0,0,1,0.0,0,2,0.0,0,3,0.0,0,0,0.0,1,0,1,0,0,2,0,0,0,5,0,-5,-5,1836771,https://imagenes.feb.es/foto.aspx?c=1836771,787
GRUPO ALEGA CANTABRIA,2,0,J. Powell,13:19,13,0,0,0.0,4,7,57.1,4,7,57.1,1,1,100.0,0,2,2,0,4,0,0,0,0,4,1,4,5,2334516,https://imagenes.feb.es/foto.aspx?c=2334516,799
GRUPO ALEGA CANTABRIA,6,0,C. Taboada Heiskanen,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1899194,https://imagenes.feb.es/foto.aspx?c=1899194,0
GRUPO ALEGA CANTABRIA,8,0,S. Rodríguez Ramos,17:21,0,0,0,0.0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,3,0,4,-5,841966,https://imagenes.feb.es/foto.aspx?c=841966,1041
GRUPO ALEGA CANTABRIA,9,1,B. Lugarini,25:11,6,2,3,66.7,0,1,0.0,2,4,50.0,2,2,100.0,0,2,2,1,2,1,1,0,1,1,3,0,9,2481151,https://imagenes.feb.es/foto.aspx?c=2481151,1511
GRUPO ALEGA CANTABRIA,10,1,G. Martinez Diaz,25:13,2,1,4,25.0,0,3,0.0,1,7,14.3,0,0,0.0,1,8,9,1,2,3,0,0,0,5,1,22,3,1821694,https://imagenes.feb.es/foto.aspx?c=1821694,1513
GRUPO ALEGA CANTABRIA,11,1,J. Yu,16:31,4,1,1,100.0,0,1,0.0,1,2,50.0,2,2,100.0,2,2,4,0,3,1,0,0,0,2,3,4,6,2815820,https://imagenes.feb.es/foto.aspx?c=2815820,991
GRUPO ALEGA CANTABRIA,15,0,P. Hernandez Montenegro,21:03,7,1,3,33.3,1,2,50.0,2,5,40.0,2,3,66.7,3,4,7,0,3,0,0,0,0,1,2,-12,8,1442713,https://imagenes.feb.es/foto.aspx?c=1442713,1263
