Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MOVISTAR ESTUDIANTES,0,0,H. Atencia Suarez,10:44,4,2,3,66.7,0,2,0.0,2,5,40.0,0,0,0.0,0,0,0,1,2,0,0,0,0,1,0,-1,-1,2533643,https://imagenes.feb.es/foto.aspx?c=2533643,644
MOVISTAR ESTUDIANTES,1,0,A. González Pérez,17:49,12,5,8,62.5,0,0,0.0,5,8,62.5,2,3,66.7,2,3,5,1,0,0,0,1,2,3,2,-5,13,2094445,https://imagenes.feb.es/foto.aspx?c=2094445,1069
MOVISTAR ESTUDIANTES,6,1,L. Giovannetti,17:30,7,2,2,100.0,1,1,100.0,3,3,100.0,0,0,0.0,2,1,3,1,1,0,0,0,0,3,1,6,8,2433615,https://imagenes.feb.es/foto.aspx?c=2433615,1050
MOVISTAR ESTUDIANTES,8,0,G. Filipovic,03:05,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,-9,0,2524266,https://imagenes.feb.es/foto.aspx?c=2524266,185
MOVISTAR ESTUDIANTES,9,1,S. Salin,30:20,8,1,4,25.0,2,7,28.6,3,11,27.3,0,1,0.0,1,4,5,4,2,0,0,0,0,1,4,-4,9,2815072,https://imagenes.feb.es/foto.aspx?c=2815072,1820
MOVISTAR ESTUDIANTES,11,1,J. Granger,26:11,14,0,2,0.0,3,7,42.9,3,9,33.3,5,6,83.3,0,2,2,5,2,1,0,0,0,0,7,15,20,2734234,https://imagenes.feb.es/foto.aspx?c=2734234,1571
MOVISTAR ESTUDIANTES,15,1,T. Mc Grew,24:31,14,3,6,50.0,1,3,33.3,4,9,44.4,5,7,71.4,1,3,4,0,0,0,2,2,0,2,5,2,16,2818742,https://imagenes.feb.es/foto.aspx?c=2818742,1471
MOVISTAR ESTUDIANTES,18,0,M. Sola Idrisu,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2161529,https://imagenes.feb.es/foto.aspx?c=2161529,0
MOVISTAR ESTUDIANTES,22,0,J. Vaulet,15:38,12,2,6,33.3,0,0,0.0,2,6,33.3,8,8,100.0,2,2,4,0,1,1,0,1,0,3,4,3,13,2818741,https://imagenes.feb.es/foto.aspx?c=2818741,938
MOVISTAR ESTUDIANTES,24,1,L. Nwogbo,21:39,10,4,4,100.0,0,1,0.0,4,5,80.0,2,3,66.7,0,2,2,0,1,2,0,0,1,1,6,9,16,2648543,https://imagenes.feb.es/foto.aspx?c=2648543,1299
MOVISTAR ESTUDIANTES,29,0,P. Garino Gullotta ,20:14,6,2,2,100.0,0,2,0.0,2,4,50.0,2,2,100.0,0,0,0,1,0,1,0,0,0,2,0,2,4,2275135,https://imagenes.feb.es/foto.aspx?c=2275135,1214
MOVISTAR ESTUDIANTES,51,0,O. Silverio Grullon,12:19,6,0,3,0.0,2,4,50.0,2,7,28.6,0,0,0.0,0,2,2,1,0,1,0,1,0,1,1,7,5,2790189,https://imagenes.feb.es/foto.aspx?c=2790189,739
INVEREADY GIPUZKOA,0,0,A. Ngom,11:27,7,3,3,100.0,0,0,0.0,3,3,100.0,1,3,33.3,1,2,3,2,1,0,1,0,1,4,4,14,10,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,687
