Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FLEXICAR FUENLABRADA,5,1,A. Murphy,27:43,11,4,5,80.0,1,2,50.0,5,7,71.4,0,0,0.0,0,3,3,0,1,1,0,0,1,0,3,3,15,2642637,https://imagenes.feb.es/foto.aspx?c=2642637,1663
FLEXICAR FUENLABRADA,7,1,M. Diaz,26:39,7,1,3,33.3,1,4,25.0,2,7,28.6,2,2,100.0,0,9,9,9,4,2,0,0,0,4,5,22,19,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,1599
FLEXICAR FUENLABRADA,8,1,V. Alves Benite ,34:07,23,5,7,71.4,3,9,33.3,8,16,50.0,4,5,80.0,1,4,5,5,2,1,0,0,0,2,6,8,27,2157874,https://imagenes.feb.es/foto.aspx?c=2157874,2047
FLEXICAR FUENLABRADA,9,0,B. Vidarte Cano,01:45,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,2178977,https://imagenes.feb.es/foto.aspx?c=2178977,105
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,27:19,10,3,6,50.0,0,0,0.0,3,6,50.0,4,6,66.7,0,2,2,5,0,3,0,0,0,1,3,-1,17,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,1639
FLEXICAR FUENLABRADA,15,0,P. Rodriguez Pascual,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992879,https://imagenes.feb.es/foto.aspx?c=1992879,0
FLEXICAR FUENLABRADA,21,0,D. Stolbetskiy,03:18,4,2,3,66.7,0,0,0.0,2,3,66.7,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,3,1,2736363,https://imagenes.feb.es/foto.aspx?c=2736363,198
FLEXICAR FUENLABRADA,30,0,P. Rigot,24:38,10,1,2,50.0,2,4,50.0,3,6,50.0,2,2,100.0,0,0,0,0,0,0,0,0,0,0,1,11,8,2820729,https://imagenes.feb.es/foto.aspx?c=2820729,1478
FLEXICAR FUENLABRADA,35,0,J. Belemene-Dzabatou,21:36,0,0,1,0.0,0,2,0.0,0,3,0.0,0,0,0.0,0,6,6,0,1,0,0,0,0,2,0,8,0,2820728,https://imagenes.feb.es/foto.aspx?c=2820728,1296
FLEXICAR FUENLABRADA,41,0,L. Nikkarinen,12:14,1,0,2,0.0,0,4,0.0,0,6,0.0,1,2,50.0,1,0,1,1,3,1,0,0,0,2,1,-7,-7,2819305,https://imagenes.feb.es/foto.aspx?c=2819305,734
FLEXICAR FUENLABRADA,88,1,J. Kasibabu Shilala,20:41,16,7,7,100.0,0,0,0.0,7,7,100.0,2,2,100.0,0,6,6,1,1,2,0,0,3,5,1,-1,20,2820727,https://imagenes.feb.es/foto.aspx?c=2820727,1241
MELILLA CIUDAD DEL DEPORTE,0,0,J. Godspower Johnson,00:10,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0,1878729,https://imagenes.feb.es/foto.aspx?c=1878729,10
MELILLA CIUDAD DEL DEPORTE,1,0,D. Poirier,18:03,18,5,8,62.5,2,3,66.7,7,11,63.6,2,2,100.0,3,3,6,0,3,1,0,0,2,2,4,-4,20,2451278,https://imagenes.feb.es/foto.aspx?c=2451278,1083
MELILLA CIUDAD DEL DEPORTE,4,0,S. Peno,10:10,3,0,2,0.0,1,3,33.3,1,5,20.0,0,0,0.0,1,0,1,1,0,1,0,0,0,1,0,-2,1,2814862,https://imagenes.feb.es/foto.aspx?c=2814862,610
MELILLA CIUDAD DEL DEPORTE,5,0,M. Heron,13:40,0,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0.0,0,0,0,0,2,1,0,0,0,3,1,1,-6,2819191,https://imagenes.feb.es/foto.aspx?c=2819191,820
MELILLA CIUDAD DEL DEPORTE,7,1,P. Cordoba Muro,15:59,2,1,7,14.3,0,0,0.0,1,7,14.3,0,0,0.0,2,1,3,2,0,0,0,0,0,0,1,-2,2,1677841,https://imagenes.feb.es/foto.aspx?c=1677841,959
MELILLA CIUDAD DEL DEPORTE,9,1,I. Cruz Uceda,31:09,19,3,6,50.0,3,8,37.5,6,14,42.9,4,4,100.0,3,11,14,3,3,0,0,0,1,2,3,-6,26,1382710,https://imagenes.feb.es/foto.aspx?c=1382710,1869
MELILLA CIUDAD DEL DEPORTE,12,1,P. Krutous,29:03,7,2,2,100.0,1,2,50.0,3,4,75.0,0,0,0.0,1,1,2,2,0,0,0,0,0,3,0,-3,7,2734873,https://imagenes.feb.es/foto.aspx?c=2734873,1743
MELILLA CIUDAD DEL DEPORTE,21,1,L. Debaut,16:45,12,3,3,100.0,1,2,50.0,4,5,80.0,3,5,60.0,0,4,4,0,4,1,0,0,1,4,3,-11,9,2647156,https://imagenes.feb.es/foto.aspx?c=2647156,1005
MELILLA CIUDAD DEL DEPORTE,22,0,C. Diaz Rodriguez,22:00,2,1,6,16.7,0,2,0.0,1,8,12.5,0,0,0.0,0,1,1,5,3,0,0,0,0,3,3,-5,-2,1251001,https://imagenes.feb.es/foto.aspx?c=1251001,1320
MELILLA CIUDAD DEL DEPORTE,33,0,M. Stilma,17:25,2,1,2,50.0,0,3,0.0,1,5,20.0,0,0,0.0,2,2,4,0,1,2,0,0,0,1,1,-1,3,2734242,https://imagenes.feb.es/foto.aspx?c=2734242,1045
