Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
CLUB OURENSE BALONCESTO,3,1,K. Smith,22:11,12,0,1,0.0,4,8,50.0,4,9,44.4,0,0,0.0,1,2,3,1,1,0,1,0,0,2,0,28,9,2819338,https://imagenes.feb.es/foto.aspx?c=2819338,1331
CLUB OURENSE BALONCESTO,9,0,C. Okanu,20:42,14,6,9,66.7,0,0,0.0,6,9,66.7,2,4,50.0,1,2,3,0,2,0,0,0,1,3,2,-3,9,2819330,https://imagenes.feb.es/foto.aspx?c=2819330,1242
CLUB OURENSE BALONCESTO,10,0,I. Vazquez Perez,15:53,2,1,4,25.0,0,1,0.0,1,5,20.0,0,0,0.0,2,4,6,4,0,1,2,2,0,3,1,2,9,1778999,https://imagenes.feb.es/foto.aspx?c=1778999,953
CLUB OURENSE BALONCESTO,11,0,M. Fernandez Carballo,10:35,2,0,3,0.0,0,1,0.0,0,4,0.0,2,2,100.0,1,1,2,1,0,0,0,0,0,0,1,-12,2,1886852,https://imagenes.feb.es/foto.aspx?c=1886852,635
CLUB OURENSE BALONCESTO,12,0,S. Huguet Carrasco,13:03,3,0,3,0.0,1,3,33.3,1,6,16.7,0,0,0.0,0,2,2,1,0,2,0,1,0,0,0,-1,3,1765084,https://imagenes.feb.es/foto.aspx?c=1765084,783
CLUB OURENSE BALONCESTO,22,1,G. Kalscheur,23:41,15,3,7,42.9,3,4,75.0,6,11,54.5,0,0,0.0,3,4,7,3,2,0,0,1,0,2,1,18,17,2819327,https://imagenes.feb.es/foto.aspx?c=2819327,1421
CLUB OURENSE BALONCESTO,23,0,D. Saraiva Seixas,11:01,6,2,2,100.0,0,0,0.0,2,2,100.0,2,2,100.0,1,2,3,1,1,1,0,0,1,2,1,15,9,2819332,https://imagenes.feb.es/foto.aspx?c=2819332,661
CLUB OURENSE BALONCESTO,24,0,S. Mc Donnell,22:24,8,1,3,33.3,1,4,25.0,2,7,28.6,3,4,75.0,3,3,6,1,1,0,0,1,0,3,3,-10,8,2781800,https://imagenes.feb.es/foto.aspx?c=2781800,1344
CLUB OURENSE BALONCESTO,27,0,M. Iglesias Fernandez,06:30,1,0,0,0.0,0,0,0.0,0,0,0.0,1,4,25.0,0,0,0,0,0,0,0,0,0,2,2,9,-2,1863291,https://imagenes.feb.es/foto.aspx?c=1863291,390
CLUB OURENSE BALONCESTO,28,1,R. Dias Marques Lisboa Santos,25:21,6,2,5,40.0,0,4,0.0,2,9,22.2,2,2,100.0,2,1,3,6,1,0,0,0,0,2,1,8,6,2650871,https://imagenes.feb.es/foto.aspx?c=2650871,1521
CLUB OURENSE BALONCESTO,35,1,R. Gill,12:48,2,1,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,2,2,4,0,0,0,1,0,1,2,2,7,5,2654188,https://imagenes.feb.es/foto.aspx?c=2654188,768
CLUB OURENSE BALONCESTO,41,1,C. Jürgens,15:51,11,2,5,40.0,2,3,66.7,4,8,50.0,1,2,50.0,1,0,1,2,2,0,0,0,0,4,2,4,5,2819335,https://imagenes.feb.es/foto.aspx?c=2819335,951
PALMER BASKET MALLORCA PALMA,4,1,M. Frierson,17:57,3,0,0,0.0,1,5,20.0,1,5,20.0,0,0,0.0,0,3,3,2,0,0,0,0,0,2,0,-3,2,2815271,https://imagenes.feb.es/foto.aspx?c=2815271,1077
PALMER BASKET MALLORCA PALMA,6,0,A. Scariolo Ares,11:16,8,3,5,60.0,0,0,0.0,3,5,60.0,2,2,100.0,0,2,2,2,1,1,1,1,0,1,2,9,12,1843906,https://imagenes.feb.es/foto.aspx?c=1843906,676
PALMER BASKET MALLORCA PALMA,8,0,A. Chapela Lage,12:43,4,0,0,0.0,1,2,50.0,1,2,50.0,1,2,50.0,0,0,0,4,0,0,0,0,0,1,3,-2,8,1197937,https://imagenes.feb.es/foto.aspx?c=1197937,763
PALMER BASKET MALLORCA PALMA,9,0,A. Urdiain Labayen,17:26,2,0,2,0.0,0,4,0.0,0,6,0.0,2,2,100.0,0,3,3,0,0,1,0,1,0,1,1,-1,0,1593686,https://imagenes.feb.es/foto.aspx?c=1593686,1046
