Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
CAJA RURAL CB ZAMORA,2,1,T. Roberts,26:19,26,3,7,42.9,4,7,57.1,7,14,50.0,8,9,88.9,0,0,0,1,5,1,0,0,0,2,7,4,20,2813978,https://imagenes.feb.es/foto.aspx?c=2813978,1579
CAJA RURAL CB ZAMORA,3,1,C. Rogers,25:24,12,0,4,0.0,3,7,42.9,3,11,27.3,3,4,75.0,2,2,4,2,1,0,0,0,0,4,2,2,6,2814246,https://imagenes.feb.es/foto.aspx?c=2814246,1524
CAJA RURAL CB ZAMORA,4,0,J. Round,20:54,11,1,1,100.0,3,4,75.0,4,5,80.0,0,0,0.0,0,1,1,0,1,0,0,0,1,4,0,24,6,2335424,https://imagenes.feb.es/foto.aspx?c=2335424,1254
CAJA RURAL CB ZAMORA,9,0,J. Peris Crespo,19:09,12,3,5,60.0,0,1,0.0,3,6,50.0,6,6,100.0,0,0,0,2,3,3,0,0,0,1,3,7,13,1702420,https://imagenes.feb.es/foto.aspx?c=1702420,1149
CAJA RURAL CB ZAMORA,13,1,A. Martinez Clariana,21:55,7,1,3,33.3,1,2,50.0,2,5,40.0,2,2,100.0,2,3,5,2,1,0,1,0,0,1,3,-6,13,1890908,https://imagenes.feb.es/foto.aspx?c=1890908,1315
CAJA RURAL CB ZAMORA,14,0,D. Kristensen,03:34,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,-1,1,2819218,https://imagenes.feb.es/foto.aspx?c=2819218,214
CAJA RURAL CB ZAMORA,15,1,O. Lo       ,18:43,9,3,7,42.9,0,0,0.0,3,7,42.9,3,6,50.0,2,3,5,1,2,1,0,0,1,0,4,-10,11,2432888,https://imagenes.feb.es/foto.aspx?c=2432888,1123
CAJA RURAL CB ZAMORA,17,0,T. Naspler Peraire,09:09,0,0,0,0.0,0,1,0.0,0,1,0.0,0,2,0.0,0,2,2,3,3,1,0,0,0,2,1,-1,-1,1947677,https://imagenes.feb.es/foto.aspx?c=1947677,549
CAJA RURAL CB ZAMORA,21,1,J. Van Zegeren,16:55,5,2,2,100.0,0,0,0.0,2,2,100.0,1,3,33.3,0,5,5,0,1,0,1,0,0,3,2,-11,7,2335179,https://imagenes.feb.es/foto.aspx?c=2335179,1015
CAJA RURAL CB ZAMORA,34,0,S. Thrastarson,23:03,13,3,4,75.0,0,1,0.0,3,5,60.0,7,8,87.5,2,2,4,2,2,4,1,0,0,2,6,15,23,2814245,https://imagenes.feb.es/foto.aspx?c=2814245,1383
CAJA RURAL CB ZAMORA,55,0,J. Paukstè,14:55,4,2,2,100.0,0,0,0.0,2,2,100.0,0,1,0.0,0,3,3,1,0,0,0,0,0,4,1,7,4,2334629,https://imagenes.feb.es/foto.aspx?c=2334629,895
CAJA RURAL CB ZAMORA,78,0,A. Bouzan Cumplido,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440545,https://imagenes.feb.es/foto.aspx?c=1440545,0
GRUPO URETA TIZONA BURGOS,1,0,S. Benito Anton,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300926,https://imagenes.feb.es/foto.aspx?c=2300926,0
GRUPO URETA TIZONA BURGOS,5,0,M. Jackson,20:01,9,4,5,80.0,0,3,0.0,4,8,50.0,1,2,50.0,0,1,1,2,3,1,0,0,0,4,1,-1,2,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,1201
GRUPO URETA TIZONA BURGOS,10,0,A. Parrado Calabria,18:06,4,1,6,16.7,0,2,0.0,1,8,12.5,2,3,66.7,1,3,4,2,0,1,0,1,0,2,2,1,3,1787348,https://imagenes.feb.es/foto.aspx?c=1787348,1086
GRUPO URETA TIZONA BURGOS,13,0,R. Vila Soley,18:15,15,6,7,85.7,0,2,0.0,6,9,66.7,3,4,75.0,0,2,2,0,1,0,0,0,0,1,3,-7,14,1572466,https://imagenes.feb.es/foto.aspx?c=1572466,1095
GRUPO URETA TIZONA BURGOS,21,1,G. Gil Garcia,21:39,11,2,4,50.0,2,3,66.7,4,7,57.1,1,2,50.0,3,3,6,1,3,0,0,0,0,4,3,-1,10,1808439,https://imagenes.feb.es/foto.aspx?c=1808439,1299
GRUPO URETA TIZONA BURGOS,24,0,A. Huelves Garcia,13:56,4,1,1,100.0,0,1,0.0,1,2,50.0,2,2,100.0,0,2,2,3,2,2,0,0,0,1,1,8,8,2138600,https://imagenes.feb.es/foto.aspx?c=2138600,836
GRUPO URETA TIZONA BURGOS,25,1,J. Zidek,17:00,12,6,7,85.7,0,2,0.0,6,9,66.7,0,0,0.0,1,2,3,1,2,0,0,1,0,4,0,-6,7,2736183,https://imagenes.feb.es/foto.aspx?c=2736183,1020
GRUPO URETA TIZONA BURGOS,31,0,J. Brown-Ferguson,10:25,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,3,3,0,1,1,0,0,1,2,0,6,2,2814907,https://imagenes.feb.es/foto.aspx?c=2814907,625
GRUPO URETA TIZONA BURGOS,33,1,A. Alonso Cuevas,22:07,14,3,4,75.0,1,3,33.3,4,7,57.1,5,6,83.3,1,1,2,1,0,2,0,1,0,4,5,-16,16,1879609,https://imagenes.feb.es/foto.aspx?c=1879609,1327
GRUPO URETA TIZONA BURGOS,35,1,R. Seoane Rodicio,16:58,6,3,3,100.0,0,4,0.0,3,7,42.9,0,0,0.0,3,0,3,1,0,0,0,0,0,4,1,-14,3,1625687,https://imagenes.feb.es/foto.aspx?c=1625687,1018
GRUPO URETA TIZONA BURGOS,55,0,G. Jofresa Sarret,21:23,9,1,3,33.3,1,6,16.7,2,9,22.2,4,4,100.0,0,1,1,2,1,3,0,0,0,1,4,4,10,1787363,https://imagenes.feb.es/foto.aspx?c=1787363,1283
GRUPO URETA TIZONA BURGOS,60,1,A. Alonso Ruiz,20:10,9,3,3,100.0,0,0,0.0,3,3,100.0,3,3,100.0,1,4,5,1,1,2,0,0,0,2,4,-4,18,2325671,https://imagenes.feb.es/foto.aspx?c=2325671,1210
