Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO URETA TIZONA BURGOS,5,1,M. Jackson,24:40,17,1,1,100.0,5,9,55.6,6,10,60.0,0,0,0.0,0,0,0,0,0,1,0,0,0,2,1,-5,13,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,1480
GRUPO URETA TIZONA BURGOS,8,0,F. Terins,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,0
GRUPO URETA TIZONA BURGOS,10,1,A. Parrado Calabria,23:45,6,1,4,25.0,0,4,0.0,1,8,12.5,4,8,50.0,2,6,8,1,3,0,0,0,0,3,7,-8,5,1787348,https://imagenes.feb.es/foto.aspx?c=1787348,1425
GRUPO URETA TIZONA BURGOS,13,1,R. Vila Soley,20:55,12,4,7,57.1,0,1,0.0,4,8,50.0,4,4,100.0,0,2,2,0,0,0,0,0,0,2,3,4,11,1572466,https://imagenes.feb.es/foto.aspx?c=1572466,1255
GRUPO URETA TIZONA BURGOS,21,0,G. Gil Garcia,20:45,2,1,1,100.0,0,4,0.0,1,5,20.0,0,0,0.0,1,4,5,1,1,0,0,0,0,2,0,2,1,1808439,https://imagenes.feb.es/foto.aspx?c=1808439,1245
GRUPO URETA TIZONA BURGOS,24,0,A. Huelves Garcia,12:22,12,2,4,50.0,0,2,0.0,2,6,33.3,8,9,88.9,0,0,0,1,0,0,0,0,0,5,6,12,9,2138600,https://imagenes.feb.es/foto.aspx?c=2138600,742
GRUPO URETA TIZONA BURGOS,25,0,J. Zidek,08:19,3,0,0,0.0,1,2,50.0,1,2,50.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,-1,4,2736183,https://imagenes.feb.es/foto.aspx?c=2736183,499
GRUPO URETA TIZONA BURGOS,31,0,J. Brown-Ferguson,10:46,3,1,1,100.0,0,0,0.0,1,1,100.0,1,1,100.0,0,3,3,0,1,0,2,0,0,1,2,-7,8,2814907,https://imagenes.feb.es/foto.aspx?c=2814907,646
GRUPO URETA TIZONA BURGOS,33,0,A. Alonso Cuevas,10:35,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,1,1,0,0,0,0,5,0,3,-4,1879609,https://imagenes.feb.es/foto.aspx?c=1879609,635
GRUPO URETA TIZONA BURGOS,35,1,R. Seoane Rodicio,25:55,8,3,5,60.0,0,3,0.0,3,8,37.5,2,2,100.0,3,3,6,1,0,0,0,0,0,2,2,-14,10,1625687,https://imagenes.feb.es/foto.aspx?c=1625687,1555
GRUPO URETA TIZONA BURGOS,55,1,G. Jofresa Sarret,20:37,15,0,1,0.0,3,9,33.3,3,10,30.0,6,6,100.0,0,2,2,2,0,0,0,0,0,1,4,7,15,1787363,https://imagenes.feb.es/foto.aspx?c=1787363,1237
GRUPO URETA TIZONA BURGOS,60,0,A. Alonso Ruiz,21:21,11,1,2,50.0,2,4,50.0,3,6,50.0,3,6,50.0,0,0,0,2,1,3,0,0,0,3,4,-13,10,2325671,https://imagenes.feb.es/foto.aspx?c=2325671,1281
FLEXICAR FUENLABRADA,5,1,A. Murphy,22:22,19,5,8,62.5,2,2,100.0,7,10,70.0,3,4,75.0,1,2,3,0,0,0,0,0,0,2,3,15,19,2642637,https://imagenes.feb.es/foto.aspx?c=2642637,1342
FLEXICAR FUENLABRADA,7,1,M. Diaz,22:09,14,4,7,57.1,1,2,50.0,5,9,55.6,3,3,100.0,1,5,6,2,1,0,0,0,0,5,2,8,14,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,1329
FLEXICAR FUENLABRADA,8,1,V. Alves Benite ,35:18,31,6,7,85.7,3,7,42.9,9,14,64.3,10,11,90.9,0,6,6,4,3,2,0,0,0,3,10,13,41,2157874,https://imagenes.feb.es/foto.aspx?c=2157874,2118
FLEXICAR FUENLABRADA,9,0,B. Vidarte Cano,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2178977,https://imagenes.feb.es/foto.aspx?c=2178977,0
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,26:22,8,3,7,42.9,0,0,0.0,3,7,42.9,2,4,50.0,0,6,6,0,1,1,0,0,0,3,3,-6,8,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,1582
FLEXICAR FUENLABRADA,15,0,P. Rodriguez Pascual,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992879,https://imagenes.feb.es/foto.aspx?c=1992879,0
FLEXICAR FUENLABRADA,21,0,D. Stolbetskiy,01:18,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,2736363,https://imagenes.feb.es/foto.aspx?c=2736363,78
FLEXICAR FUENLABRADA,30,0,P. Rigot,21:03,6,1,2,50.0,0,5,0.0,1,7,14.3,4,4,100.0,0,4,4,1,1,1,0,1,0,1,3,-5,7,2820729,https://imagenes.feb.es/foto.aspx?c=2820729,1263
FLEXICAR FUENLABRADA,31,0,C. Martin,05:17,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,2,0,-5,-3,2819302,https://imagenes.feb.es/foto.aspx?c=2819302,317
FLEXICAR FUENLABRADA,35,0,J. Belemene-Dzabatou,17:38,4,2,2,100.0,0,2,0.0,2,4,50.0,0,1,0.0,1,2,3,0,0,2,0,0,1,4,1,-5,3,2820728,https://imagenes.feb.es/foto.aspx?c=2820728,1058
FLEXICAR FUENLABRADA,41,0,L. Nikkarinen,21:52,2,0,1,0.0,0,1,0.0,0,2,0.0,2,2,100.0,0,1,1,1,0,0,0,0,0,5,1,1,-2,2819305,https://imagenes.feb.es/foto.aspx?c=2819305,1312
FLEXICAR FUENLABRADA,88,1,J. Kasibabu Shilala,26:41,9,4,8,50.0,0,0,0.0,4,8,50.0,1,2,50.0,3,3,6,2,3,0,0,0,0,4,2,2,7,2820727,https://imagenes.feb.es/foto.aspx?c=2820727,1601
