Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO CAESA SEGUROS FC CARTAGENA CB,1,1,S. Thomas,14:59,4,2,6,33.3,0,1,0.0,2,7,28.6,0,2,0.0,1,2,3,4,1,0,0,1,0,0,3,-3,6,2816798,https://imagenes.feb.es/foto.aspx?c=2816798,899
GRUPO CAESA SEGUROS FC CARTAGENA CB,2,1,A. Garuba Alari,21:41,6,2,4,50.0,0,0,0.0,2,4,50.0,2,2,100.0,0,1,1,2,2,0,1,0,0,3,3,2,6,2159336,https://imagenes.feb.es/foto.aspx?c=2159336,1301
GRUPO CAESA SEGUROS FC CARTAGENA CB,3,0,T. Suokas,15:51,5,1,1,100.0,1,1,100.0,2,2,100.0,0,0,0.0,0,1,1,2,2,0,0,0,0,4,1,1,3,2816854,https://imagenes.feb.es/foto.aspx?c=2816854,951
GRUPO CAESA SEGUROS FC CARTAGENA CB,4,0,I. Rivera Carroll,23:04,16,3,7,42.9,2,7,28.6,5,14,35.7,4,6,66.7,2,1,3,0,1,3,0,1,0,1,4,2,13,2816796,https://imagenes.feb.es/foto.aspx?c=2816796,1384
GRUPO CAESA SEGUROS FC CARTAGENA CB,5,0,A. Martin Marin,13:05,0,0,1,0.0,0,0,0.0,0,1,0.0,0,2,0.0,1,1,2,4,2,2,0,0,0,5,2,4,0,1384223,https://imagenes.feb.es/foto.aspx?c=1384223,785
GRUPO CAESA SEGUROS FC CARTAGENA CB,8,0,A. Saavedra Jimenez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064701,https://imagenes.feb.es/foto.aspx?c=2064701,0
GRUPO CAESA SEGUROS FC CARTAGENA CB,11,0,E. Idehen Idehen,16:49,4,2,4,50.0,0,0,0.0,2,4,50.0,0,1,0.0,0,5,5,0,1,0,0,0,0,2,1,2,4,2525411,https://imagenes.feb.es/foto.aspx?c=2525411,1009
GRUPO CAESA SEGUROS FC CARTAGENA CB,12,0,A. Domenech Fontana,07:41,3,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,-1,3,1923881,https://imagenes.feb.es/foto.aspx?c=1923881,461
GRUPO CAESA SEGUROS FC CARTAGENA CB,13,1,V. Faverani Tatsch,23:11,12,3,4,75.0,1,2,50.0,4,6,66.7,3,3,100.0,0,7,7,0,1,0,0,0,0,2,4,2,18,2820135,https://imagenes.feb.es/foto.aspx?c=2820135,1391
GRUPO CAESA SEGUROS FC CARTAGENA CB,19,0,A. Harguindey Maneiro,24:14,11,4,4,100.0,1,2,50.0,5,6,83.3,0,0,0.0,1,3,4,2,0,0,2,0,0,3,1,7,16,1997544,https://imagenes.feb.es/foto.aspx?c=1997544,1454
GRUPO CAESA SEGUROS FC CARTAGENA CB,20,1,S. Svejcar,31:24,18,3,8,37.5,2,5,40.0,5,13,38.5,6,7,85.7,0,4,4,3,4,2,0,0,0,1,4,6,17,2816849,https://imagenes.feb.es/foto.aspx?c=2816849,1884
GRUPO CAESA SEGUROS FC CARTAGENA CB,23,1,A. Kelly,08:01,3,1,1,100.0,0,1,0.0,1,2,50.0,1,1,100.0,0,2,2,0,1,1,0,0,0,3,1,-2,2,2816848,https://imagenes.feb.es/foto.aspx?c=2816848,481
ALIMERKA OVIEDO BALONCESTO,4,0,A. Faure Ribes,15:38,8,3,5,60.0,0,0,0.0,3,5,60.0,2,3,66.7,2,3,5,0,4,0,0,0,1,2,2,-1,6,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,938
ALIMERKA OVIEDO BALONCESTO,5,1,G. Parham Ii,29:07,10,3,7,42.9,1,7,14.3,4,14,28.6,1,2,50.0,0,1,1,3,2,0,0,0,0,2,2,-7,1,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1747
ALIMERKA OVIEDO BALONCESTO,7,0,D. Duscak,21:40,10,3,6,50.0,1,4,25.0,4,10,40.0,1,2,50.0,0,4,4,8,5,1,0,0,0,5,8,15,14,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1300
ALIMERKA OVIEDO BALONCESTO,11,0,F. Copes,11:29,4,1,3,33.3,0,0,0.0,1,3,33.3,2,4,50.0,2,1,3,1,3,1,0,0,0,1,2,0,3,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,689
ALIMERKA OVIEDO BALONCESTO,14,1,D. Shelist,22:51,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,3,1,4,1,0,0,1,1,0,3,0,4,1,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,1371
ALIMERKA OVIEDO BALONCESTO,24,1,C. Hermanson,27:27,11,2,6,33.3,2,11,18.2,4,17,23.5,1,3,33.3,3,4,7,3,0,1,0,1,0,2,1,-13,6,2735658,https://imagenes.feb.es/foto.aspx?c=2735658,1647
ALIMERKA OVIEDO BALONCESTO,35,0,F. Nwaokorie,18:43,6,0,0,0.0,2,3,66.7,2,3,66.7,0,0,0.0,2,6,8,0,1,0,1,0,0,1,1,-10,13,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1123
ALIMERKA OVIEDO BALONCESTO,41,1,R. Cosialls Borras,22:29,16,6,7,85.7,0,0,0.0,6,7,85.7,4,6,66.7,4,1,5,1,2,1,0,1,0,4,5,-1,19,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,1349
ALIMERKA OVIEDO BALONCESTO,48,0,J. Arias Gonzalez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981938,https://imagenes.feb.es/foto.aspx?c=1981938,0
ALIMERKA OVIEDO BALONCESTO,55,1,R. Lobaco Muñoz,30:36,13,1,3,33.3,3,8,37.5,4,11,36.4,2,2,100.0,0,5,5,0,1,1,0,0,1,4,2,-7,9,1978545,https://imagenes.feb.es/foto.aspx?c=1978545,1836
