Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO ALEGA CANTABRIA,2,0,J. Powell,23:34,0,0,2,0.0,0,2,0.0,0,4,0.0,0,0,0.0,0,0,0,4,1,0,0,0,0,4,0,-34,-5,2334516,https://imagenes.feb.es/foto.aspx?c=2334516,1414
GRUPO ALEGA CANTABRIA,6,0,C. Taboada Heiskanen,05:22,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,3,1,4,0,1,0,0,0,0,1,0,-7,1,1899194,https://imagenes.feb.es/foto.aspx?c=1899194,322
GRUPO ALEGA CANTABRIA,8,0,S. Rodríguez Ramos,19:36,9,1,1,100.0,1,5,20.0,2,6,33.3,4,6,66.7,0,2,2,0,0,1,0,0,0,3,9,-31,12,841966,https://imagenes.feb.es/foto.aspx?c=841966,1176
GRUPO ALEGA CANTABRIA,9,1,B. Lugarini,24:07,5,1,1,100.0,1,5,20.0,2,6,33.3,0,0,0.0,2,3,5,0,4,0,0,0,0,1,0,-22,1,2481151,https://imagenes.feb.es/foto.aspx?c=2481151,1447
GRUPO ALEGA CANTABRIA,10,1,G. Martinez Diaz,16:50,6,1,2,50.0,1,4,25.0,2,6,33.3,1,2,50.0,0,2,2,1,2,2,0,0,0,3,4,-18,5,1821694,https://imagenes.feb.es/foto.aspx?c=1821694,1010
GRUPO ALEGA CANTABRIA,11,1,J. Yu,13:01,2,1,2,50.0,0,0,0.0,1,2,50.0,0,4,0.0,1,1,2,1,0,0,0,0,0,0,3,-12,3,2815820,https://imagenes.feb.es/foto.aspx?c=2815820,781
GRUPO ALEGA CANTABRIA,15,0,P. Hernandez Montenegro,16:23,1,0,2,0.0,0,2,0.0,0,4,0.0,1,2,50.0,0,2,2,0,2,0,0,0,0,2,1,-18,-5,1442713,https://imagenes.feb.es/foto.aspx?c=1442713,983
GRUPO ALEGA CANTABRIA,24,1,J. Perez Perez,32:07,16,3,8,37.5,3,4,75.0,6,12,50.0,1,3,33.3,1,2,3,0,3,0,0,0,0,4,3,-44,7,2820629,https://imagenes.feb.es/foto.aspx?c=2820629,1927
GRUPO ALEGA CANTABRIA,32,1,R. Johnson Jr,27:23,13,3,6,50.0,2,4,50.0,5,10,50.0,1,1,100.0,0,2,2,1,3,0,0,0,0,1,1,-29,8,2274998,https://imagenes.feb.es/foto.aspx?c=2274998,1643
GRUPO ALEGA CANTABRIA,34,0,G. Kande Kieli,21:37,6,2,6,33.3,0,0,0.0,2,6,33.3,2,2,100.0,2,2,4,0,2,0,0,1,2,1,1,-30,4,2446696,https://imagenes.feb.es/foto.aspx?c=2446696,1297
SÚPER AGROPAL PALENCIA,2,0,A. Wintering,17:40,22,5,7,71.4,3,4,75.0,8,11,72.7,3,3,100.0,2,4,6,4,0,2,0,0,0,4,1,10,28,2276415,https://imagenes.feb.es/foto.aspx?c=2276415,1060
SÚPER AGROPAL PALENCIA,5,0,A. Kunkel,22:11,21,5,10,50.0,3,6,50.0,8,16,50.0,2,2,100.0,3,1,4,2,0,1,0,0,0,2,3,34,21,2734949,https://imagenes.feb.es/foto.aspx?c=2734949,1331
SÚPER AGROPAL PALENCIA,6,1,T. Borg,21:07,12,1,2,50.0,1,3,33.3,2,5,40.0,7,7,100.0,0,3,3,1,1,1,0,0,0,4,3,26,12,2092465,https://imagenes.feb.es/foto.aspx?c=2092465,1267
SÚPER AGROPAL PALENCIA,7,1,X. Oroz Uria,13:02,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,2,1,0,0,0,0,1,1,20,3,1750421,https://imagenes.feb.es/foto.aspx?c=1750421,782
SÚPER AGROPAL PALENCIA,8,1,I. Jakovics,25:00,10,1,2,50.0,2,6,33.3,3,8,37.5,2,2,100.0,0,4,4,7,2,0,0,0,0,2,2,41,14,2533871,https://imagenes.feb.es/foto.aspx?c=2533871,1500
SÚPER AGROPAL PALENCIA,9,0,M. Kamba,20:31,4,1,2,50.0,0,0,0.0,1,2,50.0,2,2,100.0,1,3,4,0,0,0,1,0,0,0,1,23,9,2734950,https://imagenes.feb.es/foto.aspx?c=2734950,1231
SÚPER AGROPAL PALENCIA,11,0,M. Rodriguez Barrientos,12:10,8,1,1,100.0,2,4,50.0,3,5,60.0,0,0,0.0,0,1,1,0,0,1,0,0,1,3,0,11,5,1376540,https://imagenes.feb.es/foto.aspx?c=1376540,730
SÚPER AGROPAL PALENCIA,13,1,J. Vrankic,19:46,14,6,9,66.7,0,2,0.0,6,11,54.5,2,4,50.0,1,5,6,2,0,1,0,0,0,1,4,22,19,2640789,https://imagenes.feb.es/foto.aspx?c=2640789,1186
SÚPER AGROPAL PALENCIA,15,0,J. Gonzalez Calvo,12:25,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,1,3,2,0,0,0,0,0,1,1,14,5,1382607,https://imagenes.feb.es/foto.aspx?c=1382607,745
SÚPER AGROPAL PALENCIA,17,1,M. Armus,14:06,5,2,4,50.0,0,0,0.0,2,4,50.0,1,2,50.0,2,3,5,0,1,2,0,0,0,1,2,16,9,2818672,https://imagenes.feb.es/foto.aspx?c=2818672,846
SÚPER AGROPAL PALENCIA,31,0,S. Ugochukwu,15:53,9,4,5,80.0,0,0,0.0,4,5,80.0,1,1,100.0,0,2,2,1,0,1,0,0,1,2,1,22,11,2738742,https://imagenes.feb.es/foto.aspx?c=2738742,953
SÚPER AGROPAL PALENCIA,35,0,A. Muñoz Borchers,06:09,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,1,0,0,0,1,0,6,-2,1253254,https://imagenes.feb.es/foto.aspx?c=1253254,369
