Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
CAJA RURAL CB ZAMORA,2,1,T. Roberts,26:24,17,3,10,30.0,3,10,30.0,6,20,30.0,2,2,100.0,0,1,1,2,2,0,0,0,0,2,2,7,4,2813978,https://imagenes.feb.es/foto.aspx?c=2813978,1584
CAJA RURAL CB ZAMORA,3,1,C. Rogers,26:26,10,1,3,33.3,2,7,28.6,3,10,30.0,2,2,100.0,0,3,3,1,4,0,0,0,0,3,3,-2,3,2814246,https://imagenes.feb.es/foto.aspx?c=2814246,1586
CAJA RURAL CB ZAMORA,4,0,J. Round,17:48,3,0,1,0.0,1,2,50.0,1,3,33.3,0,0,0.0,0,2,2,0,1,0,1,0,0,2,0,1,1,2335424,https://imagenes.feb.es/foto.aspx?c=2335424,1068
CAJA RURAL CB ZAMORA,9,0,J. Peris Crespo,17:34,10,3,6,50.0,0,4,0.0,3,10,30.0,4,4,100.0,0,0,0,2,1,2,0,0,0,5,3,-5,4,1702420,https://imagenes.feb.es/foto.aspx?c=1702420,1054
CAJA RURAL CB ZAMORA,13,1,A. Martinez Clariana,17:22,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,3,2,5,0,0,0,1,0,0,0,2,-13,7,1890908,https://imagenes.feb.es/foto.aspx?c=1890908,1042
CAJA RURAL CB ZAMORA,14,0,D. Kristensen,00:53,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0,2819218,https://imagenes.feb.es/foto.aspx?c=2819218,53
CAJA RURAL CB ZAMORA,15,1,O. Lo       ,23:00,12,5,8,62.5,0,1,0.0,5,9,55.6,2,2,100.0,3,4,7,0,2,1,0,0,1,0,3,-7,17,2432888,https://imagenes.feb.es/foto.aspx?c=2432888,1380
CAJA RURAL CB ZAMORA,17,0,T. Naspler Peraire,10:32,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,1,2,0,0,0,0,1,0,-14,-2,1947677,https://imagenes.feb.es/foto.aspx?c=1947677,632
CAJA RURAL CB ZAMORA,21,0,J. Van Zegeren,18:12,14,5,10,50.0,0,0,0.0,5,10,50.0,4,5,80.0,5,1,6,0,1,0,1,2,0,3,6,-22,17,2335179,https://imagenes.feb.es/foto.aspx?c=2335179,1092
CAJA RURAL CB ZAMORA,34,0,S. Thrastarson,21:24,6,1,3,33.3,1,3,33.3,2,6,33.3,1,2,50.0,1,2,3,1,0,1,0,0,0,3,1,-5,4,2814245,https://imagenes.feb.es/foto.aspx?c=2814245,1284
