Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MELILLA CIUDAD DEL DEPORTE,0,0,J. Godspower Johnson,22:33,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,3,1,3,0,0,0,2,0,11,4,1878729,https://imagenes.feb.es/foto.aspx?c=1878729,1353
MELILLA CIUDAD DEL DEPORTE,1,1,D. Poirier,25:26,17,3,7,42.9,2,2,100.0,5,9,55.6,5,6,83.3,4,9,13,0,0,1,1,1,1,4,4,-9,27,2451278,https://imagenes.feb.es/foto.aspx?c=2451278,1526
MELILLA CIUDAD DEL DEPORTE,4,0,S. Peno,08:16,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,1,2,0,0,0,0,1,1,-4,-1,2814862,https://imagenes.feb.es/foto.aspx?c=2814862,496
MELILLA CIUDAD DEL DEPORTE,5,1,M. Heron,26:59,18,3,8,37.5,4,7,57.1,7,15,46.7,0,2,0.0,0,0,0,2,4,2,0,0,2,2,3,-1,9,2819191,https://imagenes.feb.es/foto.aspx?c=2819191,1619
MELILLA CIUDAD DEL DEPORTE,7,0,P. Cordoba Muro,21:48,4,0,2,0.0,0,2,0.0,0,4,0.0,4,5,80.0,1,0,1,3,1,3,0,0,0,3,3,2,5,1677841,https://imagenes.feb.es/foto.aspx?c=1677841,1308
MELILLA CIUDAD DEL DEPORTE,12,1,P. Krutous,19:30,6,0,1,0.0,2,2,100.0,2,3,66.7,0,0,0.0,0,1,1,0,0,0,0,0,0,2,0,-14,4,2734873,https://imagenes.feb.es/foto.aspx?c=2734873,1170
MELILLA CIUDAD DEL DEPORTE,13,0,J. Vicente Bosch,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2287056,https://imagenes.feb.es/foto.aspx?c=2287056,0
MELILLA CIUDAD DEL DEPORTE,21,0,L. Debaut,19:31,11,3,4,75.0,0,2,0.0,3,6,50.0,5,7,71.4,2,3,5,1,2,0,0,1,0,2,5,-10,13,2647156,https://imagenes.feb.es/foto.aspx?c=2647156,1171
MELILLA CIUDAD DEL DEPORTE,22,0,C. Diaz Rodriguez,22:37,10,1,4,25.0,2,4,50.0,3,8,37.5,2,2,100.0,2,0,2,1,2,0,0,1,0,4,3,-9,5,1251001,https://imagenes.feb.es/foto.aspx?c=1251001,1357
MELILLA CIUDAD DEL DEPORTE,33,1,M. Stilma,12:30,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,2,2,1,4,0,0,0,0,1,0,-16,-4,2734242,https://imagenes.feb.es/foto.aspx?c=2734242,750
MELILLA CIUDAD DEL DEPORTE,44,1,J. Garcia Sanchez,20:50,4,2,5,40.0,0,3,0.0,2,8,25.0,0,0,0.0,1,3,4,3,1,0,0,0,0,2,0,-10,2,1978541,https://imagenes.feb.es/foto.aspx?c=1978541,1250
MELILLA CIUDAD DEL DEPORTE,50,0,R. Stumbris,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2739848,https://imagenes.feb.es/foto.aspx?c=2739848,0
MOVISTAR ESTUDIANTES,1,0,A. González Pérez,08:47,3,1,2,50.0,0,0,0.0,1,2,50.0,1,2,50.0,2,1,3,0,1,0,0,0,0,1,1,-2,3,2094445,https://imagenes.feb.es/foto.aspx?c=2094445,527
MOVISTAR ESTUDIANTES,2,1,A. Brimah,20:25,9,4,4,100.0,0,0,0.0,4,4,100.0,1,1,100.0,0,3,3,0,4,1,0,0,1,1,2,7,10,2746502,https://imagenes.feb.es/foto.aspx?c=2746502,1225
