Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FIBWI MALLORCA BASQUET PALMA ,1,0,L. Smith,10:29,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,3,1,4,1,3,0,0,0,0,3,1,-6,-2,2788739,https://imagenes.feb.es/foto.aspx?c=2788739,629
FIBWI MALLORCA BASQUET PALMA ,5,0,L. Menuge,13:02,3,0,0,0.0,1,2,50.0,1,2,50.0,0,0,0.0,1,2,3,1,0,0,0,0,0,1,0,1,5,2838797,https://imagenes.feb.es/foto.aspx?c=2838797,782
FIBWI MALLORCA BASQUET PALMA ,6,1,J. Bocca,28:01,5,1,3,33.3,1,6,16.7,2,9,22.2,0,0,0.0,0,0,0,1,0,2,0,0,0,2,1,7,0,2821058,https://imagenes.feb.es/foto.aspx?c=2821058,1681
FIBWI MALLORCA BASQUET PALMA ,10,0,A. Bosch Domingo,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597927,https://imagenes.feb.es/foto.aspx?c=1597927,0
FIBWI MALLORCA BASQUET PALMA ,15,0,O. Siquier Costa,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008018,https://imagenes.feb.es/foto.aspx?c=2008018,0
FIBWI MALLORCA BASQUET PALMA ,23,1,J. Aramburu Lamy,28:44,11,1,2,50.0,3,4,75.0,4,6,66.7,0,0,0.0,2,0,2,2,0,0,0,0,0,4,1,3,10,1509876,https://imagenes.feb.es/foto.aspx?c=1509876,1724
FIBWI MALLORCA BASQUET PALMA ,24,1,L. Capalbo,29:59,12,3,5,60.0,2,8,25.0,5,13,38.5,0,0,0.0,1,4,5,4,3,4,0,0,0,2,4,1,16,2818075,https://imagenes.feb.es/foto.aspx?c=2818075,1799
FIBWI MALLORCA BASQUET PALMA ,30,0,J. Martinez Cabezudo,08:59,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,3,0,1,0,0,0,1,0,6,2,1241485,https://imagenes.feb.es/foto.aspx?c=1241485,539
FIBWI MALLORCA BASQUET PALMA ,33,1,L. Bracey,34:40,23,5,9,55.6,2,5,40.0,7,14,50.0,7,7,100.0,3,0,3,1,3,4,1,0,0,3,6,7,25,2583212,https://imagenes.feb.es/foto.aspx?c=2583212,2080
FIBWI MALLORCA BASQUET PALMA ,34,0,P. Santos Spencer,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2527396,https://imagenes.feb.es/foto.aspx?c=2527396,0
FIBWI MALLORCA BASQUET PALMA ,44,0,B. Vazquez Arraiza,18:21,13,2,6,33.3,3,5,60.0,5,11,45.5,0,1,0.0,1,0,1,1,0,2,0,1,0,2,2,-6,10,2783882,https://imagenes.feb.es/foto.aspx?c=2783882,1101
FIBWI MALLORCA BASQUET PALMA ,99,1,P. Bombino Parada,27:45,21,9,13,69.2,0,0,0.0,9,13,69.2,3,4,75.0,2,2,4,6,0,1,2,0,5,2,3,12,30,2819257,https://imagenes.feb.es/foto.aspx?c=2819257,1665
CAJA RURAL CB ZAMORA,2,0,T. Roberts,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2813978,https://imagenes.feb.es/foto.aspx?c=2813978,0
CAJA RURAL CB ZAMORA,3,1,C. Rogers,23:09,12,0,2,0.0,4,7,57.1,4,9,44.4,0,0,0.0,1,1,2,0,3,0,0,0,0,1,0,-14,5,2814246,https://imagenes.feb.es/foto.aspx?c=2814246,1389
CAJA RURAL CB ZAMORA,4,0,J. Round,18:16,3,0,1,0.0,1,2,50.0,1,3,33.3,0,0,0.0,0,0,0,2,1,0,0,1,0,2,0,4,0,2335424,https://imagenes.feb.es/foto.aspx?c=2335424,1096
CAJA RURAL CB ZAMORA,9,0,J. Peris Crespo,20:04,3,0,0,0.0,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,2,5,0,0,0,0,4,0,-6,-5,1702420,https://imagenes.feb.es/foto.aspx?c=1702420,1204
CAJA RURAL CB ZAMORA,13,0,A. Martinez Clariana,15:37,10,4,4,100.0,0,0,0.0,4,4,100.0,2,5,40.0,3,2,5,1,2,0,1,0,0,1,5,7,16,1890908,https://imagenes.feb.es/foto.aspx?c=1890908,937
CAJA RURAL CB ZAMORA,14,0,D. Kristensen,06:32,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,-8,3,2819218,https://imagenes.feb.es/foto.aspx?c=2819218,392
CAJA RURAL CB ZAMORA,15,1,O. Lo       ,28:05,14,7,10,70.0,0,0,0.0,7,10,70.0,0,1,0.0,0,3,3,1,2,1,0,1,0,0,2,-4,15,2432888,https://imagenes.feb.es/foto.aspx?c=2432888,1685
