Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
LEYMA CORUÑA,0,1,D. Cuevas Simarro,25:36,5,1,3,33.3,0,3,0.0,1,6,16.7,3,4,75.0,1,3,4,8,4,2,0,0,0,3,3,13,9,2557970,https://imagenes.feb.es/foto.aspx?c=2557970,1536
LEYMA CORUÑA,4,0,P. Jorgensen,26:43,22,4,6,66.7,4,6,66.7,8,12,66.7,2,4,50.0,2,3,5,5,0,0,0,0,0,1,5,17,30,2371535,https://imagenes.feb.es/foto.aspx?c=2371535,1603
LEYMA CORUÑA,5,1,G. Jou Coll,19:19,8,2,3,66.7,1,5,20.0,3,8,37.5,1,2,50.0,1,1,2,0,0,1,0,0,0,1,3,7,7,1491674,https://imagenes.feb.es/foto.aspx?c=1491674,1159
LEYMA CORUÑA,6,1,M. Braz,12:52,10,3,5,60.0,0,0,0.0,3,5,60.0,4,6,66.7,3,3,6,0,1,1,1,0,1,0,3,-4,16,2814191,https://imagenes.feb.es/foto.aspx?c=2814191,772
LEYMA CORUÑA,9,0,C. De Souza Pacheco,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644143,https://imagenes.feb.es/foto.aspx?c=2644143,0
LEYMA CORUÑA,11,0,M. Oillataguerre,01:36,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,-2,2739841,https://imagenes.feb.es/foto.aspx?c=2739841,96
LEYMA CORUÑA,13,0,D. Brnovic,22:29,7,1,1,100.0,1,2,50.0,2,3,66.7,2,5,40.0,1,0,1,0,1,0,0,0,0,1,2,10,4,2814190,https://imagenes.feb.es/foto.aspx?c=2814190,1349
LEYMA CORUÑA,21,1,I. Diop Gaye,18:21,8,3,5,60.0,0,3,0.0,3,8,37.5,2,2,100.0,2,6,8,1,0,0,0,0,1,2,1,18,11,1848359,https://imagenes.feb.es/foto.aspx?c=1848359,1101
LEYMA CORUÑA,22,0,C. Varela Romero,13:08,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,3,0,0,0,0,0,3,0,4,1,2039654,https://imagenes.feb.es/foto.aspx?c=2039654,788
LEYMA CORUÑA,24,1,J. Cremo,21:14,10,2,6,33.3,2,5,40.0,4,11,36.4,0,1,0.0,1,4,5,1,1,0,0,0,0,3,3,0,7,2452677,https://imagenes.feb.es/foto.aspx?c=2452677,1274
LEYMA CORUÑA,44,0,A. Thiam,17:27,12,6,8,75.0,0,0,0.0,6,8,75.0,0,0,0.0,1,2,3,1,0,0,0,0,0,4,0,-4,10,2815798,https://imagenes.feb.es/foto.aspx?c=2815798,1047
LEYMA CORUÑA,50,0,J. Diaz Alejano,21:15,9,0,4,0.0,3,7,42.9,3,11,27.3,0,0,0.0,4,2,6,1,0,0,0,1,0,3,0,19,5,1541543,https://imagenes.feb.es/foto.aspx?c=1541543,1275
PALMER BASKET MALLORCA PALMA,4,0,M. Frierson,19:01,6,0,2,0.0,1,2,50.0,1,4,25.0,3,3,100.0,1,0,1,3,0,0,0,0,0,2,1,-10,6,2815271,https://imagenes.feb.es/foto.aspx?c=2815271,1141
PALMER BASKET MALLORCA PALMA,6,0,A. Scariolo Ares,15:03,6,1,3,33.3,0,1,0.0,1,4,25.0,4,4,100.0,0,3,3,2,1,1,0,0,0,1,3,-4,10,1843906,https://imagenes.feb.es/foto.aspx?c=1843906,903
PALMER BASKET MALLORCA PALMA,8,0,A. Chapela Lage,08:35,0,0,1,0.0,0,3,0.0,0,4,0.0,0,0,0.0,0,2,2,1,1,1,0,0,0,0,1,-8,0,1197937,https://imagenes.feb.es/foto.aspx?c=1197937,515
PALMER BASKET MALLORCA PALMA,9,1,A. Urdiain Labayen,22:37,4,2,5,40.0,0,4,0.0,2,9,22.2,0,2,0.0,3,3,6,2,1,1,0,0,0,2,1,-6,2,1593686,https://imagenes.feb.es/foto.aspx?c=1593686,1357
PALMER BASKET MALLORCA PALMA,10,1,G. Dike Egun,30:23,11,5,7,71.4,0,0,0.0,5,7,71.4,1,5,20.0,4,4,8,1,1,0,0,0,1,3,4,-10,14,1759354,https://imagenes.feb.es/foto.aspx?c=1759354,1823
PALMER BASKET MALLORCA PALMA,12,1,J. Carralero Martin,20:15,10,0,0,0.0,2,4,50.0,2,4,50.0,4,4,100.0,0,2,2,0,0,1,1,0,0,1,3,-6,14,1591996,https://imagenes.feb.es/foto.aspx?c=1591996,1215
PALMER BASKET MALLORCA PALMA,15,1,J. Feliu Espejo,16:11,8,2,2,100.0,1,4,25.0,3,6,50.0,1,2,50.0,1,3,4,0,2,1,0,0,0,2,4,5,9,1688669,https://imagenes.feb.es/foto.aspx?c=1688669,971
PALMER BASKET MALLORCA PALMA,17,0,A. Almenta Macias,08:55,4,2,3,66.7,0,0,0.0,2,3,66.7,0,0,0.0,2,1,3,0,2,0,0,1,1,3,0,-3,1,1909300,https://imagenes.feb.es/foto.aspx?c=1909300,535
PALMER BASKET MALLORCA PALMA,21,1,T. Hollowell,24:33,13,0,1,0.0,4,11,36.4,4,12,33.3,1,1,100.0,0,0,0,1,0,0,0,0,0,1,2,-9,7,2815272,https://imagenes.feb.es/foto.aspx?c=2815272,1473
PALMER BASKET MALLORCA PALMA,22,0,N. Camacho De Sá,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2815273,https://imagenes.feb.es/foto.aspx?c=2815273,0
PALMER BASKET MALLORCA PALMA,24,0,A. Comendador Femenias,14:00,4,1,1,100.0,0,0,0.0,1,1,100.0,2,2,100.0,2,1,3,0,0,0,0,0,0,3,2,-16,6,1766217,https://imagenes.feb.es/foto.aspx?c=1766217,840
PALMER BASKET MALLORCA PALMA,25,0,I. Massoud Rodríguez,20:27,9,3,4,75.0,1,5,20.0,4,9,44.4,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,-13,3,2818866,https://imagenes.feb.es/foto.aspx?c=2818866,1227
