Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
INVEREADY GIPUZKOA,0,0,A. Ngom,15:27,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,0,0,1,0,-5,4,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,927
INVEREADY GIPUZKOA,1,1,L. Terry,27:13,23,6,12,50.0,1,4,25.0,7,16,43.8,8,9,88.9,1,2,3,2,2,4,0,0,2,1,6,11,25,2813563,https://imagenes.feb.es/foto.aspx?c=2813563,1633
INVEREADY GIPUZKOA,2,1,O. Hanzlik,10:06,3,0,0,0.0,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,2,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,606
INVEREADY GIPUZKOA,6,0,A. Zubizarreta Aranbarri,09:57,6,0,1,0.0,2,3,66.7,2,4,50.0,0,0,0.0,0,1,1,0,1,0,0,0,0,4,1,3,1,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,597
INVEREADY GIPUZKOA,9,0,M. Motos Cabodevilla,14:38,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,1,2,0,0,0,0,2,2,-7,-1,1447983,https://imagenes.feb.es/foto.aspx?c=1447983,878
INVEREADY GIPUZKOA,10,0,M. Ansorregui Deba,15:12,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,1,4,5,1,0,0,1,0,0,1,0,5,4,2082685,https://imagenes.feb.es/foto.aspx?c=2082685,912
INVEREADY GIPUZKOA,11,0,G. Maiza Apecechea,09:55,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,0,0,-6,0,1822814,https://imagenes.feb.es/foto.aspx?c=1822814,595
INVEREADY GIPUZKOA,12,1,J. Nicolau Aledon,20:18,10,3,4,75.0,0,0,0.0,3,4,75.0,4,7,57.1,2,3,5,0,0,1,1,0,1,4,5,4,14,1988355,https://imagenes.feb.es/foto.aspx?c=1988355,1218
INVEREADY GIPUZKOA,13,0,T. Mcghie,17:43,11,1,4,25.0,3,4,75.0,4,8,50.0,0,0,0.0,0,3,3,0,0,0,0,0,0,2,1,4,9,2814207,https://imagenes.feb.es/foto.aspx?c=2814207,1063
INVEREADY GIPUZKOA,22,1,G. Korsantia,19:55,11,4,8,50.0,0,1,0.0,4,9,44.4,3,4,75.0,2,6,8,1,1,0,0,1,1,2,3,4,14,2813562,https://imagenes.feb.es/foto.aspx?c=2813562,1195
