Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MOVISTAR ESTUDIANTES,1,0,A. González Pérez,04:10,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,0,1,0,-5,-1,2094445,https://imagenes.feb.es/foto.aspx?c=2094445,250
MOVISTAR ESTUDIANTES,2,0,A. Brimah,21:37,9,4,6,66.7,0,0,0.0,4,6,66.7,1,3,33.3,2,3,5,0,1,0,2,0,2,3,4,8,12,2746502,https://imagenes.feb.es/foto.aspx?c=2746502,1297
MOVISTAR ESTUDIANTES,6,0,L. Giovannetti,12:24,2,0,0,0.0,0,1,0.0,0,1,0.0,2,2,100.0,1,1,2,0,0,0,0,0,0,2,1,-8,2,2433615,https://imagenes.feb.es/foto.aspx?c=2433615,744
MOVISTAR ESTUDIANTES,8,0,G. Filipovic,17:15,12,2,3,66.7,2,5,40.0,4,8,50.0,2,2,100.0,0,2,2,0,0,1,0,0,0,3,3,8,11,2524266,https://imagenes.feb.es/foto.aspx?c=2524266,1035
MOVISTAR ESTUDIANTES,9,0,S. Salin,25:26,17,1,2,50.0,2,5,40.0,3,7,42.9,9,9,100.0,1,2,3,0,1,0,0,0,0,3,4,7,16,2815072,https://imagenes.feb.es/foto.aspx?c=2815072,1526
MOVISTAR ESTUDIANTES,11,1,J. Granger,22:44,9,1,7,14.3,1,5,20.0,2,12,16.7,4,4,100.0,1,2,3,6,2,2,0,0,0,1,3,0,10,2734234,https://imagenes.feb.es/foto.aspx?c=2734234,1364
MOVISTAR ESTUDIANTES,15,1,T. Mc Grew,18:58,12,3,4,75.0,2,4,50.0,5,8,62.5,0,0,0.0,1,1,2,1,0,0,0,0,0,3,1,3,10,2818742,https://imagenes.feb.es/foto.aspx?c=2818742,1138
MOVISTAR ESTUDIANTES,18,0,M. Sola Idrisu,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2161529,https://imagenes.feb.es/foto.aspx?c=2161529,0
MOVISTAR ESTUDIANTES,22,0,J. Vaulet,21:23,6,0,2,0.0,1,2,50.0,1,4,25.0,3,4,75.0,0,3,3,0,0,0,0,0,0,2,2,1,5,2818741,https://imagenes.feb.es/foto.aspx?c=2818741,1283
MOVISTAR ESTUDIANTES,24,1,L. Nwogbo,14:13,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,1,0,1,0,1,0,0,0,0,5,2,3,-5,2648543,https://imagenes.feb.es/foto.aspx?c=2648543,853
MOVISTAR ESTUDIANTES,29,1,P. Garino Gullotta ,26:58,12,3,4,75.0,2,3,66.7,5,7,71.4,0,0,0.0,2,2,4,0,0,0,0,0,1,1,0,14,13,2275135,https://imagenes.feb.es/foto.aspx?c=2275135,1618
