Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
ALIMERKA OVIEDO BALONCESTO,3,0,M. Townes Villar,27:04,16,6,9,66.7,1,1,100.0,7,10,70.0,1,1,100.0,0,2,2,6,3,0,0,0,0,4,2,2,16,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1624
ALIMERKA OVIEDO BALONCESTO,4,0,A. Faure Ribes,14:20,8,3,3,100.0,0,0,0.0,3,3,100.0,2,3,66.7,0,5,5,1,2,1,1,0,2,4,2,6,11,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,860
ALIMERKA OVIEDO BALONCESTO,5,0,G. Parham Ii,17:53,9,1,3,33.3,2,6,33.3,3,9,33.3,1,2,50.0,0,2,2,1,3,0,0,0,0,1,4,2,5,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1073
ALIMERKA OVIEDO BALONCESTO,7,1,D. Duscak,23:33,7,0,3,0.0,2,3,66.7,2,6,33.3,1,4,25.0,0,1,1,6,2,2,0,0,0,0,4,13,11,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1413
ALIMERKA OVIEDO BALONCESTO,11,0,F. Copes,11:32,3,1,1,100.0,0,0,0.0,1,1,100.0,1,5,20.0,0,3,3,1,0,0,0,0,0,1,3,10,5,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,692
ALIMERKA OVIEDO BALONCESTO,14,0,D. Shelist,09:49,6,2,2,100.0,0,0,0.0,2,2,100.0,2,2,100.0,0,0,0,0,2,0,1,0,1,4,1,1,2,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,589
ALIMERKA OVIEDO BALONCESTO,24,1,C. Hermanson,26:03,25,1,2,50.0,6,9,66.7,7,11,63.6,5,6,83.3,0,1,1,1,2,0,0,0,0,1,3,9,22,2735658,https://imagenes.feb.es/foto.aspx?c=2735658,1563
ALIMERKA OVIEDO BALONCESTO,35,1,F. Nwaokorie,24:59,6,3,3,100.0,0,3,0.0,3,6,50.0,0,0,0.0,0,4,4,0,1,1,1,0,1,1,1,7,8,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1499
ALIMERKA OVIEDO BALONCESTO,41,1,R. Cosialls Borras,15:51,7,2,2,100.0,0,0,0.0,2,2,100.0,3,4,75.0,3,2,5,0,2,2,0,0,0,4,2,4,9,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,951
ALIMERKA OVIEDO BALONCESTO,44,0,P. Gonzalez Longarela,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1821152,https://imagenes.feb.es/foto.aspx?c=1821152,0
