Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
SÚPER AGROPAL PALENCIA,2,1,A. Wintering,19:04,10,2,3,66.7,1,3,33.3,3,6,50.0,3,4,75.0,3,2,5,4,0,1,0,0,0,1,4,12,19,2276415,https://imagenes.feb.es/foto.aspx?c=2276415,1144
SÚPER AGROPAL PALENCIA,5,0,A. Kunkel,19:34,21,3,5,60.0,4,9,44.4,7,14,50.0,3,3,100.0,0,0,0,2,1,0,0,0,0,2,3,11,16,2734949,https://imagenes.feb.es/foto.aspx?c=2734949,1174
SÚPER AGROPAL PALENCIA,6,1,T. Borg,19:32,7,2,3,66.7,0,1,0.0,2,4,50.0,3,4,75.0,0,1,1,1,0,0,0,0,0,3,2,15,5,2092465,https://imagenes.feb.es/foto.aspx?c=2092465,1172
SÚPER AGROPAL PALENCIA,7,0,X. Oroz Uria,14:19,4,1,1,100.0,0,1,0.0,1,2,50.0,2,2,100.0,0,2,2,4,0,0,0,0,0,0,1,12,10,1750421,https://imagenes.feb.es/foto.aspx?c=1750421,859
SÚPER AGROPAL PALENCIA,8,0,I. Jakovics,20:56,7,1,1,100.0,1,5,20.0,2,6,33.3,2,3,66.7,0,2,2,4,1,1,1,0,0,1,3,14,11,2533871,https://imagenes.feb.es/foto.aspx?c=2533871,1256
SÚPER AGROPAL PALENCIA,9,1,M. Kamba,20:54,6,0,1,0.0,2,3,66.7,2,4,50.0,0,2,0.0,0,9,9,1,0,0,0,0,0,2,1,8,11,2734950,https://imagenes.feb.es/foto.aspx?c=2734950,1254
SÚPER AGROPAL PALENCIA,11,0,M. Rodriguez Barrientos,09:02,1,0,0,0.0,0,1,0.0,0,1,0.0,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,3,-1,1376540,https://imagenes.feb.es/foto.aspx?c=1376540,542
SÚPER AGROPAL PALENCIA,13,1,J. Vrankic,20:56,13,4,8,50.0,0,2,0.0,4,10,40.0,5,5,100.0,0,3,3,1,1,0,0,0,0,2,3,12,11,2640789,https://imagenes.feb.es/foto.aspx?c=2640789,1256
SÚPER AGROPAL PALENCIA,15,0,J. Gonzalez Calvo,06:41,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,2,3,1,0,0,0,0,0,1,1,6,3,1382607,https://imagenes.feb.es/foto.aspx?c=1382607,401
SÚPER AGROPAL PALENCIA,17,1,M. Armus,15:46,1,0,0,0.0,0,0,0.0,0,0,0.0,1,2,50.0,0,3,3,0,4,0,0,0,0,4,2,8,-3,2818672,https://imagenes.feb.es/foto.aspx?c=2818672,946
SÚPER AGROPAL PALENCIA,31,0,S. Ugochukwu,15:33,5,2,4,50.0,0,0,0.0,2,4,50.0,1,3,33.3,0,4,4,0,1,0,0,0,0,3,2,8,3,2738742,https://imagenes.feb.es/foto.aspx?c=2738742,933
SÚPER AGROPAL PALENCIA,35,0,A. Muñoz Borchers,17:43,14,0,0,0.0,4,6,66.7,4,6,66.7,2,2,100.0,0,1,1,1,0,0,0,0,0,1,2,16,15,1253254,https://imagenes.feb.es/foto.aspx?c=1253254,1063
HESTIA MENORCA,0,1,E. Vicedo Ayala,21:45,7,2,3,66.7,1,3,33.3,3,6,50.0,0,0,0.0,3,5,8,0,0,0,0,0,0,2,2,-5,12,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,1305
HESTIA MENORCA,1,0,J. Cone,22:15,12,0,1,0.0,2,8,25.0,2,9,22.2,6,6,100.0,2,1,3,3,3,0,0,0,0,1,6,-4,13,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,1335
