Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HLA ALICANTE,3,0,U. Mendicote Rubio,21:45,17,2,5,40.0,4,5,80.0,6,10,60.0,1,2,50.0,1,3,4,2,0,2,0,2,0,1,2,5,21,1869378,https://imagenes.feb.es/foto.aspx?c=1869378,1305
HLA ALICANTE,4,0,S. Ceccardi,12:17,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,2,1,0,0,0,4,0,4,-6,2787126,https://imagenes.feb.es/foto.aspx?c=2787126,737
HLA ALICANTE,8,1,J. Mwema,16:41,2,1,3,33.3,0,1,0.0,1,4,25.0,0,0,0.0,2,8,10,0,1,0,0,1,0,2,1,1,7,2734619,https://imagenes.feb.es/foto.aspx?c=2734619,1001
HLA ALICANTE,12,0,B. Coulibaly,07:35,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,2,2,4,0,1,1,1,1,0,1,0,3,5,2818653,https://imagenes.feb.es/foto.aspx?c=2818653,455
HLA ALICANTE,13,1,K. Larsen,24:50,27,8,11,72.7,1,3,33.3,9,14,64.3,8,8,100.0,4,3,7,7,0,0,0,0,0,2,6,3,40,2433482,https://imagenes.feb.es/foto.aspx?c=2433482,1490
HLA ALICANTE,14,0,I. Tamba Villen,07:35,6,3,3,100.0,0,0,0.0,3,3,100.0,0,0,0.0,0,3,3,1,1,0,1,0,0,2,0,2,8,1997161,https://imagenes.feb.es/foto.aspx?c=1997161,455
HLA ALICANTE,15,0,T. Richardson,27:28,11,3,6,50.0,1,3,33.3,4,9,44.4,2,3,66.7,1,3,4,3,1,0,1,0,0,1,3,17,14,2836470,https://imagenes.feb.es/foto.aspx?c=2836470,1648
HLA ALICANTE,21,0,A. Jorda Rodriguez,19:56,11,1,2,50.0,3,7,42.9,4,9,44.4,0,0,0.0,0,0,0,2,1,0,0,0,0,2,0,2,5,1676991,https://imagenes.feb.es/foto.aspx?c=1676991,1196
HLA ALICANTE,22,1,J. Walker,31:49,10,2,8,25.0,2,5,40.0,4,13,30.8,0,0,0.0,2,1,3,4,4,4,0,1,0,2,4,6,10,2736303,https://imagenes.feb.es/foto.aspx?c=2736303,1909
HLA ALICANTE,23,1,D. Geu,18:15,8,2,4,50.0,1,3,33.3,3,7,42.9,1,1,100.0,0,1,1,1,0,0,1,1,0,2,2,3,7,2817123,https://imagenes.feb.es/foto.aspx?c=2817123,1095
