Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HESTIA MENORCA,0,1,E. Vicedo Ayala,24:37,10,2,2,100.0,2,7,28.6,4,9,44.4,0,0,0.0,3,5,8,0,1,1,1,0,0,2,0,36,12,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,1477
HESTIA MENORCA,1,0,J. Cone,16:22,5,0,0,0.0,1,3,33.3,1,3,33.3,2,2,100.0,1,0,1,3,2,0,0,0,0,2,1,16,4,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,982
HESTIA MENORCA,3,0,N. Galette,10:29,3,0,1,0.0,1,1,100.0,1,2,50.0,0,0,0.0,1,0,1,1,2,0,0,0,0,5,0,0,-3,2820270,https://imagenes.feb.es/foto.aspx?c=2820270,629
HESTIA MENORCA,7,0,P. Figueras Lopez,14:57,6,1,4,25.0,1,4,25.0,2,8,25.0,1,2,50.0,0,0,0,3,2,3,0,0,0,1,3,5,5,1496030,https://imagenes.feb.es/foto.aspx?c=1496030,897
HESTIA MENORCA,8,0,F. Schott,10:49,6,1,1,100.0,0,1,0.0,1,2,50.0,4,8,50.0,4,0,4,0,0,1,0,0,0,3,5,-10,8,2662856,https://imagenes.feb.es/foto.aspx?c=2662856,649
HESTIA MENORCA,11,1,S. Littleson,31:04,26,5,9,55.6,4,8,50.0,9,17,52.9,4,4,100.0,1,1,2,4,0,0,0,0,0,2,4,37,26,2650859,https://imagenes.feb.es/foto.aspx?c=2650859,1864
HESTIA MENORCA,13,0,J. Lobo Martorell,15:47,0,0,2,0.0,0,3,0.0,0,5,0.0,0,0,0.0,1,0,1,1,2,0,0,1,0,3,0,-11,-8,1938697,https://imagenes.feb.es/foto.aspx?c=1938697,947
HESTIA MENORCA,15,1,P. Molins Calderon,12:03,0,0,2,0.0,0,2,0.0,0,4,0.0,0,0,0.0,0,1,1,3,0,0,1,0,0,3,0,19,-2,1784407,https://imagenes.feb.es/foto.aspx?c=1784407,723
HESTIA MENORCA,23,1,E. Wembi,21:18,15,7,9,77.8,0,0,0.0,7,9,77.8,1,2,50.0,5,3,8,2,2,3,1,0,1,2,3,32,25,2702840,https://imagenes.feb.es/foto.aspx?c=2702840,1278
HESTIA MENORCA,55,1,A. Sola Iddrisu,32:41,17,2,3,66.7,4,6,66.7,6,9,66.7,1,1,100.0,2,4,6,3,0,3,0,0,0,0,3,44,29,1875914,https://imagenes.feb.es/foto.aspx?c=1875914,1961
HESTIA MENORCA,77,0,V. Arteaga Gonzalez,09:53,9,1,2,50.0,0,0,0.0,1,2,50.0,7,8,87.5,1,4,5,0,1,0,0,0,0,2,4,12,13,1382456,https://imagenes.feb.es/foto.aspx?c=1382456,593
GRUPO CAESA SEGUROS FC CARTAGENA CB,1,1,S. Thomas,25:04,13,4,4,100.0,0,1,0.0,4,5,80.0,5,6,83.3,0,2,2,1,2,1,0,0,0,1,4,-20,16,2816798,https://imagenes.feb.es/foto.aspx?c=2816798,1504
GRUPO CAESA SEGUROS FC CARTAGENA CB,2,1,A. Garuba Alari,12:18,2,0,1,0.0,0,1,0.0,0,2,0.0,2,2,100.0,0,1,1,0,2,0,0,1,0,2,3,-22,0,2159336,https://imagenes.feb.es/foto.aspx?c=2159336,738
GRUPO CAESA SEGUROS FC CARTAGENA CB,3,0,T. Suokas,15:57,7,1,2,50.0,1,1,100.0,2,3,66.7,2,3,66.7,0,2,2,0,2,0,0,0,0,2,2,-18,5,2816854,https://imagenes.feb.es/foto.aspx?c=2816854,957
GRUPO CAESA SEGUROS FC CARTAGENA CB,4,0,I. Rivera Carroll,22:41,0,0,2,0.0,0,2,0.0,0,4,0.0,0,0,0.0,2,0,2,1,2,0,0,1,0,1,1,-18,-3,2816796,https://imagenes.feb.es/foto.aspx?c=2816796,1361
GRUPO CAESA SEGUROS FC CARTAGENA CB,5,0,A. Martin Marin,11:01,4,0,1,0.0,1,2,50.0,1,3,33.3,1,2,50.0,0,2,2,0,2,0,0,0,0,1,2,-1,2,1384223,https://imagenes.feb.es/foto.aspx?c=1384223,661
GRUPO CAESA SEGUROS FC CARTAGENA CB,8,0,M. Ayesa Rodriguez,11:24,5,1,1,100.0,1,1,100.0,2,2,100.0,0,0,0.0,1,0,1,1,0,1,0,0,0,1,1,-3,8,2736779,https://imagenes.feb.es/foto.aspx?c=2736779,684
