Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
PALMER BASKET MALLORCA PALMA,4,0,M. Frierson,13:14,2,1,1,100.0,0,3,0.0,1,4,25.0,0,0,0.0,0,0,0,0,0,1,0,0,0,2,2,-4,0,2815271,https://imagenes.feb.es/foto.aspx?c=2815271,794
PALMER BASKET MALLORCA PALMA,6,0,A. Scariolo Ares,17:39,7,2,8,25.0,1,3,33.3,3,11,27.3,0,0,0.0,1,1,2,0,5,2,0,1,0,1,2,-14,-1,1843906,https://imagenes.feb.es/foto.aspx?c=1843906,1059
PALMER BASKET MALLORCA PALMA,8,0,A. Chapela Lage,13:48,3,0,1,0.0,1,3,33.3,1,4,25.0,0,0,0.0,1,2,3,2,2,1,0,0,0,3,1,-5,2,1197937,https://imagenes.feb.es/foto.aspx?c=1197937,828
PALMER BASKET MALLORCA PALMA,9,1,A. Urdiain Labayen,18:15,12,1,1,100.0,2,4,50.0,3,5,60.0,4,5,80.0,1,1,2,0,1,0,0,0,0,1,2,-11,11,1593686,https://imagenes.feb.es/foto.aspx?c=1593686,1095
PALMER BASKET MALLORCA PALMA,10,1,G. Dike Egun,28:00,4,2,3,66.7,0,0,0.0,2,3,66.7,0,0,0.0,2,2,4,1,1,1,1,0,0,2,1,-27,8,1759354,https://imagenes.feb.es/foto.aspx?c=1759354,1680
PALMER BASKET MALLORCA PALMA,12,1,J. Carralero Martin,31:04,7,1,3,33.3,1,5,20.0,2,8,25.0,2,4,50.0,1,1,2,1,2,0,4,1,0,2,4,-12,6,1591996,https://imagenes.feb.es/foto.aspx?c=1591996,1864
PALMER BASKET MALLORCA PALMA,15,1,J. Feliu Espejo,23:32,8,3,7,42.9,0,3,0.0,3,10,30.0,2,2,100.0,0,1,1,2,2,5,0,0,0,0,1,-13,8,1688669,https://imagenes.feb.es/foto.aspx?c=1688669,1412
PALMER BASKET MALLORCA PALMA,17,0,A. Almenta Macias,03:21,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,1,0,-3,1,1909300,https://imagenes.feb.es/foto.aspx?c=1909300,201
PALMER BASKET MALLORCA PALMA,21,1,T. Hollowell,11:34,0,0,1,0.0,0,3,0.0,0,4,0.0,0,0,0.0,0,1,1,2,1,0,0,0,0,1,0,-6,-3,2815272,https://imagenes.feb.es/foto.aspx?c=2815272,694
PALMER BASKET MALLORCA PALMA,22,0,N. Camacho De Sá,12:12,7,2,3,66.7,1,2,50.0,3,5,60.0,0,1,0.0,0,2,2,0,1,1,0,0,0,3,1,5,4,2815273,https://imagenes.feb.es/foto.aspx?c=2815273,732
PALMER BASKET MALLORCA PALMA,24,0,A. Comendador Femenias,17:15,4,1,4,25.0,0,0,0.0,1,4,25.0,2,4,50.0,2,3,5,2,0,1,1,1,2,1,3,-8,10,1766217,https://imagenes.feb.es/foto.aspx?c=1766217,1035
PALMER BASKET MALLORCA PALMA,25,0,I. Massoud Rodríguez,10:06,3,0,2,0.0,1,2,50.0,1,4,25.0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,-7,-1,2818866,https://imagenes.feb.es/foto.aspx?c=2818866,606
ALIMERKA OVIEDO BALONCESTO,3,1,M. Townes Villar,24:26,5,2,7,28.6,0,2,0.0,2,9,22.2,1,2,50.0,1,7,8,6,5,2,1,1,0,0,1,23,10,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1466
ALIMERKA OVIEDO BALONCESTO,4,0,A. Faure Ribes,12:22,7,1,2,50.0,1,2,50.0,2,4,50.0,2,4,50.0,1,2,3,0,0,0,0,0,0,2,3,-6,7,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,742
ALIMERKA OVIEDO BALONCESTO,5,1,G. Parham Ii,20:03,14,2,6,33.3,3,5,60.0,5,11,45.5,1,1,100.0,1,2,3,2,7,1,0,3,0,3,0,8,4,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1203
