Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO URETA TIZONA BURGOS,5,0,M. Jackson,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,0
GRUPO URETA TIZONA BURGOS,8,0,F. Terins,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,0
GRUPO URETA TIZONA BURGOS,10,0,A. Parrado Calabria,22:15,14,4,8,50.0,1,5,20.0,5,13,38.5,3,6,50.0,0,4,4,2,1,0,0,0,0,4,3,-9,7,1787348,https://imagenes.feb.es/foto.aspx?c=1787348,1335
GRUPO URETA TIZONA BURGOS,13,0,R. Vila Soley,19:45,10,4,6,66.7,0,0,0.0,4,6,66.7,2,3,66.7,3,2,5,1,0,0,0,0,0,4,3,4,12,1572466,https://imagenes.feb.es/foto.aspx?c=1572466,1185
GRUPO URETA TIZONA BURGOS,21,1,G. Gil Garcia,26:01,10,1,1,100.0,2,5,40.0,3,6,50.0,2,2,100.0,1,4,5,1,0,1,0,0,0,1,3,-4,16,1808439,https://imagenes.feb.es/foto.aspx?c=1808439,1561
GRUPO URETA TIZONA BURGOS,24,0,A. Huelves Garcia,24:09,17,2,4,50.0,3,6,50.0,5,10,50.0,4,4,100.0,2,3,5,3,1,0,0,1,0,4,6,-3,21,2138600,https://imagenes.feb.es/foto.aspx?c=2138600,1449
GRUPO URETA TIZONA BURGOS,25,0,J. Zidek,05:53,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-11,-1,2736183,https://imagenes.feb.es/foto.aspx?c=2736183,353
GRUPO URETA TIZONA BURGOS,31,1,J. Brown-Ferguson,16:35,6,2,2,100.0,0,0,0.0,2,2,100.0,2,2,100.0,0,2,2,0,1,1,1,0,1,3,3,-8,9,2814907,https://imagenes.feb.es/foto.aspx?c=2814907,995
GRUPO URETA TIZONA BURGOS,33,1,A. Alonso Cuevas,26:03,4,0,0,0.0,1,7,14.3,1,7,14.3,1,2,50.0,1,6,7,1,2,0,0,0,0,3,2,-4,2,1879609,https://imagenes.feb.es/foto.aspx?c=1879609,1563
GRUPO URETA TIZONA BURGOS,35,1,R. Seoane Rodicio,20:39,11,3,6,50.0,1,3,33.3,4,9,44.4,2,2,100.0,2,2,4,1,1,1,0,0,1,5,1,1,7,1625687,https://imagenes.feb.es/foto.aspx?c=1625687,1239
GRUPO URETA TIZONA BURGOS,55,0,G. Jofresa Sarret,20:02,4,2,6,33.3,0,4,0.0,2,10,20.0,0,0,0.0,0,0,0,1,1,1,0,0,0,3,0,-28,-6,1787363,https://imagenes.feb.es/foto.aspx?c=1787363,1202
GRUPO URETA TIZONA BURGOS,60,1,A. Alonso Ruiz,18:38,6,2,5,40.0,0,1,0.0,2,6,33.3,2,2,100.0,0,2,2,2,2,2,0,0,0,1,3,-13,8,2325671,https://imagenes.feb.es/foto.aspx?c=2325671,1118
LEYMA CORUÑA,0,1,D. Cuevas Simarro,24:25,10,2,4,50.0,1,4,25.0,3,8,37.5,3,4,75.0,2,1,3,3,3,3,0,0,0,3,2,7,9,2557970,https://imagenes.feb.es/foto.aspx?c=2557970,1465
LEYMA CORUÑA,4,0,P. Jorgensen,22:39,9,3,7,42.9,0,2,0.0,3,9,33.3,3,4,75.0,1,0,1,1,0,1,1,0,0,0,2,6,8,2371535,https://imagenes.feb.es/foto.aspx?c=2371535,1359
LEYMA CORUÑA,5,1,G. Jou Coll,14:01,7,0,1,0.0,1,2,50.0,1,3,33.3,4,6,66.7,2,3,5,0,0,0,0,0,0,3,5,8,10,1491674,https://imagenes.feb.es/foto.aspx?c=1491674,841
LEYMA CORUÑA,6,0,M. Braz,10:04,3,1,1,100.0,0,0,0.0,1,1,100.0,1,2,50.0,0,2,2,0,0,0,0,0,0,2,1,7,3,2814191,https://imagenes.feb.es/foto.aspx?c=2814191,604
LEYMA CORUÑA,8,0,D. Radoncic,15:48,7,2,2,100.0,0,1,0.0,2,3,66.7,3,4,75.0,2,2,4,0,1,0,0,0,0,2,2,9,8,2843861,https://imagenes.feb.es/foto.aspx?c=2843861,948
LEYMA CORUÑA,9,0,C. De Souza Pacheco,13:04,6,1,3,33.3,1,1,100.0,2,4,50.0,1,3,33.3,0,1,1,3,2,1,0,0,0,1,4,9,8,2644143,https://imagenes.feb.es/foto.aspx?c=2644143,784
LEYMA CORUÑA,13,1,D. Brnovic,16:00,2,0,0,0.0,0,1,0.0,0,1,0.0,2,2,100.0,3,3,6,0,0,1,0,0,0,2,2,-2,8,2814190,https://imagenes.feb.es/foto.aspx?c=2814190,960
LEYMA CORUÑA,21,0,I. Diop Gaye,18:36,9,4,5,80.0,0,1,0.0,4,6,66.7,1,1,100.0,1,3,4,2,2,0,0,0,0,3,2,17,10,1848359,https://imagenes.feb.es/foto.aspx?c=1848359,1116
LEYMA CORUÑA,22,0,C. Varela Romero,01:27,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,1,-1,2,2039654,https://imagenes.feb.es/foto.aspx?c=2039654,87
LEYMA CORUÑA,24,1,J. Cremo,22:32,12,4,10,40.0,0,3,0.0,4,13,30.8,4,4,100.0,0,2,2,4,1,0,0,0,0,2,4,6,10,2452677,https://imagenes.feb.es/foto.aspx?c=2452677,1352
LEYMA CORUÑA,44,1,A. Thiam,20:02,14,5,8,62.5,0,0,0.0,5,8,62.5,4,4,100.0,2,4,6,0,1,1,0,1,0,4,2,1,15,2815798,https://imagenes.feb.es/foto.aspx?c=2815798,1202
LEYMA CORUÑA,50,0,J. Diaz Alejano,21:22,18,1,4,25.0,5,7,71.4,6,11,54.5,1,1,100.0,2,3,5,1,0,0,0,0,0,3,0,8,16,1541543,https://imagenes.feb.es/foto.aspx?c=1541543,1282
