Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO ALEGA CANTABRIA,2,0,J. Powell,16:08,13,2,3,66.7,3,5,60.0,5,8,62.5,0,0,0.0,0,1,1,1,1,0,0,0,0,5,0,12,6,2334516,https://imagenes.feb.es/foto.aspx?c=2334516,968
GRUPO ALEGA CANTABRIA,6,0,C. Taboada Heiskanen,04:24,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,-1,1899194,https://imagenes.feb.es/foto.aspx?c=1899194,264
GRUPO ALEGA CANTABRIA,8,1,S. Rodríguez Ramos,29:46,20,3,4,75.0,1,3,33.3,4,7,57.1,11,13,84.6,0,6,6,4,0,1,0,0,1,2,10,24,34,841966,https://imagenes.feb.es/foto.aspx?c=841966,1786
GRUPO ALEGA CANTABRIA,9,0,B. Lugarini,05:45,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,2,-6,1,2481151,https://imagenes.feb.es/foto.aspx?c=2481151,345
GRUPO ALEGA CANTABRIA,10,0,G. Martinez Diaz,22:55,5,0,3,0.0,1,4,25.0,1,7,14.3,2,4,50.0,1,2,3,1,0,0,0,0,0,4,3,2,0,1821694,https://imagenes.feb.es/foto.aspx?c=1821694,1375
GRUPO ALEGA CANTABRIA,11,1,J. Yu,19:46,12,4,5,80.0,0,0,0.0,4,5,80.0,4,4,100.0,2,2,4,1,0,0,0,0,1,1,4,14,19,2815820,https://imagenes.feb.es/foto.aspx?c=2815820,1186
GRUPO ALEGA CANTABRIA,15,1,P. Hernandez Montenegro,12:51,10,1,1,100.0,2,2,100.0,3,3,100.0,2,2,100.0,0,2,2,2,1,0,0,0,0,4,1,1,10,1442713,https://imagenes.feb.es/foto.aspx?c=1442713,771
GRUPO ALEGA CANTABRIA,21,0,B. De La Llama Ruiz,00:46,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2173109,https://imagenes.feb.es/foto.aspx?c=2173109,46
GRUPO ALEGA CANTABRIA,24,1,J. Perez Perez,36:20,11,5,8,62.5,0,3,0.0,5,11,45.5,1,2,50.0,0,6,6,7,2,3,2,0,3,3,3,25,20,2820629,https://imagenes.feb.es/foto.aspx?c=2820629,2180
GRUPO ALEGA CANTABRIA,32,1,R. Johnson Jr,31:14,8,1,8,12.5,1,1,100.0,2,9,22.2,3,4,75.0,1,2,3,2,1,0,0,1,0,1,5,23,8,2274998,https://imagenes.feb.es/foto.aspx?c=2274998,1874
GRUPO ALEGA CANTABRIA,34,0,G. Kande Kieli,20:05,6,1,3,33.3,0,1,0.0,1,4,25.0,4,6,66.7,2,2,4,1,0,0,1,0,0,1,3,7,9,2446696,https://imagenes.feb.es/foto.aspx?c=2446696,1205
CLUB OURENSE BALONCESTO,3,1,K. Smith,20:09,7,2,5,40.0,1,2,50.0,3,7,42.9,0,0,0.0,1,1,2,1,1,1,0,0,1,2,0,-11,4,2819338,https://imagenes.feb.es/foto.aspx?c=2819338,1209
CLUB OURENSE BALONCESTO,9,0,C. Okanu,12:49,2,0,3,0.0,0,0,0.0,0,3,0.0,2,2,100.0,0,2,2,0,1,0,0,0,0,1,2,-13,1,2819330,https://imagenes.feb.es/foto.aspx?c=2819330,769
CLUB OURENSE BALONCESTO,10,0,I. Vazquez Perez,11:55,2,0,1,0.0,0,2,0.0,0,3,0.0,2,2,100.0,1,3,4,2,0,0,0,0,0,5,3,-2,3,1778999,https://imagenes.feb.es/foto.aspx?c=1778999,715
