Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MELILLA CIUDAD DEL DEPORTE,0,0,J. Godspower Johnson,12:58,7,2,4,50.0,1,2,50.0,3,6,50.0,0,0,0.0,1,2,3,0,1,0,0,0,0,2,0,0,4,1878729,https://imagenes.feb.es/foto.aspx?c=1878729,778
MELILLA CIUDAD DEL DEPORTE,1,1,D. Poirier,27:50,9,3,5,60.0,1,1,100.0,4,6,66.7,0,0,0.0,1,18,19,1,4,0,3,0,1,1,1,19,26,2451278,https://imagenes.feb.es/foto.aspx?c=2451278,1670
MELILLA CIUDAD DEL DEPORTE,4,0,S. Peno,02:04,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2814862,https://imagenes.feb.es/foto.aspx?c=2814862,124
MELILLA CIUDAD DEL DEPORTE,5,1,M. Heron,27:30,21,5,7,71.4,1,3,33.3,6,10,60.0,8,8,100.0,1,2,3,3,4,0,0,0,0,4,6,10,21,2819191,https://imagenes.feb.es/foto.aspx?c=2819191,1650
MELILLA CIUDAD DEL DEPORTE,7,1,P. Cordoba Muro,29:55,7,2,2,100.0,0,1,0.0,2,3,66.7,3,4,75.0,3,2,5,0,2,0,0,0,0,3,3,3,8,1677841,https://imagenes.feb.es/foto.aspx?c=1677841,1795
MELILLA CIUDAD DEL DEPORTE,12,0,P. Krutous,14:19,2,1,2,50.0,0,1,0.0,1,3,33.3,0,0,0.0,0,2,2,1,2,1,0,1,0,3,1,-10,0,2734873,https://imagenes.feb.es/foto.aspx?c=2734873,859
MELILLA CIUDAD DEL DEPORTE,21,0,L. Debaut,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2647156,https://imagenes.feb.es/foto.aspx?c=2647156,0
MELILLA CIUDAD DEL DEPORTE,22,1,C. Diaz Rodriguez,22:48,19,2,4,50.0,2,4,50.0,4,8,50.0,9,10,90.0,2,3,5,3,1,1,0,0,0,3,7,13,26,1251001,https://imagenes.feb.es/foto.aspx?c=1251001,1368
MELILLA CIUDAD DEL DEPORTE,23,1,R. Stumbris,26:07,10,2,5,40.0,2,5,40.0,4,10,40.0,0,0,0.0,0,2,2,2,2,0,0,0,0,3,2,8,5,2739848,https://imagenes.feb.es/foto.aspx?c=2739848,1567
MELILLA CIUDAD DEL DEPORTE,33,0,M. Stilma,14:33,4,1,2,50.0,0,0,0.0,1,2,50.0,2,3,66.7,1,2,3,3,1,0,1,0,0,2,3,-21,9,2734242,https://imagenes.feb.es/foto.aspx?c=2734242,873
MELILLA CIUDAD DEL DEPORTE,44,0,J. Garcia Sanchez,21:56,1,0,0,0.0,0,1,0.0,0,1,0.0,1,2,50.0,0,1,1,4,2,0,0,0,0,0,1,3,3,1978541,https://imagenes.feb.es/foto.aspx?c=1978541,1316
SÚPER AGROPAL PALENCIA,2,1,A. Wintering,19:58,6,3,5,60.0,0,4,0.0,3,9,33.3,0,2,0.0,0,2,2,0,1,2,0,0,0,5,4,0,0,2276415,https://imagenes.feb.es/foto.aspx?c=2276415,1198
SÚPER AGROPAL PALENCIA,4,0,O. Gomez Fernandez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2186516,https://imagenes.feb.es/foto.aspx?c=2186516,0
SÚPER AGROPAL PALENCIA,5,1,A. Kunkel,19:03,13,5,6,83.3,1,4,25.0,6,10,60.0,0,2,0.0,2,1,3,1,0,1,0,0,0,3,2,-3,11,2734949,https://imagenes.feb.es/foto.aspx?c=2734949,1143
SÚPER AGROPAL PALENCIA,6,0,T. Borg,22:16,11,3,6,50.0,1,7,14.3,4,13,30.8,2,2,100.0,2,5,7,1,1,1,0,1,0,2,2,1,10,2092465,https://imagenes.feb.es/foto.aspx?c=2092465,1336
SÚPER AGROPAL PALENCIA,7,1,X. Oroz Uria,17:17,0,0,0,0.0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,2,1,0,0,0,0,1,0,-10,-2,1750421,https://imagenes.feb.es/foto.aspx?c=1750421,1037
SÚPER AGROPAL PALENCIA,8,0,I. Jakovics,22:59,10,0,0,0.0,3,9,33.3,3,9,33.3,1,2,50.0,0,1,1,2,0,0,0,1,0,2,3,0,7,2533871,https://imagenes.feb.es/foto.aspx?c=2533871,1379
SÚPER AGROPAL PALENCIA,9,0,M. Kamba,12:19,6,1,2,50.0,1,3,33.3,2,5,40.0,1,2,50.0,2,1,3,2,0,1,0,0,0,3,2,4,7,2734950,https://imagenes.feb.es/foto.aspx?c=2734950,739
SÚPER AGROPAL PALENCIA,11,0,M. Rodriguez Barrientos,09:33,1,0,3,0.0,0,3,0.0,0,6,0.0,1,2,50.0,1,1,2,1,1,0,0,0,0,2,1,-11,-5,1376540,https://imagenes.feb.es/foto.aspx?c=1376540,573
SÚPER AGROPAL PALENCIA,13,0,J. Vrankic,20:57,11,2,6,33.3,2,3,66.7,4,9,44.4,1,2,50.0,2,0,2,4,0,3,0,0,0,2,2,8,14,2640789,https://imagenes.feb.es/foto.aspx?c=2640789,1257
SÚPER AGROPAL PALENCIA,17,1,M. Armus,22:54,7,3,7,42.9,0,0,0.0,3,7,42.9,1,6,16.7,8,2,10,0,1,1,1,2,0,1,5,-15,13,2818672,https://imagenes.feb.es/foto.aspx?c=2818672,1374
SÚPER AGROPAL PALENCIA,31,0,S. Ugochukwu,14:35,8,4,5,80.0,0,0,0.0,4,5,80.0,0,0,0.0,3,1,4,0,0,0,0,0,0,1,0,10,10,2738742,https://imagenes.feb.es/foto.aspx?c=2738742,875
SÚPER AGROPAL PALENCIA,35,1,A. Muñoz Borchers,18:09,2,1,1,100.0,0,7,0.0,1,8,12.5,0,0,0.0,2,2,4,1,0,0,0,0,0,2,0,-9,-2,1253254,https://imagenes.feb.es/foto.aspx?c=1253254,1089
