Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO URETA TIZONA BURGOS,5,0,M. Jackson,10:03,6,1,3,33.3,1,2,50.0,2,5,40.0,1,1,100.0,2,0,2,0,0,0,0,1,0,1,2,-6,6,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,603
GRUPO URETA TIZONA BURGOS,8,0,F. Terins,09:32,2,0,0,0.0,0,2,0.0,0,2,0.0,2,2,100.0,0,1,1,1,1,1,0,0,0,1,4,5,5,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,572
GRUPO URETA TIZONA BURGOS,10,1,A. Parrado Calabria,20:17,14,1,7,14.3,4,8,50.0,5,15,33.3,0,0,0.0,3,4,7,2,3,0,0,0,0,3,2,5,9,1787348,https://imagenes.feb.es/foto.aspx?c=1787348,1217
GRUPO URETA TIZONA BURGOS,13,0,R. Vila Soley,18:05,14,6,9,66.7,0,0,0.0,6,9,66.7,2,3,66.7,3,5,8,0,1,0,0,1,0,4,3,6,16,1572466,https://imagenes.feb.es/foto.aspx?c=1572466,1085
GRUPO URETA TIZONA BURGOS,21,1,G. Gil Garcia,25:49,3,0,1,0.0,1,4,25.0,1,5,20.0,0,0,0.0,2,2,4,2,1,2,0,0,0,2,3,8,7,1808439,https://imagenes.feb.es/foto.aspx?c=1808439,1549
GRUPO URETA TIZONA BURGOS,24,0,A. Huelves Garcia,18:45,8,4,4,100.0,0,1,0.0,4,5,80.0,0,1,0.0,2,0,2,2,2,1,0,0,0,4,4,4,9,2138600,https://imagenes.feb.es/foto.aspx?c=2138600,1125
GRUPO URETA TIZONA BURGOS,25,0,J. Zidek,08:30,2,0,1,0.0,0,3,0.0,0,4,0.0,2,2,100.0,0,0,0,0,1,1,0,0,0,1,1,-4,-2,2736183,https://imagenes.feb.es/foto.aspx?c=2736183,510
GRUPO URETA TIZONA BURGOS,31,0,J. Brown-Ferguson,07:19,2,1,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,2,2,4,0,0,0,0,0,0,1,1,1,4,2814907,https://imagenes.feb.es/foto.aspx?c=2814907,439
GRUPO URETA TIZONA BURGOS,33,1,A. Alonso Cuevas,17:07,2,1,1,100.0,0,3,0.0,1,4,25.0,0,0,0.0,3,1,4,3,0,1,0,0,0,1,1,-2,7,1879609,https://imagenes.feb.es/foto.aspx?c=1879609,1027
GRUPO URETA TIZONA BURGOS,35,1,R. Seoane Rodicio,26:22,15,6,8,75.0,1,4,25.0,7,12,58.3,0,0,0.0,1,4,5,2,2,1,0,0,0,1,0,14,15,1625687,https://imagenes.feb.es/foto.aspx?c=1625687,1582
GRUPO URETA TIZONA BURGOS,55,0,G. Jofresa Sarret,16:19,11,4,6,66.7,1,2,50.0,5,8,62.5,0,0,0.0,0,3,3,1,0,0,0,0,0,2,1,5,11,1787363,https://imagenes.feb.es/foto.aspx?c=1787363,979
GRUPO URETA TIZONA BURGOS,60,1,A. Alonso Ruiz,21:52,2,1,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,1,0,1,3,2,1,0,0,0,2,0,4,1,2325671,https://imagenes.feb.es/foto.aspx?c=2325671,1312
INVEREADY GIPUZKOA,0,1,A. Ngom,02:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,-4,1,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,120
INVEREADY GIPUZKOA,1,1,L. Terry,16:29,10,5,9,55.6,0,2,0.0,5,11,45.5,0,1,0.0,2,1,3,1,3,1,0,0,0,2,4,-13,7,2813563,https://imagenes.feb.es/foto.aspx?c=2813563,989
INVEREADY GIPUZKOA,2,0,O. Hanzlik,15:20,3,0,0,0.0,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,0,0,1,0,0,0,0,0,2,3,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,920
INVEREADY GIPUZKOA,6,0,A. Zubizarreta Aranbarri,13:41,6,1,1,100.0,0,0,0.0,1,1,100.0,4,5,80.0,0,1,1,2,3,0,0,0,0,3,2,5,4,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,821
