Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
LEYMA CORUÑA,0,1,D. Cuevas Simarro,20:38,10,2,3,66.7,1,5,20.0,3,8,37.5,3,4,75.0,0,1,1,5,2,2,0,0,0,0,4,18,14,2557970,https://imagenes.feb.es/foto.aspx?c=2557970,1238
LEYMA CORUÑA,4,0,P. Jorgensen,22:58,17,4,5,80.0,3,6,50.0,7,11,63.6,0,0,0.0,1,2,3,2,1,0,1,1,0,1,1,13,18,2371535,https://imagenes.feb.es/foto.aspx?c=2371535,1378
LEYMA CORUÑA,5,1,G. Jou Coll,17:58,18,3,3,100.0,4,6,66.7,7,9,77.8,0,0,0.0,2,2,4,1,0,1,0,0,0,2,1,23,21,1491674,https://imagenes.feb.es/foto.aspx?c=1491674,1078
LEYMA CORUÑA,6,0,M. Braz,07:41,3,1,1,100.0,0,0,0.0,1,1,100.0,1,2,50.0,0,1,1,0,0,0,0,0,0,3,1,3,1,2814191,https://imagenes.feb.es/foto.aspx?c=2814191,461
LEYMA CORUÑA,8,1,D. Radoncic,17:59,6,1,1,100.0,1,2,50.0,2,3,66.7,1,2,50.0,2,2,4,4,1,1,0,0,0,2,1,18,11,2843861,https://imagenes.feb.es/foto.aspx?c=2843861,1079
LEYMA CORUÑA,9,0,C. De Souza Pacheco,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644143,https://imagenes.feb.es/foto.aspx?c=2644143,0
LEYMA CORUÑA,13,0,D. Brnovic,17:52,0,0,2,0.0,0,4,0.0,0,6,0.0,0,0,0.0,0,0,0,3,0,1,0,0,0,3,0,8,-5,2814190,https://imagenes.feb.es/foto.aspx?c=2814190,1072
LEYMA CORUÑA,21,1,I. Diop Gaye,18:57,13,3,4,75.0,1,1,100.0,4,5,80.0,4,5,80.0,2,4,6,1,1,2,1,0,1,1,3,11,22,1848359,https://imagenes.feb.es/foto.aspx?c=1848359,1137
LEYMA CORUÑA,22,0,C. Varela Romero,15:10,8,1,1,100.0,2,4,50.0,3,5,60.0,0,0,0.0,1,0,1,2,2,1,0,0,0,2,3,7,9,2039654,https://imagenes.feb.es/foto.aspx?c=2039654,910
LEYMA CORUÑA,24,1,J. Cremo,21:37,10,1,2,50.0,1,7,14.3,2,9,22.2,5,5,100.0,1,1,2,1,1,0,0,0,0,3,3,13,5,2452677,https://imagenes.feb.es/foto.aspx?c=2452677,1297
LEYMA CORUÑA,44,0,A. Thiam,17:31,7,2,7,28.6,0,0,0.0,2,7,28.6,3,4,75.0,4,4,8,0,0,3,0,0,0,3,4,12,13,2815798,https://imagenes.feb.es/foto.aspx?c=2815798,1051
LEYMA CORUÑA,50,0,J. Diaz Alejano,21:39,9,3,3,100.0,1,3,33.3,4,6,66.7,0,0,0.0,1,3,4,2,0,0,1,0,0,1,0,4,13,1541543,https://imagenes.feb.es/foto.aspx?c=1541543,1299
FLEXICAR FUENLABRADA,5,1,A. Murphy,26:23,21,6,8,75.0,3,3,100.0,9,11,81.8,0,1,0.0,2,4,6,2,0,0,0,0,3,3,1,-15,24,2642637,https://imagenes.feb.es/foto.aspx?c=2642637,1583
FLEXICAR FUENLABRADA,7,1,M. Diaz,29:45,3,0,1,0.0,1,3,33.3,1,4,25.0,0,0,0.0,0,4,4,7,4,1,0,0,0,3,5,-11,10,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,1785
FLEXICAR FUENLABRADA,8,1,V. Alves Benite ,29:10,12,2,5,40.0,2,6,33.3,4,11,36.4,2,2,100.0,1,2,3,4,5,0,0,1,0,3,3,-15,7,2157874,https://imagenes.feb.es/foto.aspx?c=2157874,1750
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,22:22,9,3,4,75.0,1,4,25.0,4,8,50.0,0,2,0.0,1,1,2,4,3,1,0,0,0,4,2,-11,5,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,1342
FLEXICAR FUENLABRADA,21,0,D. Stolbetskiy,07:21,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,2,0,2,0,0,0,0,0,0,2,0,-9,2,2736363,https://imagenes.feb.es/foto.aspx?c=2736363,441
FLEXICAR FUENLABRADA,30,0,P. Rigot,18:41,9,3,5,60.0,1,2,50.0,4,7,57.1,0,0,0.0,1,0,1,0,0,0,0,1,0,1,0,-17,6,2820729,https://imagenes.feb.es/foto.aspx?c=2820729,1121
FLEXICAR FUENLABRADA,31,0,C. Martin,16:42,7,1,2,50.0,0,0,0.0,1,2,50.0,5,8,62.5,0,1,1,0,3,0,0,0,0,1,5,-22,5,2819302,https://imagenes.feb.es/foto.aspx?c=2819302,1002
FLEXICAR FUENLABRADA,35,0,J. Belemene-Dzabatou,18:55,3,0,0,0.0,1,4,25.0,1,4,25.0,0,0,0.0,0,2,2,4,1,1,0,0,0,2,2,-8,6,2820728,https://imagenes.feb.es/foto.aspx?c=2820728,1135
FLEXICAR FUENLABRADA,41,0,L. Nikkarinen,10:15,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,1,0,0,0,2,0,-15,-2,2819305,https://imagenes.feb.es/foto.aspx?c=2819305,615
FLEXICAR FUENLABRADA,88,1,J. Kasibabu Shilala,20:26,9,3,6,50.0,0,0,0.0,3,6,50.0,3,3,100.0,0,3,3,2,0,0,1,1,1,1,3,-7,14,2820727,https://imagenes.feb.es/foto.aspx?c=2820727,1226
