Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
ALIMERKA OVIEDO BALONCESTO,3,1,M. Townes Villar,24:40,13,5,7,71.4,1,5,20.0,6,12,50.0,0,0,0.0,1,5,6,1,3,2,0,1,0,0,4,-19,17,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1480
ALIMERKA OVIEDO BALONCESTO,4,0,A. Faure Ribes,13:20,3,1,5,20.0,0,0,0.0,1,5,20.0,1,2,50.0,3,2,5,0,1,0,0,1,0,3,2,1,1,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,800
ALIMERKA OVIEDO BALONCESTO,5,1,G. Parham Ii,33:10,17,4,7,57.1,0,7,0.0,4,14,28.6,9,9,100.0,0,0,0,2,2,2,0,1,0,2,7,6,14,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1990
ALIMERKA OVIEDO BALONCESTO,7,0,D. Duscak,19:19,6,0,1,0.0,2,3,66.7,2,4,50.0,0,0,0.0,1,1,2,4,2,1,0,1,0,2,1,9,8,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1159
ALIMERKA OVIEDO BALONCESTO,11,0,F. Copes,03:14,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,-1,0,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,194
ALIMERKA OVIEDO BALONCESTO,14,1,D. Shelist,15:48,7,2,3,66.7,1,2,50.0,3,5,60.0,0,0,0.0,2,5,7,0,0,0,0,0,0,3,0,1,9,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,948
ALIMERKA OVIEDO BALONCESTO,24,0,C. Hermanson,14:36,4,2,2,100.0,0,7,0.0,2,9,22.2,0,0,0.0,1,1,2,2,0,1,0,0,0,1,1,-6,2,2735658,https://imagenes.feb.es/foto.aspx?c=2735658,876
ALIMERKA OVIEDO BALONCESTO,35,0,F. Nwaokorie,20:44,5,1,1,100.0,1,5,20.0,2,6,33.3,0,0,0.0,2,2,4,0,1,0,0,0,1,0,1,-4,5,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1244
ALIMERKA OVIEDO BALONCESTO,41,1,R. Cosialls Borras,25:46,8,2,2,100.0,1,1,100.0,3,3,100.0,1,2,50.0,3,2,5,1,1,0,1,0,0,4,3,-7,12,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,1546
ALIMERKA OVIEDO BALONCESTO,48,0,J. Arias Gonzalez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981938,https://imagenes.feb.es/foto.aspx?c=1981938,0
ALIMERKA OVIEDO BALONCESTO,55,1,R. Lobaco Muñoz,29:23,12,0,0,0.0,2,7,28.6,2,7,28.6,6,6,100.0,1,4,5,1,2,1,1,0,0,3,4,0,14,1978545,https://imagenes.feb.es/foto.aspx?c=1978545,1763
MONBUS OBRADOIRO,5,0,R. Andersson,17:06,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,1,1,0,1,0,0,3,0,9,0,2524084,https://imagenes.feb.es/foto.aspx?c=2524084,1026
MONBUS OBRADOIRO,7,1,F. Dos Anjos De Paula,25:08,10,5,7,71.4,0,0,0.0,5,7,71.4,0,0,0.0,0,1,1,0,3,0,2,0,2,2,1,7,7,2219665,https://imagenes.feb.es/foto.aspx?c=2219665,1508
MONBUS OBRADOIRO,9,1,L. Westermann,17:32,12,3,4,75.0,2,3,66.7,5,7,71.4,0,0,0.0,0,2,2,6,2,0,0,0,0,4,0,15,12,2436780,https://imagenes.feb.es/foto.aspx?c=2436780,1052
MONBUS OBRADOIRO,10,0,A. Grela Rojas,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2533473,https://imagenes.feb.es/foto.aspx?c=2533473,0
MONBUS OBRADOIRO,11,0,D. Kravic,14:52,9,2,4,50.0,0,0,0.0,2,4,50.0,5,7,71.4,3,3,6,2,1,0,0,0,0,0,4,-3,16,2371461,https://imagenes.feb.es/foto.aspx?c=2371461,892
MONBUS OBRADOIRO,16,0,A. Etxeguren Gonzalez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2082696,https://imagenes.feb.es/foto.aspx?c=2082696,0
MONBUS OBRADOIRO,23,1,Y. Barrueta,26:59,10,1,1,100.0,2,5,40.0,3,6,50.0,2,2,100.0,1,1,2,1,0,1,0,1,0,1,2,9,12,2524267,https://imagenes.feb.es/foto.aspx?c=2524267,1619
MONBUS OBRADOIRO,24,0,D. De Sousa Anjo Brito,19:04,8,4,5,80.0,0,5,0.0,4,10,40.0,0,1,0.0,1,4,5,1,1,0,0,1,0,3,1,-4,4,2528063,https://imagenes.feb.es/foto.aspx?c=2528063,1144
MONBUS OBRADOIRO,25,0,S. Quintela Salvador,17:28,2,1,9,11.1,0,2,0.0,1,11,9.1,0,1,0.0,0,3,3,2,0,0,0,0,0,2,0,-1,-6,2220063,https://imagenes.feb.es/foto.aspx?c=2220063,1048
MONBUS OBRADOIRO,28,1,A. Barcello,28:03,9,1,2,50.0,1,5,20.0,2,7,28.6,4,4,100.0,2,1,3,3,1,3,0,0,0,2,4,5,14,2640794,https://imagenes.feb.es/foto.aspx?c=2640794,1683
MONBUS OBRADOIRO,29,0,K. Lundqvist,10:54,8,4,5,80.0,0,1,0.0,4,6,66.7,0,0,0.0,0,1,1,0,2,2,1,0,0,4,1,-12,5,2482605,https://imagenes.feb.es/foto.aspx?c=2482605,654
MONBUS OBRADOIRO,57,1,A. Galan Pozo ,22:54,11,1,3,33.3,3,3,100.0,4,6,66.7,0,0,0.0,0,3,3,1,1,2,0,0,0,3,4,-5,15,1836771,https://imagenes.feb.es/foto.aspx?c=1836771,1374
