Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
PALMER BASKET MALLORCA PALMA,0,1,H. Atencia Suarez,30:34,9,3,5,60.0,0,4,0.0,3,9,33.3,3,3,100.0,0,0,0,4,1,2,0,0,0,2,1,-1,7,2533643,https://imagenes.feb.es/foto.aspx?c=2533643,1834
PALMER BASKET MALLORCA PALMA,1,0,D. Agbelese ,16:16,7,2,3,66.7,0,0,0.0,2,3,66.7,3,4,75.0,0,4,4,1,2,0,1,0,1,5,3,18,7,2093770,https://imagenes.feb.es/foto.aspx?c=2093770,976
PALMER BASKET MALLORCA PALMA,6,0,A. Scariolo Ares,13:01,7,1,3,33.3,1,2,50.0,2,5,40.0,2,2,100.0,1,3,4,1,0,0,0,0,0,0,1,14,10,1843906,https://imagenes.feb.es/foto.aspx?c=1843906,781
PALMER BASKET MALLORCA PALMA,8,0,A. Chapela Lage,17:12,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,4,1,1,0,0,0,1,1,9,2,1197937,https://imagenes.feb.es/foto.aspx?c=1197937,1032
PALMER BASKET MALLORCA PALMA,9,0,A. Urdiain Labayen,18:32,12,1,2,50.0,2,6,33.3,3,8,37.5,4,5,80.0,0,0,0,1,0,0,0,0,0,1,4,-8,10,1593686,https://imagenes.feb.es/foto.aspx?c=1593686,1112
PALMER BASKET MALLORCA PALMA,10,1,G. Dike Egun,23:44,14,4,4,100.0,1,1,100.0,5,5,100.0,3,8,37.5,3,3,6,0,1,0,1,0,1,3,6,-15,18,1759354,https://imagenes.feb.es/foto.aspx?c=1759354,1424
PALMER BASKET MALLORCA PALMA,12,1,J. Carralero Martin,18:52,6,1,4,25.0,0,0,0.0,1,4,25.0,4,5,80.0,1,3,4,4,1,1,0,1,0,0,3,4,13,1591996,https://imagenes.feb.es/foto.aspx?c=1591996,1132
PALMER BASKET MALLORCA PALMA,21,1,T. Hollowell,10:28,10,0,1,0.0,3,6,50.0,3,7,42.9,1,2,50.0,0,1,1,0,1,1,0,0,0,2,1,-4,5,2815272,https://imagenes.feb.es/foto.aspx?c=2815272,628
PALMER BASKET MALLORCA PALMA,22,1,N. Camacho De Sá,24:43,10,4,6,66.7,0,2,0.0,4,8,50.0,2,3,66.7,5,4,9,1,1,1,0,0,0,1,4,-1,18,2815273,https://imagenes.feb.es/foto.aspx?c=2815273,1483
PALMER BASKET MALLORCA PALMA,24,0,A. Comendador Femenias,16:48,5,1,1,100.0,1,2,50.0,2,3,66.7,0,0,0.0,1,1,2,0,2,0,1,0,1,2,1,3,4,1766217,https://imagenes.feb.es/foto.aspx?c=1766217,1008
PALMER BASKET MALLORCA PALMA,25,0,I. Massoud Rodríguez,09:50,3,0,0,0.0,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,1,1,0,0,0,2,0,-4,0,2818866,https://imagenes.feb.es/foto.aspx?c=2818866,590
HESTIA MENORCA,0,0,E. Vicedo Ayala,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,0
HESTIA MENORCA,1,1,J. Cone,27:18,9,2,4,50.0,1,6,16.7,3,10,30.0,2,3,66.7,2,5,7,3,2,1,0,0,0,4,5,2,11,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,1638
HESTIA MENORCA,3,0,N. Galette,01:40,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,2820270,https://imagenes.feb.es/foto.aspx?c=2820270,100
HESTIA MENORCA,6,1,T. Mcfadden,29:22,17,2,3,66.7,3,11,27.3,5,14,35.7,4,4,100.0,2,1,3,2,1,2,0,0,0,3,2,-7,13,2325133,https://imagenes.feb.es/foto.aspx?c=2325133,1762
