Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MONBUS OBRADOIRO,5,1,R. Andersson,14:53,7,2,2,100.0,1,3,33.3,3,5,60.0,0,1,0.0,0,0,0,0,0,1,1,0,0,4,2,11,4,2524084,https://imagenes.feb.es/foto.aspx?c=2524084,893
MONBUS OBRADOIRO,7,1,F. Dos Anjos De Paula,15:18,9,4,5,80.0,0,0,0.0,4,5,80.0,1,2,50.0,2,1,3,1,1,1,0,0,2,1,2,15,12,2219665,https://imagenes.feb.es/foto.aspx?c=2219665,918
MONBUS OBRADOIRO,9,1,L. Westermann,18:49,10,3,5,60.0,0,3,0.0,3,8,37.5,4,4,100.0,1,3,4,4,1,4,0,0,0,2,3,15,17,2436780,https://imagenes.feb.es/foto.aspx?c=2436780,1129
MONBUS OBRADOIRO,10,0,A. Grela Rojas,04:37,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,0,-2,-1,2533473,https://imagenes.feb.es/foto.aspx?c=2533473,277
MONBUS OBRADOIRO,11,0,D. Kravic,18:15,9,3,4,75.0,0,0,0.0,3,4,75.0,3,4,75.0,2,2,4,2,2,0,0,0,0,1,2,8,12,2371461,https://imagenes.feb.es/foto.aspx?c=2371461,1095
MONBUS OBRADOIRO,16,0,A. Etxeguren Gonzalez,06:27,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.0,1,0,1,0,1,1,0,0,0,0,1,2,0,2082696,https://imagenes.feb.es/foto.aspx?c=2082696,387
MONBUS OBRADOIRO,23,1,Y. Barrueta,18:19,16,2,3,66.7,3,6,50.0,5,9,55.6,3,3,100.0,0,3,3,0,1,0,1,0,0,0,2,17,17,2524267,https://imagenes.feb.es/foto.aspx?c=2524267,1099
MONBUS OBRADOIRO,24,0,D. De Sousa Anjo Brito,19:02,4,2,4,50.0,0,1,0.0,2,5,40.0,0,0,0.0,0,5,5,0,0,0,0,1,0,3,1,8,4,2528063,https://imagenes.feb.es/foto.aspx?c=2528063,1142
MONBUS OBRADOIRO,25,0,S. Quintela Salvador,17:22,10,2,3,66.7,1,1,100.0,3,4,75.0,3,3,100.0,2,1,3,2,2,1,0,0,0,2,3,9,14,2220063,https://imagenes.feb.es/foto.aspx?c=2220063,1042
MONBUS OBRADOIRO,28,1,A. Barcello,23:11,12,4,8,50.0,1,2,50.0,5,10,50.0,1,1,100.0,2,4,6,4,1,2,0,0,0,1,2,18,19,2640794,https://imagenes.feb.es/foto.aspx?c=2640794,1391
MONBUS OBRADOIRO,29,0,K. Lundqvist,19:26,5,2,4,50.0,0,1,0.0,2,5,40.0,1,2,50.0,0,2,2,3,2,1,1,0,0,1,2,11,7,2482605,https://imagenes.feb.es/foto.aspx?c=2482605,1166
MONBUS OBRADOIRO,57,0,A. Galan Pozo ,24:21,11,3,3,100.0,0,2,0.0,3,5,60.0,5,6,83.3,0,4,4,0,2,0,1,0,0,3,4,13,12,1836771,https://imagenes.feb.es/foto.aspx?c=1836771,1461
GRUPO URETA TIZONA BURGOS,5,1,M. Jackson,28:04,10,2,6,33.3,2,3,66.7,4,9,44.4,0,0,0.0,0,0,0,4,3,2,0,0,0,1,0,-7,7,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,1684
GRUPO URETA TIZONA BURGOS,8,0,F. Terins,15:01,2,1,3,33.3,0,1,0.0,1,4,25.0,0,0,0.0,0,0,0,2,0,1,0,1,0,2,3,-5,3,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,901
GRUPO URETA TIZONA BURGOS,10,0,A. Parrado Calabria,17:56,5,1,2,50.0,1,4,25.0,2,6,33.3,0,0,0.0,1,1,2,0,2,1,0,0,0,3,2,-12,1,1787348,https://imagenes.feb.es/foto.aspx?c=1787348,1076
GRUPO URETA TIZONA BURGOS,13,0,R. Vila Soley,21:20,11,5,7,71.4,0,2,0.0,5,9,55.6,1,2,50.0,3,1,4,0,0,0,0,1,1,2,2,-12,10,1572466,https://imagenes.feb.es/foto.aspx?c=1572466,1280
GRUPO URETA TIZONA BURGOS,21,1,G. Gil Garcia,20:49,0,0,3,0.0,0,3,0.0,0,6,0.0,0,0,0.0,2,5,7,2,2,1,0,1,0,1,0,-14,1,1808439,https://imagenes.feb.es/foto.aspx?c=1808439,1249
GRUPO URETA TIZONA BURGOS,24,0,A. Huelves Garcia,12:40,9,1,4,25.0,2,4,50.0,3,8,37.5,1,1,100.0,0,1,1,2,2,1,0,0,0,3,2,-8,5,2138600,https://imagenes.feb.es/foto.aspx?c=2138600,760
GRUPO URETA TIZONA BURGOS,25,0,J. Zidek,13:04,9,0,1,0.0,2,3,66.7,2,4,50.0,3,4,75.0,1,1,2,1,1,1,0,0,0,0,2,-1,11,2736183,https://imagenes.feb.es/foto.aspx?c=2736183,784
GRUPO URETA TIZONA BURGOS,31,1,J. Brown-Ferguson,15:58,11,4,5,80.0,0,0,0.0,4,5,80.0,3,4,75.0,3,2,5,0,3,0,1,0,0,3,4,-16,13,2814907,https://imagenes.feb.es/foto.aspx?c=2814907,958
GRUPO URETA TIZONA BURGOS,33,0,A. Alonso Cuevas,14:34,3,0,1,0.0,1,2,50.0,1,3,33.3,0,0,0.0,0,0,0,1,1,0,0,0,0,2,0,-18,-1,1879609,https://imagenes.feb.es/foto.aspx?c=1879609,874
GRUPO URETA TIZONA BURGOS,35,1,R. Seoane Rodicio,17:52,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,1,0,1,0,3,2,-8,2,1625687,https://imagenes.feb.es/foto.aspx?c=1625687,1072
GRUPO URETA TIZONA BURGOS,55,1,G. Jofresa Sarret,16:40,8,1,2,50.0,1,6,16.7,2,8,25.0,3,3,100.0,0,1,1,2,0,0,0,0,0,2,2,-12,5,1787363,https://imagenes.feb.es/foto.aspx?c=1787363,1000
GRUPO URETA TIZONA BURGOS,60,0,A. Alonso Ruiz,06:02,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,3,0,0,0,0,2,1,-12,-3,2325671,https://imagenes.feb.es/foto.aspx?c=2325671,362
