Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MOVISTAR ESTUDIANTES,2,1,A. Brimah,17:40,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,1,1,0,1,0,0,0,0,2,1,-7,0,2746502,https://imagenes.feb.es/foto.aspx?c=2746502,1060
MOVISTAR ESTUDIANTES,6,0,L. Giovannetti,12:46,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,3,0,3,-3,2433615,https://imagenes.feb.es/foto.aspx?c=2433615,766
MOVISTAR ESTUDIANTES,8,1,G. Filipovic,12:28,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,2,0,0,0,0,1,0,-4,-3,2524266,https://imagenes.feb.es/foto.aspx?c=2524266,748
MOVISTAR ESTUDIANTES,9,0,S. Salin,21:42,4,0,0,0.0,1,6,16.7,1,6,16.7,1,2,50.0,0,2,2,2,0,0,0,0,0,2,0,3,0,2815072,https://imagenes.feb.es/foto.aspx?c=2815072,1302
MOVISTAR ESTUDIANTES,11,0,J. Granger,27:58,20,4,9,44.4,3,6,50.0,7,15,46.7,3,5,60.0,1,2,3,4,0,0,0,1,0,2,5,-1,20,2734234,https://imagenes.feb.es/foto.aspx?c=2734234,1678
MOVISTAR ESTUDIANTES,15,1,T. Mc Grew,26:08,12,2,3,66.7,2,5,40.0,4,8,50.0,2,3,66.7,2,10,12,1,2,1,1,0,0,4,4,-13,20,2818742,https://imagenes.feb.es/foto.aspx?c=2818742,1568
MOVISTAR ESTUDIANTES,18,0,M. Sola Idrisu,00:47,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0,2161529,https://imagenes.feb.es/foto.aspx?c=2161529,47
MOVISTAR ESTUDIANTES,19,0,H. Lopez Barrantes,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032354,https://imagenes.feb.es/foto.aspx?c=2032354,0
MOVISTAR ESTUDIANTES,22,0,J. Vaulet,17:05,9,3,4,75.0,0,1,0.0,3,5,60.0,3,4,75.0,2,3,5,0,2,0,1,0,0,2,5,11,13,2818741,https://imagenes.feb.es/foto.aspx?c=2818741,1025
MOVISTAR ESTUDIANTES,24,0,L. Nwogbo,20:20,12,2,6,33.3,0,0,0.0,2,6,33.3,8,12,66.7,2,10,12,2,1,1,1,0,0,5,9,2,23,2648543,https://imagenes.feb.es/foto.aspx?c=2648543,1220
MOVISTAR ESTUDIANTES,29,1,P. Garino Gullotta ,26:01,21,2,3,66.7,5,9,55.6,7,12,58.3,2,2,100.0,1,1,2,0,0,3,0,0,0,3,1,-12,19,2275135,https://imagenes.feb.es/foto.aspx?c=2275135,1561
MOVISTAR ESTUDIANTES,51,1,O. Silverio Grullon,17:05,7,0,3,0.0,2,7,28.6,2,10,20.0,1,2,50.0,1,0,1,0,3,0,0,0,0,3,5,-11,-2,2790189,https://imagenes.feb.es/foto.aspx?c=2790189,1025
