Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FLEXICAR FUENLABRADA,5,0,A. Murphy,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2642637,https://imagenes.feb.es/foto.aspx?c=2642637,0
FLEXICAR FUENLABRADA,7,1,M. Diaz,33:22,19,4,8,50.0,1,3,33.3,5,11,45.5,8,9,88.9,0,7,7,4,1,4,0,0,0,4,5,-20,27,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,2002
FLEXICAR FUENLABRADA,8,1,V. Alves Benite ,36:59,26,2,4,50.0,6,9,66.7,8,13,61.5,4,4,100.0,0,3,3,2,4,0,0,0,0,0,4,-22,26,2157874,https://imagenes.feb.es/foto.aspx?c=2157874,2219
FLEXICAR FUENLABRADA,9,0,B. Vidarte Cano,00:46,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,2178977,https://imagenes.feb.es/foto.aspx?c=2178977,46
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,26:10,4,0,5,0.0,1,5,20.0,1,10,10.0,1,2,50.0,0,4,4,3,3,4,0,1,0,3,2,-20,1,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,1570
FLEXICAR FUENLABRADA,21,0,D. Stolbetskiy,00:18,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,-2,-1,2736363,https://imagenes.feb.es/foto.aspx?c=2736363,18
FLEXICAR FUENLABRADA,30,1,P. Rigot,30:29,2,1,5,20.0,0,3,0.0,1,8,12.5,0,0,0.0,0,0,0,1,0,0,0,0,0,3,0,-18,-7,2820729,https://imagenes.feb.es/foto.aspx?c=2820729,1829
FLEXICAR FUENLABRADA,31,0,C. Martin,15:57,4,1,5,20.0,0,0,0.0,1,5,20.0,2,2,100.0,1,3,4,0,4,0,0,0,1,4,4,-3,0,2819302,https://imagenes.feb.es/foto.aspx?c=2819302,957
FLEXICAR FUENLABRADA,35,0,J. Belemene-Dzabatou,28:01,11,2,4,50.0,2,3,66.7,4,7,57.1,1,4,25.0,0,1,1,0,2,0,1,0,0,4,2,-14,3,2820728,https://imagenes.feb.es/foto.aspx?c=2820728,1681
FLEXICAR FUENLABRADA,41,0,L. Nikkarinen,08:11,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,0,0,1,2,4,3,2819305,https://imagenes.feb.es/foto.aspx?c=2819305,491
