Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HLA ALICANTE,3,0,U. Mendicote Rubio,18:26,9,3,3,100.0,0,0,0.0,3,3,100.0,3,6,50.0,1,6,7,3,0,2,0,0,0,1,4,27,21,1869378,https://imagenes.feb.es/foto.aspx?c=1869378,1106
HLA ALICANTE,4,0,S. Ceccardi,14:31,13,4,4,100.0,0,0,0.0,4,4,100.0,5,5,100.0,0,3,3,3,1,0,0,0,0,2,3,8,19,2787126,https://imagenes.feb.es/foto.aspx?c=2787126,871
HLA ALICANTE,8,0,J. Mwema,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2734619,https://imagenes.feb.es/foto.aspx?c=2734619,0
HLA ALICANTE,12,0,B. Coulibaly,17:09,11,4,5,80.0,0,0,0.0,4,5,80.0,3,5,60.0,2,6,8,2,1,1,1,0,4,3,3,32,19,2818653,https://imagenes.feb.es/foto.aspx?c=2818653,1029
HLA ALICANTE,13,1,K. Larsen,19:24,17,5,11,45.5,1,2,50.0,6,13,46.2,4,4,100.0,3,0,3,1,2,2,0,0,0,2,3,6,15,2433482,https://imagenes.feb.es/foto.aspx?c=2433482,1164
HLA ALICANTE,14,0,I. Tamba Villen,08:58,7,1,3,33.3,1,1,100.0,2,4,50.0,2,2,100.0,1,0,1,1,0,0,0,1,0,1,1,8,7,1997161,https://imagenes.feb.es/foto.aspx?c=1997161,538
HLA ALICANTE,15,1,T. Richardson,19:07,5,2,4,50.0,0,2,0.0,2,6,33.3,1,2,50.0,0,4,4,7,0,0,0,0,0,3,2,10,10,2836470,https://imagenes.feb.es/foto.aspx?c=2836470,1147
HLA ALICANTE,21,0,A. Jorda Rodriguez,21:21,18,2,2,100.0,3,4,75.0,5,6,83.3,5,5,100.0,0,3,3,2,0,0,0,0,0,3,2,31,21,1676991,https://imagenes.feb.es/foto.aspx?c=1676991,1281
HLA ALICANTE,22,1,J. Walker,23:11,14,2,5,40.0,3,5,60.0,5,10,50.0,1,2,50.0,0,2,2,4,4,1,0,0,1,2,2,13,11,2736303,https://imagenes.feb.es/foto.aspx?c=2736303,1391
HLA ALICANTE,23,1,D. Geu,19:40,5,2,4,50.0,0,2,0.0,2,6,33.3,1,1,100.0,2,4,6,0,2,0,1,0,0,2,2,0,6,2817123,https://imagenes.feb.es/foto.aspx?c=2817123,1180
HLA ALICANTE,24,1,S. Llorente Paz,22:16,8,1,1,100.0,2,3,66.7,3,4,75.0,0,0,0.0,0,3,3,2,2,2,0,0,0,4,3,17,11,1381662,https://imagenes.feb.es/foto.aspx?c=1381662,1336
HLA ALICANTE,33,0,M. Torres Cuevas,15:57,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,1,2,1,0,0,0,1,1,28,2,1285873,https://imagenes.feb.es/foto.aspx?c=1285873,957
PALMER BASKET MALLORCA PALMA,0,1,H. Atencia Suarez,23:46,8,1,2,50.0,1,5,20.0,2,7,28.6,3,3,100.0,0,1,1,9,2,2,0,0,0,3,3,-21,13,2533643,https://imagenes.feb.es/foto.aspx?c=2533643,1426
PALMER BASKET MALLORCA PALMA,1,1,D. Agbelese ,22:14,6,3,6,50.0,0,0,0.0,3,6,50.0,0,1,0.0,1,4,5,1,1,0,1,0,0,3,2,-13,7,2093770,https://imagenes.feb.es/foto.aspx?c=2093770,1334
PALMER BASKET MALLORCA PALMA,6,0,A. Scariolo Ares,16:14,1,0,3,0.0,0,0,0.0,0,3,0.0,1,2,50.0,0,0,0,1,1,0,0,1,0,1,1,-15,-3,1843906,https://imagenes.feb.es/foto.aspx?c=1843906,974
PALMER BASKET MALLORCA PALMA,7,1,D. Sanadze,23:30,21,5,7,71.4,3,6,50.0,8,13,61.5,2,3,66.7,0,2,2,2,5,0,0,0,0,3,3,-21,14,2850268,https://imagenes.feb.es/foto.aspx?c=2850268,1410
PALMER BASKET MALLORCA PALMA,8,0,A. Chapela Lage,12:59,7,1,1,100.0,1,3,33.3,2,4,50.0,2,2,100.0,0,1,1,1,1,2,0,0,0,0,1,-7,9,1197937,https://imagenes.feb.es/foto.aspx?c=1197937,779
PALMER BASKET MALLORCA PALMA,9,0,A. Urdiain Labayen,16:34,2,0,0,0.0,0,3,0.0,0,3,0.0,2,3,66.7,0,2,2,1,1,1,0,0,0,3,2,-15,0,1593686,https://imagenes.feb.es/foto.aspx?c=1593686,994
PALMER BASKET MALLORCA PALMA,10,0,G. Dike Egun,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759354,https://imagenes.feb.es/foto.aspx?c=1759354,0
PALMER BASKET MALLORCA PALMA,12,0,J. Carralero Martin,19:20,8,0,0,0.0,0,3,0.0,0,3,0.0,8,8,100.0,1,2,3,0,0,0,0,0,0,2,4,-17,10,1591996,https://imagenes.feb.es/foto.aspx?c=1591996,1160
PALMER BASKET MALLORCA PALMA,21,0,T. Hollowell,05:49,3,0,0,0.0,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,0,0,0,0,0,0,3,1,-4,0,2815272,https://imagenes.feb.es/foto.aspx?c=2815272,349
PALMER BASKET MALLORCA PALMA,22,1,N. Camacho De Sá,20:13,10,1,2,50.0,1,2,50.0,2,4,50.0,5,9,55.6,2,1,3,0,0,0,0,0,0,4,6,-22,9,2815273,https://imagenes.feb.es/foto.aspx?c=2815273,1213
PALMER BASKET MALLORCA PALMA,24,0,A. Comendador Femenias,17:27,4,2,5,40.0,0,0,0.0,2,5,40.0,0,0,0.0,1,2,3,1,1,0,0,1,1,3,0,-21,1,1766217,https://imagenes.feb.es/foto.aspx?c=1766217,1047
PALMER BASKET MALLORCA PALMA,25,1,I. Massoud Rodríguez,21:54,3,0,2,0.0,1,4,25.0,1,6,16.7,0,0,0.0,1,0,1,0,1,3,0,0,0,2,0,-24,-1,2818866,https://imagenes.feb.es/foto.aspx?c=2818866,1314
