Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FIBWI MALLORCA BASQUET PALMA ,1,0,L. Smith,12:44,3,1,1,100.0,0,0,0.0,1,1,100.0,1,1,100.0,3,0,3,0,0,0,0,0,0,3,2,-5,5,2788739,https://imagenes.feb.es/foto.aspx?c=2788739,764
FIBWI MALLORCA BASQUET PALMA ,5,0,L. Menuge,11:20,2,1,3,33.3,0,1,0.0,1,4,25.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,0,-6,-1,2838797,https://imagenes.feb.es/foto.aspx?c=2838797,680
FIBWI MALLORCA BASQUET PALMA ,6,0,J. Bocca,11:29,0,0,1,0.0,0,5,0.0,0,6,0.0,0,0,0.0,1,1,2,1,3,1,0,1,0,1,0,-3,-6,2821058,https://imagenes.feb.es/foto.aspx?c=2821058,689
FIBWI MALLORCA BASQUET PALMA ,10,0,A. Bosch Domingo,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597927,https://imagenes.feb.es/foto.aspx?c=1597927,0
FIBWI MALLORCA BASQUET PALMA ,13,1,O. Matulionis,30:49,7,2,4,50.0,1,4,25.0,3,8,37.5,0,0,0.0,0,2,2,0,2,2,1,0,0,4,1,13,2,2027826,https://imagenes.feb.es/foto.aspx?c=2027826,1849
FIBWI MALLORCA BASQUET PALMA ,15,0,O. Siquier Costa,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008018,https://imagenes.feb.es/foto.aspx?c=2008018,0
FIBWI MALLORCA BASQUET PALMA ,23,1,J. Aramburu Lamy,30:02,16,4,5,80.0,2,4,50.0,6,9,66.7,2,2,100.0,2,4,6,1,0,3,1,0,2,1,1,8,24,1509876,https://imagenes.feb.es/foto.aspx?c=1509876,1802
FIBWI MALLORCA BASQUET PALMA ,24,1,L. Capalbo,28:37,13,5,6,83.3,1,2,50.0,6,8,75.0,0,0,0.0,1,2,3,11,3,1,0,0,0,4,5,17,24,2818075,https://imagenes.feb.es/foto.aspx?c=2818075,1717
FIBWI MALLORCA BASQUET PALMA ,30,0,J. Martinez Cabezudo,06:07,3,0,0,0.0,1,3,33.3,1,3,33.3,0,1,0.0,1,0,1,2,0,1,0,0,0,0,1,-8,5,1241485,https://imagenes.feb.es/foto.aspx?c=1241485,367
FIBWI MALLORCA BASQUET PALMA ,33,1,L. Bracey,23:08,4,2,6,33.3,0,4,0.0,2,10,20.0,0,0,0.0,0,0,0,1,1,1,0,1,0,2,1,-6,-4,2583212,https://imagenes.feb.es/foto.aspx?c=2583212,1388
FIBWI MALLORCA BASQUET PALMA ,44,0,B. Vazquez Arraiza,19:55,19,3,3,100.0,4,9,44.4,7,12,58.3,1,1,100.0,0,1,1,0,0,0,0,0,0,4,1,8,12,2783882,https://imagenes.feb.es/foto.aspx?c=2783882,1195
FIBWI MALLORCA BASQUET PALMA ,99,1,P. Bombino Parada,25:49,16,3,8,37.5,0,0,0.0,3,8,37.5,10,12,83.3,4,4,8,2,2,1,0,2,0,3,9,17,24,2819257,https://imagenes.feb.es/foto.aspx?c=2819257,1549
CLUB OURENSE BALONCESTO,3,1,K. Smith,23:45,6,0,1,0.0,2,5,40.0,2,6,33.3,0,0,0.0,2,4,6,2,1,1,0,0,0,2,0,-7,8,2819338,https://imagenes.feb.es/foto.aspx?c=2819338,1425
CLUB OURENSE BALONCESTO,9,0,C. Okanu,18:35,13,5,7,71.4,0,0,0.0,5,7,71.4,3,4,75.0,4,4,8,2,1,2,1,1,0,4,3,6,21,2819330,https://imagenes.feb.es/foto.aspx?c=2819330,1115
CLUB OURENSE BALONCESTO,10,0,I. Vazquez Perez,15:04,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,2,2,3,3,1,0,0,0,1,0,5,4,1778999,https://imagenes.feb.es/foto.aspx?c=1778999,904
CLUB OURENSE BALONCESTO,11,0,M. Fernandez Carballo,12:23,10,3,5,60.0,0,1,0.0,3,6,50.0,4,4,100.0,0,1,1,0,2,0,0,0,0,2,2,2,6,1886852,https://imagenes.feb.es/foto.aspx?c=1886852,743
CLUB OURENSE BALONCESTO,12,0,S. Huguet Carrasco,12:34,2,1,1,100.0,0,2,0.0,1,3,33.3,0,0,0.0,1,2,3,1,0,0,0,0,0,1,1,-1,4,1765084,https://imagenes.feb.es/foto.aspx?c=1765084,754
CLUB OURENSE BALONCESTO,22,1,G. Kalscheur,27:38,22,5,8,62.5,1,4,25.0,6,12,50.0,9,10,90.0,3,1,4,1,4,2,0,1,0,0,8,-13,26,2819327,https://imagenes.feb.es/foto.aspx?c=2819327,1658
CLUB OURENSE BALONCESTO,23,0,D. Saraiva Seixas,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2819332,https://imagenes.feb.es/foto.aspx?c=2819332,0
CLUB OURENSE BALONCESTO,24,1,S. Mc Donnell,26:22,5,1,2,50.0,1,6,16.7,2,8,25.0,0,0,0.0,2,3,5,1,1,3,0,0,0,2,1,-9,6,2781800,https://imagenes.feb.es/foto.aspx?c=2781800,1582
CLUB OURENSE BALONCESTO,27,0,M. Iglesias Fernandez,06:38,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,3,0,-15,-4,1863291,https://imagenes.feb.es/foto.aspx?c=1863291,398
CLUB OURENSE BALONCESTO,28,1,R. Dias Marques Lisboa Santos,25:06,6,1,3,33.3,1,4,25.0,2,7,28.6,1,2,50.0,2,0,2,3,3,0,0,0,0,1,3,-12,4,2650871,https://imagenes.feb.es/foto.aspx?c=2650871,1506
CLUB OURENSE BALONCESTO,35,1,R. Gill,13:49,8,4,6,66.7,0,0,0.0,4,6,66.7,0,0,0.0,0,4,4,0,2,0,3,0,2,5,0,2,6,2654188,https://imagenes.feb.es/foto.aspx?c=2654188,829
