Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
SÚPER AGROPAL PALENCIA,2,0,A. Wintering,20:40,13,5,11,45.5,1,2,50.0,6,13,46.2,0,0,0.0,1,1,2,1,3,0,0,1,0,1,1,6,6,2276415,https://imagenes.feb.es/foto.aspx?c=2276415,1240
SÚPER AGROPAL PALENCIA,5,1,A. Kunkel,22:24,15,4,5,80.0,2,4,50.0,6,9,66.7,1,1,100.0,0,1,1,3,3,1,0,0,0,3,2,1,13,2734949,https://imagenes.feb.es/foto.aspx?c=2734949,1344
SÚPER AGROPAL PALENCIA,6,0,T. Borg,17:12,8,1,3,33.3,2,2,100.0,3,5,60.0,0,0,0.0,0,1,1,2,2,0,0,0,0,3,1,2,5,2092465,https://imagenes.feb.es/foto.aspx?c=2092465,1032
SÚPER AGROPAL PALENCIA,7,1,X. Oroz Uria,17:29,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,0,1,1,1750421,https://imagenes.feb.es/foto.aspx?c=1750421,1049
SÚPER AGROPAL PALENCIA,8,1,I. Jakovics,23:18,14,5,7,71.4,1,5,20.0,6,12,50.0,1,1,100.0,1,3,4,3,0,2,0,1,0,1,4,1,20,2533871,https://imagenes.feb.es/foto.aspx?c=2533871,1398
SÚPER AGROPAL PALENCIA,9,0,M. Kamba,24:57,15,3,3,100.0,3,3,100.0,6,6,100.0,0,0,0.0,1,1,2,0,0,1,2,0,0,0,0,9,20,2734950,https://imagenes.feb.es/foto.aspx?c=2734950,1497
SÚPER AGROPAL PALENCIA,11,0,M. Rodriguez Barrientos,03:33,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,0,-1,-2,1376540,https://imagenes.feb.es/foto.aspx?c=1376540,213
SÚPER AGROPAL PALENCIA,13,1,J. Vrankic,22:48,6,2,4,50.0,0,1,0.0,2,5,40.0,2,3,66.7,1,3,4,1,0,1,0,0,0,2,2,6,8,2640789,https://imagenes.feb.es/foto.aspx?c=2640789,1368
SÚPER AGROPAL PALENCIA,15,0,J. Gonzalez Calvo,10:33,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,0,0,5,2,-2,-2,1382607,https://imagenes.feb.es/foto.aspx?c=1382607,633
SÚPER AGROPAL PALENCIA,17,1,M. Armus,20:59,14,6,7,85.7,0,0,0.0,6,7,85.7,2,3,66.7,2,5,7,1,3,1,0,1,1,1,2,14,19,2818672,https://imagenes.feb.es/foto.aspx?c=2818672,1259
SÚPER AGROPAL PALENCIA,31,0,S. Ugochukwu,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2738742,https://imagenes.feb.es/foto.aspx?c=2738742,0
SÚPER AGROPAL PALENCIA,35,0,A. Muñoz Borchers,16:07,1,0,2,0.0,0,2,0.0,0,4,0.0,1,1,100.0,0,3,3,1,0,1,0,0,0,0,1,3,3,1253254,https://imagenes.feb.es/foto.aspx?c=1253254,967
ALIMERKA OVIEDO BALONCESTO,3,1,M. Townes Villar,31:11,23,7,13,53.8,3,4,75.0,10,17,58.8,0,0,0.0,2,3,5,1,3,0,0,1,0,3,1,-1,17,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1871
ALIMERKA OVIEDO BALONCESTO,4,0,A. Faure Ribes,09:36,6,2,3,66.7,0,0,0.0,2,3,66.7,2,4,50.0,0,1,1,0,0,0,1,1,0,1,2,-12,6,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,576
ALIMERKA OVIEDO BALONCESTO,5,1,G. Parham Ii,26:58,14,4,6,66.7,1,3,33.3,5,9,55.6,3,3,100.0,1,2,3,1,0,0,1,0,0,3,3,-12,15,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1618
ALIMERKA OVIEDO BALONCESTO,7,0,D. Duscak,20:56,10,0,1,0.0,2,6,33.3,2,7,28.6,4,6,66.7,0,1,1,2,1,3,0,0,0,2,5,-4,11,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1256
ALIMERKA OVIEDO BALONCESTO,11,0,F. Copes,13:49,10,4,7,57.1,0,0,0.0,4,7,57.1,2,3,66.7,1,2,3,1,1,0,0,0,0,2,2,7,9,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,829
ALIMERKA OVIEDO BALONCESTO,14,1,D. Shelist,22:39,5,2,4,50.0,0,1,0.0,2,5,40.0,1,2,50.0,2,1,3,1,0,0,0,0,0,0,1,5,6,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,1359
ALIMERKA OVIEDO BALONCESTO,24,0,C. Hermanson,12:59,3,0,0,0.0,1,5,20.0,1,5,20.0,0,0,0.0,0,2,2,0,3,0,0,0,0,2,0,-12,-4,2735658,https://imagenes.feb.es/foto.aspx?c=2735658,779
ALIMERKA OVIEDO BALONCESTO,35,0,F. Nwaokorie,18:29,0,0,2,0.0,0,5,0.0,0,7,0.0,0,0,0.0,2,3,5,0,1,2,1,0,0,0,0,-2,0,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1109
ALIMERKA OVIEDO BALONCESTO,41,1,R. Cosialls Borras,17:27,2,1,2,50.0,0,1,0.0,1,3,33.3,0,0,0.0,4,0,4,3,1,0,0,0,0,2,1,-8,5,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,1047
ALIMERKA OVIEDO BALONCESTO,44,0,P. Gonzalez Longarela,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1821152,https://imagenes.feb.es/foto.aspx?c=1821152,0
ALIMERKA OVIEDO BALONCESTO,48,0,J. Arias Gonzalez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981938,https://imagenes.feb.es/foto.aspx?c=1981938,0
ALIMERKA OVIEDO BALONCESTO,55,1,R. Lobaco Muñoz,25:56,7,2,4,50.0,0,3,0.0,2,7,28.6,3,4,75.0,3,2,5,1,2,2,0,0,0,0,3,-1,10,1978545,https://imagenes.feb.es/foto.aspx?c=1978545,1556
