Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO ALEGA CANTABRIA,2,0,J. Powell,18:08,3,1,3,33.3,0,4,0.0,1,7,14.3,1,2,50.0,0,3,3,3,1,0,0,0,0,4,3,-3,0,2334516,https://imagenes.feb.es/foto.aspx?c=2334516,1088
GRUPO ALEGA CANTABRIA,6,0,C. Taboada Heiskanen,02:27,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,-2,1899194,https://imagenes.feb.es/foto.aspx?c=1899194,147
GRUPO ALEGA CANTABRIA,8,1,S. Rodríguez Ramos,27:54,16,3,5,60.0,2,5,40.0,5,10,50.0,4,6,66.7,4,2,6,2,0,0,0,0,1,2,4,8,19,841966,https://imagenes.feb.es/foto.aspx?c=841966,1674
GRUPO ALEGA CANTABRIA,10,0,G. Martinez Diaz,16:28,5,1,3,33.3,1,3,33.3,2,6,33.3,0,1,0.0,0,2,2,1,2,0,0,0,0,2,3,-4,2,1821694,https://imagenes.feb.es/foto.aspx?c=1821694,988
GRUPO ALEGA CANTABRIA,11,0,J. Yu,21:21,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,3,3,0,4,0,2,0,0,2,0,-3,-3,2815820,https://imagenes.feb.es/foto.aspx?c=2815820,1281
GRUPO ALEGA CANTABRIA,15,1,P. Hernandez Montenegro,26:47,12,0,1,0.0,4,5,80.0,4,6,66.7,0,0,0.0,1,0,1,0,0,1,0,0,0,1,0,-8,11,1442713,https://imagenes.feb.es/foto.aspx?c=1442713,1607
GRUPO ALEGA CANTABRIA,21,0,B. De La Llama Ruiz,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2173109,https://imagenes.feb.es/foto.aspx?c=2173109,0
GRUPO ALEGA CANTABRIA,23,0,C. Lutete Iv,19:32,13,4,6,66.7,1,1,100.0,5,7,71.4,2,3,66.7,0,3,3,3,1,2,0,0,0,0,2,7,19,2815518,https://imagenes.feb.es/foto.aspx?c=2815518,1172
GRUPO ALEGA CANTABRIA,24,1,J. Perez Perez,27:42,18,3,5,60.0,2,5,40.0,5,10,50.0,6,7,85.7,0,4,4,1,1,2,0,0,0,4,8,-20,22,2820629,https://imagenes.feb.es/foto.aspx?c=2820629,1662
GRUPO ALEGA CANTABRIA,32,1,R. Johnson Jr,21:02,10,2,5,40.0,2,3,66.7,4,8,50.0,0,0,0.0,0,0,0,4,3,0,0,0,0,4,0,-8,3,2274998,https://imagenes.feb.es/foto.aspx?c=2274998,1262
GRUPO ALEGA CANTABRIA,34,1,G. Kande Kieli,18:39,7,3,3,100.0,0,0,0.0,3,3,100.0,1,1,100.0,0,4,4,0,2,0,3,0,1,2,1,-4,11,2446696,https://imagenes.feb.es/foto.aspx?c=2446696,1119
GRUPO URETA TIZONA BURGOS,5,1,M. Jackson,25:21,11,4,9,44.4,1,3,33.3,5,12,41.7,0,0,0.0,0,1,1,2,0,0,0,1,0,3,1,-3,5,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,1521
GRUPO URETA TIZONA BURGOS,8,1,F. Terins,19:22,18,2,4,50.0,3,4,75.0,5,8,62.5,5,6,83.3,1,2,3,1,5,0,0,1,0,2,4,-10,15,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,1162
GRUPO URETA TIZONA BURGOS,10,1,A. Parrado Calabria,21:23,12,4,11,36.4,0,4,0.0,4,15,26.7,4,4,100.0,5,3,8,1,1,1,0,1,1,2,3,-15,11,1787348,https://imagenes.feb.es/foto.aspx?c=1787348,1283
GRUPO URETA TIZONA BURGOS,13,1,R. Vila Soley,28:02,8,3,3,100.0,0,1,0.0,3,4,75.0,2,3,66.7,4,1,5,3,1,0,0,0,0,3,3,9,13,1572466,https://imagenes.feb.es/foto.aspx?c=1572466,1682
GRUPO URETA TIZONA BURGOS,21,0,G. Gil Garcia,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1808439,https://imagenes.feb.es/foto.aspx?c=1808439,0
GRUPO URETA TIZONA BURGOS,24,0,A. Huelves Garcia,23:04,10,2,8,25.0,1,3,33.3,3,11,27.3,3,3,100.0,2,2,4,1,1,2,0,2,0,3,4,6,9,2138600,https://imagenes.feb.es/foto.aspx?c=2138600,1384
GRUPO URETA TIZONA BURGOS,25,0,J. Zidek,18:37,7,0,2,0.0,1,1,100.0,1,3,33.3,4,4,100.0,1,1,2,0,1,0,0,0,0,0,3,22,9,2736183,https://imagenes.feb.es/foto.aspx?c=2736183,1117
GRUPO URETA TIZONA BURGOS,31,0,J. Brown-Ferguson,11:58,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1,1,-2,-2,2814907,https://imagenes.feb.es/foto.aspx?c=2814907,718
GRUPO URETA TIZONA BURGOS,33,0,A. Alonso Cuevas,17:52,4,2,2,100.0,0,0,0.0,2,2,100.0,0,1,0.0,2,4,6,0,0,0,0,0,1,1,1,2,9,1879609,https://imagenes.feb.es/foto.aspx?c=1879609,1072
GRUPO URETA TIZONA BURGOS,35,1,R. Seoane Rodicio,20:04,9,3,5,60.0,1,2,50.0,4,7,57.1,0,0,0.0,0,5,5,1,0,1,0,0,0,1,0,3,12,1625687,https://imagenes.feb.es/foto.aspx?c=1625687,1204
GRUPO URETA TIZONA BURGOS,55,0,G. Jofresa Sarret,10:35,11,1,1,100.0,2,6,33.3,3,7,42.9,3,5,60.0,2,2,4,0,1,1,0,0,0,4,2,22,7,1787363,https://imagenes.feb.es/foto.aspx?c=1787363,635
GRUPO URETA TIZONA BURGOS,60,0,A. Alonso Ruiz,03:42,1,0,0,0.0,0,1,0.0,0,1,0.0,1,2,50.0,0,1,1,1,0,0,0,0,0,1,1,1,1,2325671,https://imagenes.feb.es/foto.aspx?c=2325671,222
