Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO URETA TIZONA BURGOS,5,1,M. Jackson,29:07,13,2,5,40.0,3,5,60.0,5,10,50.0,0,0,0.0,0,3,3,2,1,2,1,0,0,4,1,-4,12,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,1747
GRUPO URETA TIZONA BURGOS,8,1,F. Terins,12:13,0,0,2,0.0,0,2,0.0,0,4,0.0,0,0,0.0,0,2,2,0,3,1,0,0,0,3,1,-21,-6,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,733
GRUPO URETA TIZONA BURGOS,10,0,A. Parrado Calabria,17:00,9,1,5,20.0,1,3,33.3,2,8,25.0,4,10,40.0,0,5,5,0,4,0,0,1,0,2,7,0,3,1787348,https://imagenes.feb.es/foto.aspx?c=1787348,1020
GRUPO URETA TIZONA BURGOS,13,1,R. Vila Soley,27:14,13,3,4,75.0,1,1,100.0,4,5,80.0,4,6,66.7,4,1,5,1,2,1,1,0,1,4,3,-18,15,1572466,https://imagenes.feb.es/foto.aspx?c=1572466,1634
GRUPO URETA TIZONA BURGOS,21,1,G. Gil Garcia,19:21,2,0,1,0.0,0,3,0.0,0,4,0.0,2,3,66.7,0,2,2,1,1,1,0,0,0,4,5,-8,1,1808439,https://imagenes.feb.es/foto.aspx?c=1808439,1161
GRUPO URETA TIZONA BURGOS,24,0,A. Huelves Garcia,21:35,3,1,3,33.3,0,2,0.0,1,5,20.0,1,1,100.0,0,1,1,2,3,1,0,1,0,4,0,-6,-4,2138600,https://imagenes.feb.es/foto.aspx?c=2138600,1295
GRUPO URETA TIZONA BURGOS,25,0,J. Zidek,13:40,7,2,3,66.7,0,1,0.0,2,4,50.0,3,4,75.0,0,1,1,0,1,0,0,0,0,3,2,-10,3,2736183,https://imagenes.feb.es/foto.aspx?c=2736183,820
GRUPO URETA TIZONA BURGOS,31,0,J. Brown-Ferguson,02:45,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,-8,3,2814907,https://imagenes.feb.es/foto.aspx?c=2814907,165
GRUPO URETA TIZONA BURGOS,33,0,A. Alonso Cuevas,16:26,3,0,0,0.0,1,2,50.0,1,2,50.0,0,0,0.0,1,3,4,0,3,1,0,0,0,3,0,-14,1,1879609,https://imagenes.feb.es/foto.aspx?c=1879609,986
GRUPO URETA TIZONA BURGOS,35,0,R. Seoane Rodicio,09:50,3,0,1,0.0,1,2,50.0,1,3,33.3,0,0,0.0,0,0,0,0,0,0,0,0,0,5,0,-4,-4,1625687,https://imagenes.feb.es/foto.aspx?c=1625687,590
GRUPO URETA TIZONA BURGOS,55,0,G. Jofresa Sarret,17:40,22,1,1,100.0,5,6,83.3,6,7,85.7,5,5,100.0,0,0,0,0,0,0,0,0,0,3,3,-15,21,1787363,https://imagenes.feb.es/foto.aspx?c=1787363,1060
GRUPO URETA TIZONA BURGOS,60,1,A. Alonso Ruiz,13:09,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,0,0,0,1,1,-2,4,2325671,https://imagenes.feb.es/foto.aspx?c=2325671,789
CLUB OURENSE BALONCESTO,3,1,K. Smith,23:21,5,1,4,25.0,1,1,100.0,2,5,40.0,0,0,0.0,2,1,3,0,3,0,0,0,1,3,1,13,0,2819338,https://imagenes.feb.es/foto.aspx?c=2819338,1401
CLUB OURENSE BALONCESTO,9,1,C. Okanu,25:41,21,6,8,75.0,0,0,0.0,6,8,75.0,9,15,60.0,4,4,8,0,2,0,0,0,1,3,10,21,26,2819330,https://imagenes.feb.es/foto.aspx?c=2819330,1541
CLUB OURENSE BALONCESTO,10,0,I. Vazquez Perez,19:06,14,5,6,83.3,1,2,50.0,6,8,75.0,1,2,50.0,1,2,3,1,0,2,0,0,0,2,2,0,17,1778999,https://imagenes.feb.es/foto.aspx?c=1778999,1146
CLUB OURENSE BALONCESTO,11,0,M. Fernandez Carballo,15:55,8,2,3,66.7,1,1,100.0,3,4,75.0,1,2,50.0,1,2,3,0,1,2,0,0,0,2,1,21,9,1886852,https://imagenes.feb.es/foto.aspx?c=1886852,955
CLUB OURENSE BALONCESTO,12,0,S. Huguet Carrasco,05:20,3,1,2,50.0,0,0,0.0,1,2,50.0,1,3,33.3,1,0,1,0,2,1,0,0,0,1,2,-6,1,1765084,https://imagenes.feb.es/foto.aspx?c=1765084,320
CLUB OURENSE BALONCESTO,22,1,G. Kalscheur,27:08,19,2,3,66.7,1,6,16.7,3,9,33.3,12,12,100.0,0,2,2,1,0,0,1,0,0,3,5,9,19,2819327,https://imagenes.feb.es/foto.aspx?c=2819327,1628
CLUB OURENSE BALONCESTO,23,0,D. Saraiva Seixas,06:07,1,0,1,0.0,0,1,0.0,0,2,0.0,1,2,50.0,1,0,1,0,0,0,0,0,0,3,1,2,-3,2819332,https://imagenes.feb.es/foto.aspx?c=2819332,367
CLUB OURENSE BALONCESTO,24,1,S. Mc Donnell,25:13,4,0,1,0.0,1,5,20.0,1,6,16.7,1,2,50.0,1,1,2,1,0,3,0,1,0,2,2,18,4,2781800,https://imagenes.feb.es/foto.aspx?c=2781800,1513
CLUB OURENSE BALONCESTO,27,0,M. Iglesias Fernandez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863291,https://imagenes.feb.es/foto.aspx?c=1863291,0
CLUB OURENSE BALONCESTO,28,1,R. Dias Marques Lisboa Santos,21:45,10,4,4,100.0,0,0,0.0,4,4,100.0,2,3,66.7,0,1,1,2,1,0,0,0,0,1,3,22,13,2650871,https://imagenes.feb.es/foto.aspx?c=2650871,1305
CLUB OURENSE BALONCESTO,35,0,R. Gill,11:50,8,2,4,50.0,0,0,0.0,2,4,50.0,4,6,66.7,2,3,5,1,1,1,1,0,0,3,4,2,12,2654188,https://imagenes.feb.es/foto.aspx?c=2654188,710
CLUB OURENSE BALONCESTO,41,0,C. Jürgens,18:34,6,3,4,75.0,0,1,0.0,3,5,60.0,0,2,0.0,1,2,3,0,1,2,0,1,0,0,2,8,8,2819335,https://imagenes.feb.es/foto.aspx?c=2819335,1114
