Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FLEXICAR FUENLABRADA,5,1,A. Murphy,28:43,5,2,3,66.7,0,3,0.0,2,6,33.3,1,2,50.0,1,1,2,0,1,1,1,0,1,3,1,0,1,2642637,https://imagenes.feb.es/foto.aspx?c=2642637,1723
FLEXICAR FUENLABRADA,7,1,M. Diaz,34:24,18,2,6,33.3,3,7,42.9,5,13,38.5,5,5,100.0,1,5,6,6,2,2,0,1,0,4,7,-13,25,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,2064
FLEXICAR FUENLABRADA,8,1,V. Alves Benite ,33:06,20,3,5,60.0,3,6,50.0,6,11,54.5,5,7,71.4,1,3,4,1,5,1,0,1,0,0,6,-7,20,2157874,https://imagenes.feb.es/foto.aspx?c=2157874,1986
FLEXICAR FUENLABRADA,9,0,B. Vidarte Cano,05:10,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,1,1,2,1,1,0,0,0,0,3,0,0,-3,2178977,https://imagenes.feb.es/foto.aspx?c=2178977,310
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,32:52,12,3,6,50.0,1,4,25.0,4,10,40.0,3,4,75.0,1,3,4,0,2,4,0,2,0,1,2,-24,12,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,1972
FLEXICAR FUENLABRADA,15,0,P. Rodriguez Pascual,01:39,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,2,-1,1992879,https://imagenes.feb.es/foto.aspx?c=1992879,99
FLEXICAR FUENLABRADA,21,0,D. Stolbetskiy,07:13,0,0,1,0.0,0,0,0.0,0,1,0.0,0,2,0.0,0,0,0,1,0,1,0,0,0,2,1,-4,-2,2736363,https://imagenes.feb.es/foto.aspx?c=2736363,433
FLEXICAR FUENLABRADA,30,0,P. Rigot,14:29,2,1,2,50.0,0,1,0.0,1,3,33.3,0,1,0.0,0,0,0,0,0,0,0,0,0,0,1,-5,0,2820729,https://imagenes.feb.es/foto.aspx?c=2820729,869
FLEXICAR FUENLABRADA,31,0,C. Martin,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2819302,https://imagenes.feb.es/foto.aspx?c=2819302,0
FLEXICAR FUENLABRADA,35,0,J. Belemene-Dzabatou,14:04,3,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,2,2,0,0,0,0,0,0,5,1,-17,1,2820728,https://imagenes.feb.es/foto.aspx?c=2820728,844
FLEXICAR FUENLABRADA,41,0,L. Nikkarinen,02:42,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-5,-2,2819305,https://imagenes.feb.es/foto.aspx?c=2819305,162
FLEXICAR FUENLABRADA,88,1,J. Kasibabu Shilala,25:38,10,4,6,66.7,0,1,0.0,4,7,57.1,2,4,50.0,2,3,5,0,1,0,0,0,1,4,2,-12,7,2820727,https://imagenes.feb.es/foto.aspx?c=2820727,1538
INVEREADY GIPUZKOA,0,0,A. Ngom,03:10,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,1,1,-3,0,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,190
INVEREADY GIPUZKOA,1,0,L. Terry,08:59,6,1,2,50.0,1,4,25.0,2,6,33.3,1,3,33.3,1,0,1,0,1,0,1,0,0,2,1,-8,0,2813563,https://imagenes.feb.es/foto.aspx?c=2813563,539
INVEREADY GIPUZKOA,2,0,O. Hanzlik,12:57,4,0,0,0.0,0,0,0.0,0,0,0.0,4,4,100.0,0,2,2,0,0,0,0,0,0,1,2,-1,7,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,777
INVEREADY GIPUZKOA,6,1,A. Zubizarreta Aranbarri,25:45,6,1,3,33.3,0,3,0.0,1,6,16.7,4,4,100.0,1,3,4,1,3,0,0,0,0,3,2,13,2,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,1545
INVEREADY GIPUZKOA,9,0,M. Motos Cabodevilla,09:10,5,0,1,0.0,1,1,100.0,1,2,50.0,2,2,100.0,2,1,3,1,1,2,0,0,0,1,1,2,9,1447983,https://imagenes.feb.es/foto.aspx?c=1447983,550
INVEREADY GIPUZKOA,10,0,M. Ansorregui Deba,31:49,14,6,9,66.7,0,0,0.0,6,9,66.7,2,2,100.0,3,5,8,0,0,2,0,0,0,0,2,21,23,2082685,https://imagenes.feb.es/foto.aspx?c=2082685,1909
INVEREADY GIPUZKOA,11,1,G. Maiza Apecechea,31:10,11,1,3,33.3,3,5,60.0,4,8,50.0,0,0,0.0,3,2,5,7,1,0,0,0,0,2,6,20,22,1822814,https://imagenes.feb.es/foto.aspx?c=1822814,1870
INVEREADY GIPUZKOA,12,1,J. Nicolau Aledon,23:01,5,1,3,33.3,0,0,0.0,1,3,33.3,3,6,50.0,1,3,4,2,1,1,0,0,0,4,3,12,5,1988355,https://imagenes.feb.es/foto.aspx?c=1988355,1381
INVEREADY GIPUZKOA,13,1,T. Mcghie,29:05,28,2,2,100.0,8,15,53.3,10,17,58.8,0,1,0.0,0,2,2,0,2,0,2,0,0,3,1,21,20,2814207,https://imagenes.feb.es/foto.aspx?c=2814207,1745
INVEREADY GIPUZKOA,22,1,G. Korsantia,16:58,8,3,7,42.9,0,1,0.0,3,8,37.5,2,3,66.7,3,6,9,1,2,1,0,1,0,2,3,9,12,2813562,https://imagenes.feb.es/foto.aspx?c=2813562,1018
INVEREADY GIPUZKOA,24,0,I. Arroyo Varela,07:56,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,1,1,1,0,0,0,3,0,-1,-2,2275973,https://imagenes.feb.es/foto.aspx?c=2275973,476
INVEREADY GIPUZKOA,33,0,I. Rosa Pompido,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535344,https://imagenes.feb.es/foto.aspx?c=1535344,0
