Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
CAJA RURAL CB ZAMORA,3,1,C. Rogers,28:38,15,1,6,16.7,4,9,44.4,5,15,33.3,1,2,50.0,0,1,1,3,0,0,0,0,0,3,2,22,7,2814246,https://imagenes.feb.es/foto.aspx?c=2814246,1718
CAJA RURAL CB ZAMORA,9,0,J. Peris Crespo,22:00,20,4,6,66.7,2,3,66.7,6,9,66.7,6,7,85.7,1,2,3,4,1,2,0,0,0,1,5,9,28,1702420,https://imagenes.feb.es/foto.aspx?c=1702420,1320
CAJA RURAL CB ZAMORA,13,1,A. Martinez Clariana,27:16,11,2,5,40.0,0,2,0.0,2,7,28.6,7,8,87.5,2,8,10,0,1,2,0,1,0,1,4,8,19,1890908,https://imagenes.feb.es/foto.aspx?c=1890908,1636
CAJA RURAL CB ZAMORA,14,1,D. Kristensen,19:12,3,1,1,100.0,0,0,0.0,1,1,100.0,1,4,25.0,0,0,0,0,1,1,0,0,0,3,4,2,1,2819218,https://imagenes.feb.es/foto.aspx?c=2819218,1152
CAJA RURAL CB ZAMORA,15,1,O. Lo       ,26:54,13,5,7,71.4,0,1,0.0,5,8,62.5,3,4,75.0,1,5,6,1,1,2,0,0,1,1,4,16,20,2432888,https://imagenes.feb.es/foto.aspx?c=2432888,1614
CAJA RURAL CB ZAMORA,17,1,T. Naspler Peraire,25:21,5,1,2,50.0,1,1,100.0,2,3,66.7,0,0,0.0,2,3,5,5,0,1,0,0,0,3,0,11,12,1947677,https://imagenes.feb.es/foto.aspx?c=1947677,1521
CAJA RURAL CB ZAMORA,21,0,J. Van Zegeren,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335179,https://imagenes.feb.es/foto.aspx?c=2335179,0
CAJA RURAL CB ZAMORA,34,0,S. Thrastarson,21:51,11,2,6,33.3,1,1,100.0,3,7,42.9,4,4,100.0,0,4,4,0,1,0,1,1,0,2,3,14,12,2814245,https://imagenes.feb.es/foto.aspx?c=2814245,1311
CAJA RURAL CB ZAMORA,55,0,J. Paukstè,18:15,11,4,5,80.0,0,0,0.0,4,5,80.0,3,6,50.0,0,1,1,0,1,0,2,0,1,4,4,17,9,2334629,https://imagenes.feb.es/foto.aspx?c=2334629,1095
CAJA RURAL CB ZAMORA,78,0,A. Bouzan Cumplido,07:45,1,0,0,0.0,0,2,0.0,0,2,0.0,1,3,33.3,0,1,1,0,0,0,0,0,0,2,1,2,-3,1440545,https://imagenes.feb.es/foto.aspx?c=1440545,465
CAJA RURAL CB ZAMORA,79,0,R. Hernandez Gallardo,01:24,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,-3,-2,2185034,https://imagenes.feb.es/foto.aspx?c=2185034,84
CAJA RURAL CB ZAMORA,80,0,C. Arranz Blanco,01:24,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,2261338,https://imagenes.feb.es/foto.aspx?c=2261338,84
GRUPO CAESA SEGUROS FC CARTAGENA CB,0,0,J. Davis,16:54,3,1,7,14.3,0,1,0.0,1,8,12.5,1,2,50.0,0,1,1,3,4,1,0,1,0,3,3,-16,-4,2371571,https://imagenes.feb.es/foto.aspx?c=2371571,1014
GRUPO CAESA SEGUROS FC CARTAGENA CB,2,0,A. Garuba Alari,08:57,5,1,2,50.0,0,0,0.0,1,2,50.0,3,5,60.0,0,1,1,0,0,0,0,0,0,3,2,8,2,2159336,https://imagenes.feb.es/foto.aspx?c=2159336,537
GRUPO CAESA SEGUROS FC CARTAGENA CB,3,0,T. Suokas,17:24,6,1,2,50.0,1,5,20.0,2,7,28.6,1,2,50.0,1,1,2,3,2,0,1,0,0,2,2,-20,4,2816854,https://imagenes.feb.es/foto.aspx?c=2816854,1044
GRUPO CAESA SEGUROS FC CARTAGENA CB,4,1,I. Rivera Carroll,10:55,4,1,1,100.0,0,1,0.0,1,2,50.0,2,2,100.0,0,0,0,1,1,0,0,0,0,1,1,-17,3,2816796,https://imagenes.feb.es/foto.aspx?c=2816796,655
GRUPO CAESA SEGUROS FC CARTAGENA CB,5,1,A. Martin Marin,23:38,5,1,3,33.3,1,5,20.0,2,8,25.0,0,0,0.0,2,4,6,3,0,0,0,0,0,1,1,0,8,1384223,https://imagenes.feb.es/foto.aspx?c=1384223,1418
GRUPO CAESA SEGUROS FC CARTAGENA CB,8,0,M. Ayesa Rodriguez,01:20,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,2736779,https://imagenes.feb.es/foto.aspx?c=2736779,80
