Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MELILLA CIUDAD DEL DEPORTE,0,0,J. Godspower Johnson,20:08,13,0,1,0.0,4,5,80.0,4,6,66.7,1,2,50.0,0,7,7,1,1,0,2,0,0,3,1,13,17,1878729,https://imagenes.feb.es/foto.aspx?c=1878729,1208
MELILLA CIUDAD DEL DEPORTE,1,0,D. Poirier,22:30,16,4,5,80.0,1,3,33.3,5,8,62.5,5,6,83.3,1,8,9,2,1,0,0,0,2,1,5,7,26,2451278,https://imagenes.feb.es/foto.aspx?c=2451278,1350
MELILLA CIUDAD DEL DEPORTE,4,0,S. Peno,03:49,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,5,1,2814862,https://imagenes.feb.es/foto.aspx?c=2814862,229
MELILLA CIUDAD DEL DEPORTE,5,0,M. Heron,20:30,9,3,7,42.9,1,3,33.3,4,10,40.0,0,0,0.0,1,1,2,0,1,0,0,0,0,5,1,9,0,2819191,https://imagenes.feb.es/foto.aspx?c=2819191,1230
MELILLA CIUDAD DEL DEPORTE,7,1,P. Cordoba Muro,17:10,8,2,6,33.3,0,1,0.0,2,7,28.6,4,4,100.0,0,3,3,0,2,1,0,0,0,4,2,-2,3,1677841,https://imagenes.feb.es/foto.aspx?c=1677841,1030
MELILLA CIUDAD DEL DEPORTE,12,1,P. Krutous,27:50,5,0,1,0.0,1,2,50.0,1,3,33.3,2,3,66.7,0,2,2,1,0,0,0,0,0,1,2,8,6,2734873,https://imagenes.feb.es/foto.aspx?c=2734873,1670
MELILLA CIUDAD DEL DEPORTE,21,1,L. Debaut,20:20,13,6,7,85.7,0,1,0.0,6,8,75.0,1,2,50.0,6,8,14,3,3,0,1,0,1,2,3,5,26,2647156,https://imagenes.feb.es/foto.aspx?c=2647156,1220
MELILLA CIUDAD DEL DEPORTE,22,0,C. Diaz Rodriguez,21:29,17,1,5,20.0,2,2,100.0,3,7,42.9,9,10,90.0,0,3,3,4,0,3,0,0,0,4,8,19,26,1251001,https://imagenes.feb.es/foto.aspx?c=1251001,1289
MELILLA CIUDAD DEL DEPORTE,23,0,R. Stumbris,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2739848,https://imagenes.feb.es/foto.aspx?c=2739848,0
MELILLA CIUDAD DEL DEPORTE,33,1,M. Stilma,15:24,6,2,3,66.7,0,1,0.0,2,4,50.0,2,2,100.0,0,3,3,0,0,0,0,0,0,4,1,1,4,2734242,https://imagenes.feb.es/foto.aspx?c=2734242,924
MELILLA CIUDAD DEL DEPORTE,44,1,J. Garcia Sanchez,30:50,3,1,3,33.3,0,4,0.0,1,7,14.3,1,2,50.0,0,1,1,3,3,0,0,0,0,2,2,5,-3,1978541,https://imagenes.feb.es/foto.aspx?c=1978541,1850
