Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HESTIA MENORCA,0,1,E. Vicedo Ayala,16:55,6,0,0,0.0,2,4,50.0,2,4,50.0,0,0,0.0,1,6,7,3,1,0,0,0,0,2,1,17,12,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,1015
HESTIA MENORCA,1,0,J. Cone,22:37,13,0,0,0.0,4,8,50.0,4,8,50.0,1,3,33.3,0,0,0,1,1,1,0,0,0,2,4,-5,10,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,1357
HESTIA MENORCA,2,0,M. Corbera Busqueta,02:12,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-4,-1,1921541,https://imagenes.feb.es/foto.aspx?c=1921541,132
HESTIA MENORCA,3,0,N. Galette,23:05,10,2,2,100.0,2,3,66.7,4,5,80.0,0,0,0.0,2,1,3,0,1,0,0,0,0,4,1,-3,8,2820270,https://imagenes.feb.es/foto.aspx?c=2820270,1385
HESTIA MENORCA,8,0,I. Rosa Pompido,03:56,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,2,0,1,-2,1535344,https://imagenes.feb.es/foto.aspx?c=1535344,236
HESTIA MENORCA,10,1,F. Zurbriggen,18:00,5,1,1,100.0,0,3,0.0,1,4,25.0,3,5,60.0,0,3,3,8,2,0,0,0,0,3,4,20,10,2446720,https://imagenes.feb.es/foto.aspx?c=2446720,1080
HESTIA MENORCA,11,0,S. Littleson,26:48,9,1,6,16.7,1,8,12.5,2,14,14.3,4,4,100.0,0,2,2,3,1,5,0,0,1,0,5,-2,11,2650859,https://imagenes.feb.es/foto.aspx?c=2650859,1608
HESTIA MENORCA,13,0,J. Lobo Martorell,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1938697,https://imagenes.feb.es/foto.aspx?c=1938697,0
HESTIA MENORCA,21,1,T. Mcfadden,22:48,15,1,3,33.3,4,7,57.1,5,10,50.0,1,4,25.0,1,1,2,2,1,1,0,1,0,2,4,26,13,2325133,https://imagenes.feb.es/foto.aspx?c=2325133,1368
HESTIA MENORCA,23,1,E. Wembi,12:17,2,1,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,0,3,3,1,0,2,0,0,0,3,1,8,4,2702840,https://imagenes.feb.es/foto.aspx?c=2702840,737
HESTIA MENORCA,55,1,A. Sola Iddrisu,25:09,6,2,2,100.0,0,3,0.0,2,5,40.0,2,3,66.7,2,3,5,3,0,1,0,0,0,2,2,6,11,1875914,https://imagenes.feb.es/foto.aspx?c=1875914,1509
HESTIA MENORCA,77,0,V. Arteaga Gonzalez,26:13,22,8,12,66.7,0,0,0.0,8,12,66.7,6,8,75.0,3,3,6,0,2,1,2,0,1,4,3,6,22,1382456,https://imagenes.feb.es/foto.aspx?c=1382456,1573
CAJA RURAL CB ZAMORA,2,0,T. Roberts,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2813978,https://imagenes.feb.es/foto.aspx?c=2813978,0
CAJA RURAL CB ZAMORA,3,1,C. Rogers,26:10,5,1,3,33.3,1,5,20.0,2,8,25.0,0,0,0.0,0,1,1,2,3,0,0,1,0,3,1,-27,-3,2814246,https://imagenes.feb.es/foto.aspx?c=2814246,1570
CAJA RURAL CB ZAMORA,4,0,J. Round,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335424,https://imagenes.feb.es/foto.aspx?c=2335424,0
CAJA RURAL CB ZAMORA,9,0,J. Peris Crespo,20:38,14,4,7,57.1,1,4,25.0,5,11,45.5,3,3,100.0,0,4,4,4,2,1,0,0,0,4,4,2,15,1702420,https://imagenes.feb.es/foto.aspx?c=1702420,1238
CAJA RURAL CB ZAMORA,13,1,A. Martinez Clariana,22:29,5,1,6,16.7,0,0,0.0,1,6,16.7,3,4,75.0,2,3,5,0,2,1,1,0,0,0,3,-4,7,1890908,https://imagenes.feb.es/foto.aspx?c=1890908,1349
CAJA RURAL CB ZAMORA,14,0,D. Kristensen,16:50,1,0,2,0.0,0,1,0.0,0,3,0.0,1,2,50.0,0,0,0,0,0,1,0,0,0,3,2,11,-3,2819218,https://imagenes.feb.es/foto.aspx?c=2819218,1010
CAJA RURAL CB ZAMORA,15,1,O. Lo       ,24:16,13,3,4,75.0,0,0,0.0,3,4,75.0,7,8,87.5,0,1,1,0,1,1,0,0,0,3,5,-23,14,2432888,https://imagenes.feb.es/foto.aspx?c=2432888,1456
CAJA RURAL CB ZAMORA,17,1,T. Naspler Peraire,25:01,7,2,2,100.0,1,3,33.3,3,5,60.0,0,0,0.0,3,0,3,4,3,0,0,0,0,3,2,-9,8,1947677,https://imagenes.feb.es/foto.aspx?c=1947677,1501
CAJA RURAL CB ZAMORA,21,0,J. Van Zegeren,14:39,10,5,6,83.3,0,0,0.0,5,6,83.3,0,0,0.0,0,4,4,1,1,0,0,0,3,3,1,9,11,2335179,https://imagenes.feb.es/foto.aspx?c=2335179,879
CAJA RURAL CB ZAMORA,34,0,S. Thrastarson,25:48,11,3,9,33.3,0,0,0.0,3,9,33.3,5,6,83.3,3,3,6,2,1,0,0,0,0,4,3,-8,10,2814245,https://imagenes.feb.es/foto.aspx?c=2814245,1548
CAJA RURAL CB ZAMORA,55,1,J. Paukstè,22:55,8,3,8,37.5,0,0,0.0,3,8,37.5,2,2,100.0,1,10,11,1,1,0,0,0,1,2,3,-22,15,2334629,https://imagenes.feb.es/foto.aspx?c=2334629,1375
CAJA RURAL CB ZAMORA,78,0,A. Bouzan Cumplido,01:14,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,-1,1440545,https://imagenes.feb.es/foto.aspx?c=1440545,74
