Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
LEYMA CORUÑA,0,1,D. Cuevas Simarro,21:11,10,1,1,100.0,2,6,33.3,3,7,42.9,2,2,100.0,0,6,6,1,0,1,0,0,0,3,2,13,13,2557970,https://imagenes.feb.es/foto.aspx?c=2557970,1271
LEYMA CORUÑA,4,0,P. Jorgensen,24:11,9,2,6,33.3,1,6,16.7,3,12,25.0,2,2,100.0,0,4,4,0,3,2,0,1,0,2,6,-12,7,2371535,https://imagenes.feb.es/foto.aspx?c=2371535,1451
LEYMA CORUÑA,5,1,G. Jou Coll,25:56,10,2,3,66.7,1,6,16.7,3,9,33.3,3,4,75.0,5,4,9,3,0,0,1,0,0,2,3,4,17,1491674,https://imagenes.feb.es/foto.aspx?c=1491674,1556
LEYMA CORUÑA,6,0,M. Braz,04:25,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,-8,-1,2814191,https://imagenes.feb.es/foto.aspx?c=2814191,265
LEYMA CORUÑA,8,1,D. Radoncic,21:35,8,3,3,100.0,0,0,0.0,3,3,100.0,2,2,100.0,0,3,3,4,3,0,0,0,0,4,4,16,12,2843861,https://imagenes.feb.es/foto.aspx?c=2843861,1295
LEYMA CORUÑA,9,0,C. De Souza Pacheco,23:37,16,2,3,66.7,3,7,42.9,5,10,50.0,3,4,75.0,0,1,1,3,3,0,0,0,0,1,3,-7,13,2644143,https://imagenes.feb.es/foto.aspx?c=2644143,1417
LEYMA CORUÑA,13,0,D. Brnovic,13:59,2,1,1,100.0,0,1,0.0,1,2,50.0,0,0,0.0,0,2,2,0,0,0,0,0,0,0,1,-1,4,2814190,https://imagenes.feb.es/foto.aspx?c=2814190,839
LEYMA CORUÑA,21,1,I. Diop Gaye,24:47,4,1,3,33.3,0,2,0.0,1,5,20.0,2,4,50.0,0,2,2,0,1,0,0,0,0,3,2,14,-2,1848359,https://imagenes.feb.es/foto.aspx?c=1848359,1487
LEYMA CORUÑA,22,0,C. Varela Romero,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2039654,https://imagenes.feb.es/foto.aspx?c=2039654,0
LEYMA CORUÑA,24,1,J. Cremo,25:50,20,2,4,50.0,3,3,100.0,5,7,71.4,7,7,100.0,1,2,3,3,0,0,0,0,0,3,4,18,25,2452677,https://imagenes.feb.es/foto.aspx?c=2452677,1550
