Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
CLUB OURENSE BALONCESTO,3,0,K. Smith,15:38,11,4,6,66.7,1,1,100.0,5,7,71.4,0,2,0.0,5,1,6,0,1,1,0,0,1,1,1,12,13,2819338,https://imagenes.feb.es/foto.aspx?c=2819338,938
CLUB OURENSE BALONCESTO,9,0,C. Okanu,14:23,7,1,4,25.0,0,0,0.0,1,4,25.0,5,5,100.0,2,2,4,2,2,1,0,0,0,5,5,17,9,2819330,https://imagenes.feb.es/foto.aspx?c=2819330,863
CLUB OURENSE BALONCESTO,10,0,I. Vazquez Perez,18:12,10,3,3,100.0,1,3,33.3,4,6,66.7,1,2,50.0,3,0,3,6,2,3,0,0,0,1,2,3,18,1778999,https://imagenes.feb.es/foto.aspx?c=1778999,1092
CLUB OURENSE BALONCESTO,11,0,M. Fernandez Carballo,15:43,7,2,5,40.0,0,1,0.0,2,6,33.3,3,4,75.0,1,4,5,0,1,0,0,0,0,1,4,1,9,1886852,https://imagenes.feb.es/foto.aspx?c=1886852,943
CLUB OURENSE BALONCESTO,12,1,S. Huguet Carrasco,15:47,5,1,2,50.0,1,7,14.3,2,9,22.2,0,0,0.0,3,1,4,0,0,0,0,0,0,1,0,2,1,1765084,https://imagenes.feb.es/foto.aspx?c=1765084,947
CLUB OURENSE BALONCESTO,22,1,G. Kalscheur,22:23,21,2,5,40.0,5,7,71.4,7,12,58.3,2,3,66.7,0,3,3,3,2,1,0,0,0,4,1,10,17,2819327,https://imagenes.feb.es/foto.aspx?c=2819327,1343
CLUB OURENSE BALONCESTO,23,0,D. Saraiva Seixas,11:13,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,3,0,9,-3,2819332,https://imagenes.feb.es/foto.aspx?c=2819332,673
CLUB OURENSE BALONCESTO,24,1,S. Mc Donnell,24:23,14,3,3,100.0,1,3,33.3,4,6,66.7,5,6,83.3,1,4,5,1,2,2,1,0,0,1,8,13,25,2781800,https://imagenes.feb.es/foto.aspx?c=2781800,1463
CLUB OURENSE BALONCESTO,27,0,M. Iglesias Fernandez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863291,https://imagenes.feb.es/foto.aspx?c=1863291,0
CLUB OURENSE BALONCESTO,28,1,R. Dias Marques Lisboa Santos,19:47,10,2,4,50.0,2,5,40.0,4,9,44.4,0,0,0.0,0,1,1,6,1,0,0,0,0,1,1,20,11,2650871,https://imagenes.feb.es/foto.aspx?c=2650871,1187
CLUB OURENSE BALONCESTO,35,1,R. Gill,23:29,6,2,4,50.0,0,0,0.0,2,4,50.0,2,4,50.0,2,5,7,0,0,0,2,0,2,4,2,4,9,2654188,https://imagenes.feb.es/foto.aspx?c=2654188,1409
CLUB OURENSE BALONCESTO,41,0,C. Jürgens,19:02,7,1,5,20.0,1,5,20.0,2,10,20.0,2,2,100.0,2,3,5,1,0,3,0,1,0,3,2,24,7,2819335,https://imagenes.feb.es/foto.aspx?c=2819335,1142
MELILLA CIUDAD DEL DEPORTE,0,1,J. Godspower Johnson,20:03,3,0,2,0.0,1,4,25.0,1,6,16.7,0,0,0.0,2,1,3,0,3,1,0,1,0,2,0,-11,-3,1878729,https://imagenes.feb.es/foto.aspx?c=1878729,1203
MELILLA CIUDAD DEL DEPORTE,1,1,D. Poirier,26:17,20,4,5,80.0,3,4,75.0,7,9,77.8,3,4,75.0,2,7,9,3,2,0,0,0,1,3,6,-13,30,2451278,https://imagenes.feb.es/foto.aspx?c=2451278,1577
MELILLA CIUDAD DEL DEPORTE,4,0,S. Peno,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2814862,https://imagenes.feb.es/foto.aspx?c=2814862,0
MELILLA CIUDAD DEL DEPORTE,5,0,M. Heron,25:22,27,5,8,62.5,1,4,25.0,6,12,50.0,14,15,93.3,1,2,3,1,3,2,1,0,0,2,10,-11,32,2819191,https://imagenes.feb.es/foto.aspx?c=2819191,1522
MELILLA CIUDAD DEL DEPORTE,7,1,P. Cordoba Muro,25:38,9,3,7,42.9,1,5,20.0,4,12,33.3,0,0,0.0,1,1,2,2,2,1,0,0,0,2,1,-15,3,1677841,https://imagenes.feb.es/foto.aspx?c=1677841,1538
MELILLA CIUDAD DEL DEPORTE,12,0,P. Krutous,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2734873,https://imagenes.feb.es/foto.aspx?c=2734873,0
MELILLA CIUDAD DEL DEPORTE,21,0,L. Debaut,12:16,0,0,2,0.0,0,0,0.0,0,2,0.0,0,2,0.0,3,5,8,0,0,0,0,1,0,3,1,-7,2,2647156,https://imagenes.feb.es/foto.aspx?c=2647156,736
MELILLA CIUDAD DEL DEPORTE,22,1,C. Diaz Rodriguez,24:02,2,1,3,33.3,0,2,0.0,1,5,20.0,0,0,0.0,0,1,1,6,3,2,0,0,0,5,2,-18,1,1251001,https://imagenes.feb.es/foto.aspx?c=1251001,1442
MELILLA CIUDAD DEL DEPORTE,23,1,R. Stumbris,27:42,4,0,4,0.0,1,4,25.0,1,8,12.5,1,2,50.0,4,1,5,1,1,0,0,1,0,3,1,-19,-1,2739848,https://imagenes.feb.es/foto.aspx?c=2739848,1662
MELILLA CIUDAD DEL DEPORTE,33,0,M. Stilma,16:24,4,1,1,100.0,0,1,0.0,1,2,50.0,2,2,100.0,1,1,2,0,3,0,0,0,0,3,3,-11,2,2734242,https://imagenes.feb.es/foto.aspx?c=2734242,984
MELILLA CIUDAD DEL DEPORTE,44,0,J. Garcia Sanchez,22:16,6,0,3,0.0,2,6,33.3,2,9,22.2,0,0,0.0,0,2,2,3,3,0,0,0,0,3,1,-10,-1,1978541,https://imagenes.feb.es/foto.aspx?c=1978541,1336
