Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
PALMER BASKET MALLORCA PALMA,0,1,H. Atencia Suarez,31:08,12,3,7,42.9,1,4,25.0,4,11,36.4,3,3,100.0,0,1,1,10,4,2,0,0,0,3,5,20,16,2533643,https://imagenes.feb.es/foto.aspx?c=2533643,1868
PALMER BASKET MALLORCA PALMA,7,1,D. Sanadze,24:25,16,2,5,40.0,1,2,50.0,3,7,42.9,9,9,100.0,0,2,2,0,5,1,0,0,0,3,7,-12,14,2850268,https://imagenes.feb.es/foto.aspx?c=2850268,1465
PALMER BASKET MALLORCA PALMA,8,0,A. Chapela Lage,09:10,3,0,0,0.0,1,4,25.0,1,4,25.0,0,0,0.0,0,3,3,0,0,0,0,0,0,1,0,-9,2,1197937,https://imagenes.feb.es/foto.aspx?c=1197937,550
PALMER BASKET MALLORCA PALMA,9,0,A. Urdiain Labayen,21:30,10,2,5,40.0,2,4,50.0,4,9,44.4,0,1,0.0,0,2,2,0,0,0,0,0,1,3,1,9,4,1593686,https://imagenes.feb.es/foto.aspx?c=1593686,1290
PALMER BASKET MALLORCA PALMA,10,0,G. Dike Egun,18:40,1,0,0,0.0,0,0,0.0,0,0,0.0,1,2,50.0,0,2,2,1,1,1,0,0,0,2,3,7,4,1759354,https://imagenes.feb.es/foto.aspx?c=1759354,1120
PALMER BASKET MALLORCA PALMA,11,0,R. Vicente Simo,00:20,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070535,https://imagenes.feb.es/foto.aspx?c=2070535,20
PALMER BASKET MALLORCA PALMA,12,0,J. Carralero Martin,15:29,2,0,3,0.0,0,1,0.0,0,4,0.0,2,2,100.0,3,1,4,1,1,0,0,0,0,2,2,-6,2,1591996,https://imagenes.feb.es/foto.aspx?c=1591996,929
PALMER BASKET MALLORCA PALMA,22,1,N. Camacho De Sá,33:28,15,4,5,80.0,2,4,50.0,6,9,66.7,1,2,50.0,2,7,9,2,1,1,0,0,0,0,1,19,23,2815273,https://imagenes.feb.es/foto.aspx?c=2815273,2008
PALMER BASKET MALLORCA PALMA,23,1,J. Roberts,24:55,11,4,6,66.7,0,0,0.0,4,6,66.7,3,6,50.0,1,5,6,1,3,0,1,0,1,1,4,15,14,2860169,https://imagenes.feb.es/foto.aspx?c=2860169,1495
PALMER BASKET MALLORCA PALMA,30,0,A. Aguilera Melchor,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2225419,https://imagenes.feb.es/foto.aspx?c=2225419,0
PALMER BASKET MALLORCA PALMA,47,1,A. Izaw Bolavie,20:55,7,3,6,50.0,0,0,0.0,3,6,50.0,1,4,25.0,3,3,6,2,2,3,2,0,2,3,4,2,13,2812898,https://imagenes.feb.es/foto.aspx?c=2812898,1255
GRUPO CAESA SEGUROS FC CARTAGENA CB,0,1,J. Davis,29:42,8,4,11,36.4,0,3,0.0,4,14,28.6,0,0,0.0,0,4,4,4,4,2,0,1,0,3,2,-12,3,2371571,https://imagenes.feb.es/foto.aspx?c=2371571,1782
GRUPO CAESA SEGUROS FC CARTAGENA CB,1,0,C. Polynice,19:52,4,2,4,50.0,0,3,0.0,2,7,28.6,0,2,0.0,2,4,6,0,0,1,0,0,0,2,1,2,3,2862304,https://imagenes.feb.es/foto.aspx?c=2862304,1192
GRUPO CAESA SEGUROS FC CARTAGENA CB,2,0,A. Garuba Alari,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159336,https://imagenes.feb.es/foto.aspx?c=2159336,0
GRUPO CAESA SEGUROS FC CARTAGENA CB,4,0,I. Rivera Carroll,14:31,7,2,4,50.0,0,2,0.0,2,6,33.3,3,3,100.0,0,0,0,0,1,1,0,0,0,3,3,2,3,2816796,https://imagenes.feb.es/foto.aspx?c=2816796,871
GRUPO CAESA SEGUROS FC CARTAGENA CB,5,0,A. Martin Marin,08:29,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,2,0,0,0,0,3,0,-3,-4,1384223,https://imagenes.feb.es/foto.aspx?c=1384223,509
GRUPO CAESA SEGUROS FC CARTAGENA CB,10,1,K. Webster,31:31,17,4,8,50.0,2,4,50.0,6,12,50.0,3,6,50.0,0,2,2,5,3,0,0,2,0,1,5,-6,16,2862296,https://imagenes.feb.es/foto.aspx?c=2862296,1891
GRUPO CAESA SEGUROS FC CARTAGENA CB,11,1,E. Idehen Idehen,16:43,0,0,2,0.0,0,1,0.0,0,3,0.0,0,0,0.0,1,1,2,0,1,1,0,0,1,4,0,-5,-5,2525411,https://imagenes.feb.es/foto.aspx?c=2525411,1003
GRUPO CAESA SEGUROS FC CARTAGENA CB,12,1,A. Domenech Fontana,29:05,12,2,3,66.7,2,3,66.7,4,6,66.7,2,2,100.0,1,4,5,0,2,0,0,0,0,4,2,-21,11,1923881,https://imagenes.feb.es/foto.aspx?c=1923881,1745
GRUPO CAESA SEGUROS FC CARTAGENA CB,13,0,V. Faverani Tatsch,13:50,8,2,2,100.0,1,2,50.0,3,4,75.0,1,1,100.0,0,1,1,0,3,0,0,0,0,5,4,8,4,2820135,https://imagenes.feb.es/foto.aspx?c=2820135,830
GRUPO CAESA SEGUROS FC CARTAGENA CB,15,0,M. Ayesa Rodriguez,08:57,3,0,0,0.0,1,3,33.3,1,3,33.3,0,0,0.0,2,0,2,0,0,0,0,0,0,1,1,0,3,2736779,https://imagenes.feb.es/foto.aspx?c=2736779,537
GRUPO CAESA SEGUROS FC CARTAGENA CB,19,0,A. Harguindey Maneiro,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997544,https://imagenes.feb.es/foto.aspx?c=1997544,0
GRUPO CAESA SEGUROS FC CARTAGENA CB,20,1,S. Svejcar,27:20,9,0,1,0.0,3,4,75.0,3,5,60.0,0,0,0.0,1,3,4,0,1,0,0,0,0,3,0,-10,7,2816849,https://imagenes.feb.es/foto.aspx?c=2816849,1640
