Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FLEXICAR FUENLABRADA,3,0,A. Rupérez Vázquez,00:10,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0,2224747,https://imagenes.feb.es/foto.aspx?c=2224747,10
FLEXICAR FUENLABRADA,7,1,M. Diaz,22:45,11,0,3,0.0,3,5,60.0,3,8,37.5,2,2,100.0,0,4,4,5,2,1,0,0,0,4,2,6,12,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,1365
FLEXICAR FUENLABRADA,8,1,V. Alves Benite ,31:40,17,3,4,75.0,3,9,33.3,6,13,46.2,2,3,66.7,0,2,2,2,0,0,0,0,0,0,4,12,17,2157874,https://imagenes.feb.es/foto.aspx?c=2157874,1900
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,26:13,9,3,7,42.9,1,4,25.0,4,11,36.4,0,0,0.0,1,2,3,1,1,2,0,1,0,3,2,6,6,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,1573
FLEXICAR FUENLABRADA,15,0,P. Rodriguez Pascual,00:10,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-3,-1,1992879,https://imagenes.feb.es/foto.aspx?c=1992879,10
FLEXICAR FUENLABRADA,21,0,D. Stolbetskiy,04:09,2,0,1,0.0,0,0,0.0,0,1,0.0,2,2,100.0,1,0,1,1,0,0,0,0,0,0,1,-1,4,2736363,https://imagenes.feb.es/foto.aspx?c=2736363,249
FLEXICAR FUENLABRADA,22,1,B. De Bisschop,24:22,15,7,11,63.6,0,0,0.0,7,11,63.6,1,4,25.0,0,13,13,2,1,0,3,0,1,3,2,15,24,2703151,https://imagenes.feb.es/foto.aspx?c=2703151,1462
FLEXICAR FUENLABRADA,23,0,A. Gomez Fraile,00:10,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0,2222612,https://imagenes.feb.es/foto.aspx?c=2222612,10
FLEXICAR FUENLABRADA,30,0,P. Rigot,18:20,6,1,3,33.3,0,2,0.0,1,5,20.0,4,4,100.0,1,2,3,0,0,0,0,0,0,2,2,-1,5,2820729,https://imagenes.feb.es/foto.aspx?c=2820729,1100
FLEXICAR FUENLABRADA,32,0,G. Renfroe,25:59,7,1,3,33.3,1,4,25.0,2,7,28.6,2,2,100.0,2,5,7,9,1,1,0,0,0,2,3,8,19,2236015,https://imagenes.feb.es/foto.aspx?c=2236015,1559
FLEXICAR FUENLABRADA,35,0,J. Belemene-Dzabatou,22:13,2,0,1,0.0,0,1,0.0,0,2,0.0,2,4,50.0,2,2,4,0,2,0,2,0,0,1,3,-4,4,2820728,https://imagenes.feb.es/foto.aspx?c=2820728,1333
FLEXICAR FUENLABRADA,88,1,J. Kasibabu Shilala,23:49,9,3,3,100.0,0,0,0.0,3,3,100.0,3,4,75.0,3,6,9,2,4,0,0,0,1,3,3,3,15,2820727,https://imagenes.feb.es/foto.aspx?c=2820727,1429
CLOUD.GAL OURENSE BALONCESTO ,3,0,K. Smith,15:16,6,0,0,0.0,2,3,66.7,2,3,66.7,0,0,0.0,0,3,3,0,0,2,0,0,0,2,1,4,9,2819338,https://imagenes.feb.es/foto.aspx?c=2819338,916
CLOUD.GAL OURENSE BALONCESTO ,9,1,C. Okanu,24:41,12,6,12,50.0,0,0,0.0,6,12,50.0,0,0,0.0,2,6,8,1,2,0,0,1,0,0,1,-9,14,2819330,https://imagenes.feb.es/foto.aspx?c=2819330,1481
CLOUD.GAL OURENSE BALONCESTO ,10,0,I. Vazquez Perez,26:55,11,0,4,0.0,3,8,37.5,3,12,25.0,2,2,100.0,1,2,3,3,0,2,1,0,0,2,4,-5,13,1778999,https://imagenes.feb.es/foto.aspx?c=1778999,1615
