Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
SÚPER AGROPAL PALENCIA,2,1,A. Wintering,25:29,10,4,10,40.0,0,1,0.0,4,11,36.4,2,3,66.7,1,3,4,2,0,2,0,0,0,3,4,-9,11,2276415,https://imagenes.feb.es/foto.aspx?c=2276415,1529
SÚPER AGROPAL PALENCIA,4,0,O. Gomez Fernandez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2186516,https://imagenes.feb.es/foto.aspx?c=2186516,0
SÚPER AGROPAL PALENCIA,5,0,A. Kunkel,21:21,19,2,7,28.6,3,8,37.5,5,15,33.3,6,8,75.0,1,4,5,0,2,0,0,0,0,1,6,-1,15,2734949,https://imagenes.feb.es/foto.aspx?c=2734949,1281
SÚPER AGROPAL PALENCIA,6,1,T. Borg,27:05,9,2,3,66.7,1,3,33.3,3,6,50.0,2,3,66.7,0,0,0,2,2,1,1,1,0,1,3,-13,9,2092465,https://imagenes.feb.es/foto.aspx?c=2092465,1625
SÚPER AGROPAL PALENCIA,7,1,X. Oroz Uria,17:17,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,0,1,1,1,1,0,0,0,2,1,-11,0,1750421,https://imagenes.feb.es/foto.aspx?c=1750421,1037
SÚPER AGROPAL PALENCIA,8,0,I. Jakovics,15:47,0,0,2,0.0,0,3,0.0,0,5,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1,0,-4,-7,2533871,https://imagenes.feb.es/foto.aspx?c=2533871,947
SÚPER AGROPAL PALENCIA,9,0,M. Kamba,19:11,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,3,3,6,1,0,1,0,0,0,3,1,1,5,2734950,https://imagenes.feb.es/foto.aspx?c=2734950,1151
SÚPER AGROPAL PALENCIA,11,0,M. Rodriguez Barrientos,11:05,4,0,2,0.0,1,1,100.0,1,3,33.3,1,2,50.0,0,1,1,0,0,0,0,0,0,0,1,2,3,1376540,https://imagenes.feb.es/foto.aspx?c=1376540,665
SÚPER AGROPAL PALENCIA,13,1,J. Vrankic,25:10,12,4,10,40.0,0,3,0.0,4,13,30.8,4,7,57.1,5,1,6,0,0,2,0,0,0,3,5,-15,10,2640789,https://imagenes.feb.es/foto.aspx?c=2640789,1510
SÚPER AGROPAL PALENCIA,15,0,J. Gonzalez Calvo,09:05,4,2,2,100.0,0,0,0.0,2,2,100.0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,0,14,4,1382607,https://imagenes.feb.es/foto.aspx?c=1382607,545
SÚPER AGROPAL PALENCIA,17,1,M. Armus,18:39,2,1,4,25.0,0,0,0.0,1,4,25.0,0,5,0.0,3,3,6,0,2,0,1,1,0,2,3,-17,0,2818672,https://imagenes.feb.es/foto.aspx?c=2818672,1119
SÚPER AGROPAL PALENCIA,31,0,S. Ugochukwu,09:51,4,2,8,25.0,0,0,0.0,2,8,25.0,0,1,0.0,3,1,4,0,1,0,0,2,0,2,1,-7,-1,2738742,https://imagenes.feb.es/foto.aspx?c=2738742,591
INVEREADY GIPUZKOA,0,0,A. Ngom,20:35,5,2,4,50.0,0,0,0.0,2,4,50.0,1,2,50.0,1,6,7,0,2,0,1,0,0,4,1,8,5,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,1235
INVEREADY GIPUZKOA,2,0,O. Hanzlik,18:49,3,0,0,0.0,1,7,14.3,1,7,14.3,0,0,0.0,2,3,5,0,0,1,0,0,0,2,0,1,1,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,1129
INVEREADY GIPUZKOA,4,0,E. Martinez Cendon,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2303399,https://imagenes.feb.es/foto.aspx?c=2303399,0
INVEREADY GIPUZKOA,6,0,A. Zubizarreta Aranbarri,03:26,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,5,0,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,206
INVEREADY GIPUZKOA,9,1,M. Motos Cabodevilla,18:48,5,1,2,50.0,1,3,33.3,2,5,40.0,0,0,0.0,1,4,5,1,4,0,0,0,0,3,0,3,1,1447983,https://imagenes.feb.es/foto.aspx?c=1447983,1128
INVEREADY GIPUZKOA,10,0,M. Ansorregui Deba,24:43,14,3,7,42.9,2,2,100.0,5,9,55.6,2,2,100.0,2,5,7,0,0,0,0,1,0,2,1,-2,16,2082685,https://imagenes.feb.es/foto.aspx?c=2082685,1483
INVEREADY GIPUZKOA,11,0,G. Maiza Apecechea,18:59,4,0,2,0.0,1,4,25.0,1,6,16.7,1,1,100.0,1,1,2,4,1,1,0,0,0,2,1,0,4,1822814,https://imagenes.feb.es/foto.aspx?c=1822814,1139
INVEREADY GIPUZKOA,12,1,J. Nicolau Aledon,15:24,4,2,3,66.7,0,0,0.0,2,3,66.7,0,0,0.0,1,0,1,0,1,0,2,0,0,4,4,8,5,1988355,https://imagenes.feb.es/foto.aspx?c=1988355,924
INVEREADY GIPUZKOA,13,1,T. Mcghie,29:15,5,2,2,100.0,0,5,0.0,2,7,28.6,1,1,100.0,0,4,4,1,4,0,1,0,0,3,2,14,1,2814207,https://imagenes.feb.es/foto.aspx?c=2814207,1755
INVEREADY GIPUZKOA,22,1,G. Korsantia,18:34,14,4,6,66.7,0,1,0.0,4,7,57.1,6,6,100.0,3,4,7,1,1,1,0,1,0,4,5,13,20,2813562,https://imagenes.feb.es/foto.aspx?c=2813562,1114
INVEREADY GIPUZKOA,24,1,I. Arroyo Varela,31:27,22,3,4,75.0,4,9,44.4,7,13,53.8,4,5,80.0,3,3,6,5,1,3,0,0,0,1,3,10,30,2275973,https://imagenes.feb.es/foto.aspx?c=2275973,1887
