Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FIBWI MALLORCA BASQUET PALMA ,0,0,A. Scariolo Ares,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843906,https://imagenes.feb.es/foto.aspx?c=1843906,0
FIBWI MALLORCA BASQUET PALMA ,1,0,L. Smith,15:23,7,3,5,60.0,0,0,0.0,3,5,60.0,1,1,100.0,1,2,3,0,0,0,2,0,0,2,1,9,9,2788739,https://imagenes.feb.es/foto.aspx?c=2788739,923
FIBWI MALLORCA BASQUET PALMA ,5,0,L. Menuge,11:44,5,0,1,0.0,1,1,100.0,1,2,50.0,2,2,100.0,0,0,0,0,0,0,0,0,0,1,1,-5,4,2838797,https://imagenes.feb.es/foto.aspx?c=2838797,704
FIBWI MALLORCA BASQUET PALMA ,6,1,J. Bocca,21:40,7,0,0,0.0,1,3,33.3,1,3,33.3,4,6,66.7,1,1,2,2,2,2,0,0,0,3,5,-13,9,2821058,https://imagenes.feb.es/foto.aspx?c=2821058,1300
FIBWI MALLORCA BASQUET PALMA ,13,1,O. Matulionis,31:47,8,1,1,100.0,2,5,40.0,3,6,50.0,0,0,0.0,0,5,5,3,1,1,0,0,0,2,1,-7,12,2027826,https://imagenes.feb.es/foto.aspx?c=2027826,1907
FIBWI MALLORCA BASQUET PALMA ,15,0,O. Siquier Costa,00:36,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,2008018,https://imagenes.feb.es/foto.aspx?c=2008018,36
FIBWI MALLORCA BASQUET PALMA ,23,1,J. Aramburu Lamy,29:14,10,2,3,66.7,2,3,66.7,4,6,66.7,0,4,0.0,1,3,4,0,1,3,0,0,0,3,2,-4,9,1509876,https://imagenes.feb.es/foto.aspx?c=1509876,1754
FIBWI MALLORCA BASQUET PALMA ,24,1,L. Capalbo,21:15,13,4,5,80.0,1,5,20.0,5,10,50.0,2,2,100.0,0,3,3,6,4,1,0,0,0,5,2,2,11,2818075,https://imagenes.feb.es/foto.aspx?c=2818075,1275
FIBWI MALLORCA BASQUET PALMA ,30,0,J. Martinez Cabezudo,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241485,https://imagenes.feb.es/foto.aspx?c=1241485,0
FIBWI MALLORCA BASQUET PALMA ,33,0,L. Bracey,19:51,16,1,1,100.0,1,3,33.3,2,4,50.0,11,13,84.6,0,2,2,4,2,1,0,0,0,4,8,-1,21,2583212,https://imagenes.feb.es/foto.aspx?c=2583212,1191
FIBWI MALLORCA BASQUET PALMA ,44,0,B. Vazquez Arraiza,25:01,10,2,2,100.0,1,7,14.3,3,9,33.3,3,3,100.0,0,0,0,0,1,0,0,1,0,2,1,-2,2,2783882,https://imagenes.feb.es/foto.aspx?c=2783882,1501
FIBWI MALLORCA BASQUET PALMA ,99,1,P. Bombino Parada,23:29,10,5,6,83.3,0,0,0.0,5,6,83.3,0,0,0.0,0,2,2,1,4,2,1,0,0,2,3,-14,12,2819257,https://imagenes.feb.es/foto.aspx?c=2819257,1409
SÚPER AGROPAL PALENCIA,2,0,A. Wintering,17:47,6,3,5,60.0,0,0,0.0,3,5,60.0,0,0,0.0,0,0,0,4,3,2,0,0,0,2,2,3,7,2276415,https://imagenes.feb.es/foto.aspx?c=2276415,1067
