Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
HESTIA MENORCA,0,1,E. Vicedo Ayala,30:40,12,0,0,0.0,4,6,66.7,4,6,66.7,0,0,0.0,0,2,2,2,0,0,0,0,0,3,0,-6,11,1715117,https://imagenes.feb.es/foto.aspx?c=1715117,1840
HESTIA MENORCA,1,0,J. Cone,21:20,19,3,4,75.0,4,8,50.0,7,12,58.3,1,1,100.0,2,1,3,2,1,1,0,0,0,3,5,-10,21,2785180,https://imagenes.feb.es/foto.aspx?c=2785180,1280
HESTIA MENORCA,3,0,N. Galette,10:35,2,1,2,50.0,0,2,0.0,1,4,25.0,0,0,0.0,1,2,3,0,1,1,0,0,1,0,0,-7,2,2820270,https://imagenes.feb.es/foto.aspx?c=2820270,635
HESTIA MENORCA,8,0,F. Schott,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2662856,https://imagenes.feb.es/foto.aspx?c=2662856,0
HESTIA MENORCA,10,1,F. Zurbriggen,19:47,10,3,5,60.0,0,1,0.0,3,6,50.0,4,4,100.0,0,2,2,1,0,0,1,1,0,2,5,3,14,2446720,https://imagenes.feb.es/foto.aspx?c=2446720,1187
HESTIA MENORCA,11,0,S. Littleson,24:50,14,4,6,66.7,2,6,33.3,6,12,50.0,0,0,0.0,0,0,0,5,2,2,0,0,0,2,1,-12,12,2650859,https://imagenes.feb.es/foto.aspx?c=2650859,1490
HESTIA MENORCA,13,0,J. Lobo Martorell,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1938697,https://imagenes.feb.es/foto.aspx?c=1938697,0
HESTIA MENORCA,21,1,T. Mcfadden,29:58,12,1,3,33.3,2,9,22.2,3,12,25.0,4,4,100.0,1,1,2,3,1,1,0,0,0,2,3,1,9,2325133,https://imagenes.feb.es/foto.aspx?c=2325133,1798
HESTIA MENORCA,23,1,E. Wembi,16:45,11,5,6,83.3,0,0,0.0,5,6,83.3,1,3,33.3,2,3,5,1,0,0,0,0,0,4,2,-5,12,2702840,https://imagenes.feb.es/foto.aspx?c=2702840,1005
HESTIA MENORCA,33,0,I. Rosa Pompido,05:49,0,0,1,0.0,0,2,0.0,0,3,0.0,0,0,0.0,1,0,1,2,1,0,0,0,0,2,1,1,-2,1535344,https://imagenes.feb.es/foto.aspx?c=1535344,349
HESTIA MENORCA,55,1,A. Sola Iddrisu,24:09,2,1,1,100.0,0,2,0.0,1,3,33.3,0,0,0.0,1,4,5,2,2,0,0,0,0,0,3,-12,8,1875914,https://imagenes.feb.es/foto.aspx?c=1875914,1449
HESTIA MENORCA,77,0,V. Arteaga Gonzalez,16:07,4,2,3,66.7,0,0,0.0,2,3,66.7,0,2,0.0,1,0,1,0,0,0,0,0,0,3,1,-3,0,1382456,https://imagenes.feb.es/foto.aspx?c=1382456,967
MOVISTAR ESTUDIANTES,1,0,A. González Pérez,09:29,7,3,4,75.0,0,0,0.0,3,4,75.0,1,1,100.0,0,1,1,0,0,0,0,0,0,0,1,4,8,2094445,https://imagenes.feb.es/foto.aspx?c=2094445,569
MOVISTAR ESTUDIANTES,6,0,L. Giovannetti,11:20,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,-1,2433615,https://imagenes.feb.es/foto.aspx?c=2433615,680
MOVISTAR ESTUDIANTES,8,0,G. Filipovic,13:54,7,1,2,50.0,1,1,100.0,2,3,66.7,2,2,100.0,0,1,1,2,0,2,0,0,0,3,3,10,11,2524266,https://imagenes.feb.es/foto.aspx?c=2524266,834
MOVISTAR ESTUDIANTES,9,0,S. Salin,10:55,2,1,1,100.0,0,3,0.0,1,4,25.0,0,0,0.0,1,2,3,1,0,0,0,0,0,3,0,-2,0,2815072,https://imagenes.feb.es/foto.aspx?c=2815072,655
MOVISTAR ESTUDIANTES,10,0,S. Garcia Calvo,15:43,5,1,3,33.3,1,2,50.0,2,5,40.0,0,0,0.0,1,0,1,5,4,0,0,0,0,1,1,8,4,1517914,https://imagenes.feb.es/foto.aspx?c=1517914,943
MOVISTAR ESTUDIANTES,11,1,J. Granger,14:03,0,0,2,0.0,0,1,0.0,0,3,0.0,0,0,0.0,0,0,0,2,0,0,0,1,0,1,0,-2,-2,2734234,https://imagenes.feb.es/foto.aspx?c=2734234,843
MOVISTAR ESTUDIANTES,15,0,T. Mc Grew,16:45,6,3,5,60.0,0,0,0.0,3,5,60.0,0,0,0.0,2,3,5,0,1,0,0,0,1,1,1,6,8,2818742,https://imagenes.feb.es/foto.aspx?c=2818742,1005
MOVISTAR ESTUDIANTES,19,0,H. Lopez Barrantes,11:25,5,2,2,100.0,0,0,0.0,2,2,100.0,1,3,33.3,2,4,6,1,1,0,0,0,0,3,4,-2,10,2032354,https://imagenes.feb.es/foto.aspx?c=2032354,685
MOVISTAR ESTUDIANTES,22,1,J. Vaulet,23:34,17,6,8,75.0,1,3,33.3,7,11,63.6,2,2,100.0,1,4,5,0,3,2,1,0,1,2,2,2,18,2818741,https://imagenes.feb.es/foto.aspx?c=2818741,1414
MOVISTAR ESTUDIANTES,24,1,L. Nwogbo,18:47,15,7,7,100.0,0,0,0.0,7,7,100.0,1,1,100.0,3,3,6,1,1,0,0,0,2,3,3,7,21,2648543,https://imagenes.feb.es/foto.aspx?c=2648543,1127
MOVISTAR ESTUDIANTES,29,1,P. Garino Gullotta ,27:07,19,5,5,100.0,1,4,25.0,6,9,66.7,6,6,100.0,0,5,5,1,0,1,0,0,0,2,4,13,25,2275135,https://imagenes.feb.es/foto.aspx?c=2275135,1627
MOVISTAR ESTUDIANTES,51,1,O. Silverio Grullon,26:58,13,2,6,33.3,2,5,40.0,4,11,36.4,3,3,100.0,1,1,2,3,0,1,0,0,0,1,2,6,13,2790189,https://imagenes.feb.es/foto.aspx?c=2790189,1618
