Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO URETA TIZONA BURGOS,5,1,M. Jackson,26:22,17,1,1,100.0,5,6,83.3,6,7,85.7,0,0,0.0,1,1,2,4,2,1,0,0,0,1,0,31,20,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,1582
GRUPO URETA TIZONA BURGOS,8,0,F. Terins,04:22,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,2,0,-1,-3,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,262
GRUPO URETA TIZONA BURGOS,10,1,A. Parrado Calabria,20:28,22,5,9,55.6,3,5,60.0,8,14,57.1,3,6,50.0,2,4,6,1,3,0,0,1,0,0,4,8,21,1787348,https://imagenes.feb.es/foto.aspx?c=1787348,1228
GRUPO URETA TIZONA BURGOS,13,1,R. Vila Soley,20:48,6,0,3,0.0,1,2,50.0,1,5,20.0,3,4,75.0,3,0,3,2,1,1,0,0,0,4,3,26,5,1572466,https://imagenes.feb.es/foto.aspx?c=1572466,1248
GRUPO URETA TIZONA BURGOS,21,0,G. Gil Garcia,11:40,5,1,4,25.0,1,2,50.0,2,6,33.3,0,0,0.0,0,1,1,1,2,2,0,1,0,5,1,13,-1,1808439,https://imagenes.feb.es/foto.aspx?c=1808439,700
GRUPO URETA TIZONA BURGOS,24,0,A. Huelves Garcia,14:56,2,1,4,25.0,0,1,0.0,1,5,20.0,0,0,0.0,2,0,2,1,0,0,0,0,0,3,2,9,0,2138600,https://imagenes.feb.es/foto.aspx?c=2138600,896
GRUPO URETA TIZONA BURGOS,25,0,J. Zidek,19:32,15,2,3,66.7,3,6,50.0,5,9,55.6,2,3,66.7,0,2,2,1,2,0,0,0,0,2,3,28,12,2736183,https://imagenes.feb.es/foto.aspx?c=2736183,1172
GRUPO URETA TIZONA BURGOS,31,0,J. Brown-Ferguson,19:12,10,4,4,100.0,0,0,0.0,4,4,100.0,2,3,66.7,1,7,8,0,1,0,0,0,2,2,2,10,16,2814907,https://imagenes.feb.es/foto.aspx?c=2814907,1152
GRUPO URETA TIZONA BURGOS,33,1,A. Alonso Cuevas,19:45,3,0,1,0.0,1,3,33.3,1,4,25.0,0,0,0.0,1,4,5,3,0,2,1,0,0,1,0,8,10,1879609,https://imagenes.feb.es/foto.aspx?c=1879609,1185
GRUPO URETA TIZONA BURGOS,35,0,R. Seoane Rodicio,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625687,https://imagenes.feb.es/foto.aspx?c=1625687,0
GRUPO URETA TIZONA BURGOS,55,1,G. Jofresa Sarret,25:02,11,2,6,33.3,2,5,40.0,4,11,36.4,1,1,100.0,2,4,6,3,2,2,0,0,0,2,3,32,14,1787363,https://imagenes.feb.es/foto.aspx?c=1787363,1502
GRUPO URETA TIZONA BURGOS,60,0,A. Alonso Ruiz,17:53,4,2,3,66.7,0,0,0.0,2,3,66.7,0,1,0.0,0,3,3,0,1,1,0,0,0,1,1,16,5,2325671,https://imagenes.feb.es/foto.aspx?c=2325671,1073
PALMER BASKET MALLORCA PALMA,0,1,H. Atencia Suarez,20:09,5,1,3,33.3,1,4,25.0,2,7,28.6,0,0,0.0,0,1,1,1,3,0,0,0,0,2,1,-39,-2,2533643,https://imagenes.feb.es/foto.aspx?c=2533643,1209
PALMER BASKET MALLORCA PALMA,7,1,D. Sanadze,22:50,12,3,9,33.3,1,6,16.7,4,15,26.7,3,3,100.0,0,1,1,0,1,1,0,1,0,2,5,-28,5,2850268,https://imagenes.feb.es/foto.aspx?c=2850268,1370
PALMER BASKET MALLORCA PALMA,8,0,A. Chapela Lage,19:51,8,1,1,100.0,2,6,33.3,3,7,42.9,0,0,0.0,0,3,3,2,2,2,0,0,0,0,0,3,9,1197937,https://imagenes.feb.es/foto.aspx?c=1197937,1191
PALMER BASKET MALLORCA PALMA,9,0,A. Urdiain Labayen,20:37,14,2,3,66.7,2,7,28.6,4,10,40.0,4,4,100.0,0,0,0,0,1,0,0,0,0,2,2,-16,7,1593686,https://imagenes.feb.es/foto.aspx?c=1593686,1237
PALMER BASKET MALLORCA PALMA,10,0,G. Dike Egun,22:00,4,0,2,0.0,1,1,100.0,1,3,33.3,1,2,50.0,1,4,5,0,1,0,0,0,0,3,2,1,4,1759354,https://imagenes.feb.es/foto.aspx?c=1759354,1320
