Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
LEYMA CORUÑA,0,0,D. Cuevas Simarro,23:03,9,0,3,0.0,2,3,66.7,2,6,33.3,3,4,75.0,0,2,2,7,3,0,0,1,0,0,4,-1,14,2557970,https://imagenes.feb.es/foto.aspx?c=2557970,1383
LEYMA CORUÑA,4,1,P. Jorgensen,21:24,18,5,8,62.5,1,5,20.0,6,13,46.2,5,6,83.3,0,4,4,3,1,1,0,0,0,3,4,21,18,2371535,https://imagenes.feb.es/foto.aspx?c=2371535,1284
LEYMA CORUÑA,5,1,G. Jou Coll,21:52,6,1,1,100.0,1,2,50.0,2,3,66.7,1,2,50.0,0,2,2,0,0,0,0,0,0,3,3,8,6,1491674,https://imagenes.feb.es/foto.aspx?c=1491674,1312
LEYMA CORUÑA,6,0,M. Braz,01:43,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,-2,0,2814191,https://imagenes.feb.es/foto.aspx?c=2814191,103
LEYMA CORUÑA,8,1,D. Radoncic,22:18,12,4,4,100.0,1,1,100.0,5,5,100.0,1,3,33.3,0,2,2,2,0,0,0,0,0,1,5,14,18,2843861,https://imagenes.feb.es/foto.aspx?c=2843861,1338
LEYMA CORUÑA,9,1,C. De Souza Pacheco,24:11,12,0,4,0.0,3,3,100.0,3,7,42.9,3,4,75.0,0,5,5,6,3,1,0,0,0,2,3,11,17,2644143,https://imagenes.feb.es/foto.aspx?c=2644143,1451
LEYMA CORUÑA,13,0,D. Brnovic,13:42,3,1,2,50.0,0,2,0.0,1,4,25.0,1,2,50.0,1,2,3,0,1,1,0,1,0,2,1,5,1,2814190,https://imagenes.feb.es/foto.aspx?c=2814190,822
LEYMA CORUÑA,21,1,I. Diop Gaye,20:51,5,1,1,100.0,0,0,0.0,1,1,100.0,3,4,75.0,2,7,9,2,3,2,2,0,0,2,2,18,16,1848359,https://imagenes.feb.es/foto.aspx?c=1848359,1251
LEYMA CORUÑA,22,0,C. Varela Romero,01:43,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,-2,-1,2039654,https://imagenes.feb.es/foto.aspx?c=2039654,103
LEYMA CORUÑA,24,0,J. Cremo,24:38,14,6,7,85.7,0,5,0.0,6,12,50.0,2,2,100.0,1,2,3,3,0,0,0,0,0,2,5,13,17,2452677,https://imagenes.feb.es/foto.aspx?c=2452677,1478
