Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
MONBUS OBRADOIRO,1,0,M. Speight,21:36,5,1,2,50.0,1,3,33.3,2,5,40.0,0,0,0.0,0,3,3,3,1,0,0,0,0,1,1,22,7,2433193,https://imagenes.feb.es/foto.aspx?c=2433193,1296
MONBUS OBRADOIRO,5,0,R. Andersson,16:45,9,1,1,100.0,1,3,33.3,2,4,50.0,4,4,100.0,2,3,5,1,0,2,1,0,0,1,3,24,18,2524084,https://imagenes.feb.es/foto.aspx?c=2524084,1005
MONBUS OBRADOIRO,7,1,F. Dos Anjos De Paula,13:05,9,3,6,50.0,0,0,0.0,3,6,50.0,3,4,75.0,2,5,7,2,0,0,1,0,1,2,4,17,17,2219665,https://imagenes.feb.es/foto.aspx?c=2219665,785
MONBUS OBRADOIRO,9,1,L. Westermann,12:47,8,2,3,66.7,1,2,50.0,3,5,60.0,1,2,50.0,0,2,2,5,2,0,0,0,0,5,1,6,6,2436780,https://imagenes.feb.es/foto.aspx?c=2436780,767
MONBUS OBRADOIRO,11,0,D. Kravic,19:08,10,5,8,62.5,0,0,0.0,5,8,62.5,0,0,0.0,1,5,6,0,0,0,1,0,0,1,1,6,14,2371461,https://imagenes.feb.es/foto.aspx?c=2371461,1148
MONBUS OBRADOIRO,16,0,A. Etxeguren Gonzalez,07:47,6,3,3,100.0,0,0,0.0,3,3,100.0,0,0,0.0,2,0,2,0,1,0,0,0,0,0,0,3,7,2082696,https://imagenes.feb.es/foto.aspx?c=2082696,467
MONBUS OBRADOIRO,23,1,Y. Barrueta,26:11,25,3,3,100.0,6,11,54.5,9,14,64.3,1,1,100.0,0,2,2,2,0,1,0,0,0,1,1,7,25,2524267,https://imagenes.feb.es/foto.aspx?c=2524267,1571
MONBUS OBRADOIRO,24,0,D. De Sousa Anjo Brito,18:21,6,1,2,50.0,1,4,25.0,2,6,33.3,1,2,50.0,1,2,3,2,0,0,1,0,0,2,1,12,6,2528063,https://imagenes.feb.es/foto.aspx?c=2528063,1101
MONBUS OBRADOIRO,25,0,S. Quintela Salvador,14:34,9,3,4,75.0,0,3,0.0,3,7,42.9,3,4,75.0,0,1,1,2,1,2,0,0,0,2,3,24,9,2220063,https://imagenes.feb.es/foto.aspx?c=2220063,874
MONBUS OBRADOIRO,28,1,A. Barcello,23:50,14,4,5,80.0,1,4,25.0,5,9,55.6,3,3,100.0,1,1,2,7,1,2,0,0,0,3,4,8,21,2640794,https://imagenes.feb.es/foto.aspx?c=2640794,1430
