Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO CAESA SEGUROS FC CARTAGENA CB,0,1,J. Davis,29:49,14,6,9,66.7,0,2,0.0,6,11,54.5,2,8,25.0,0,3,3,4,3,0,1,0,0,4,5,-11,9,2371571,https://imagenes.feb.es/foto.aspx?c=2371571,1789
GRUPO CAESA SEGUROS FC CARTAGENA CB,1,0,C. Polynice,07:32,6,3,5,60.0,0,1,0.0,3,6,50.0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,0,1,3,2862304,https://imagenes.feb.es/foto.aspx?c=2862304,452
GRUPO CAESA SEGUROS FC CARTAGENA CB,2,0,A. Garuba Alari,07:33,5,1,1,100.0,1,2,50.0,2,3,66.7,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,3,4,2159336,https://imagenes.feb.es/foto.aspx?c=2159336,453
GRUPO CAESA SEGUROS FC CARTAGENA CB,4,1,I. Rivera Carroll,18:34,2,1,2,50.0,0,1,0.0,1,3,33.3,0,0,0.0,0,5,5,2,2,0,0,0,0,2,1,-6,4,2816796,https://imagenes.feb.es/foto.aspx?c=2816796,1114
GRUPO CAESA SEGUROS FC CARTAGENA CB,5,0,A. Martin Marin,13:57,0,0,2,0.0,0,2,0.0,0,4,0.0,0,0,0.0,1,1,2,2,0,3,0,0,0,1,0,2,2,1384223,https://imagenes.feb.es/foto.aspx?c=1384223,837
GRUPO CAESA SEGUROS FC CARTAGENA CB,10,1,K. Webster,23:18,2,1,6,16.7,0,1,0.0,1,7,14.3,0,0,0.0,0,2,2,2,1,3,0,1,0,3,1,-9,0,2862296,https://imagenes.feb.es/foto.aspx?c=2862296,1398
GRUPO CAESA SEGUROS FC CARTAGENA CB,11,1,E. Idehen Idehen,13:57,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,1,1,0,0,1,0,0,1,1,0,-8,2,2525411,https://imagenes.feb.es/foto.aspx?c=2525411,837
GRUPO CAESA SEGUROS FC CARTAGENA CB,12,1,A. Domenech Fontana,25:32,9,4,4,100.0,0,2,0.0,4,6,66.7,1,1,100.0,2,6,8,0,2,0,0,0,1,1,4,-10,16,1923881,https://imagenes.feb.es/foto.aspx?c=1923881,1532
GRUPO CAESA SEGUROS FC CARTAGENA CB,13,0,V. Faverani Tatsch,25:39,18,5,7,71.4,0,3,0.0,5,10,50.0,8,10,80.0,0,10,10,0,4,0,0,0,1,4,7,4,20,2820135,https://imagenes.feb.es/foto.aspx?c=2820135,1539
GRUPO CAESA SEGUROS FC CARTAGENA CB,15,0,M. Ayesa Rodriguez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2736779,https://imagenes.feb.es/foto.aspx?c=2736779,0
