Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
PALMER BASKET MALLORCA PALMA,0,1,H. Atencia Suarez,22:21,4,1,2,50.0,0,5,0.0,1,7,14.3,2,2,100.0,0,2,2,2,4,0,0,0,0,5,3,-51,-4,2533643,https://imagenes.feb.es/foto.aspx?c=2533643,1341
PALMER BASKET MALLORCA PALMA,1,0,D. Agbelese ,06:24,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,3,1,-11,-2,2093770,https://imagenes.feb.es/foto.aspx?c=2093770,384
PALMER BASKET MALLORCA PALMA,7,1,D. Sanadze,25:13,2,1,3,33.3,0,6,0.0,1,9,11.1,0,0,0.0,1,2,3,0,4,0,0,0,0,4,1,-30,-10,2850268,https://imagenes.feb.es/foto.aspx?c=2850268,1513
PALMER BASKET MALLORCA PALMA,8,0,A. Chapela Lage,17:39,6,0,3,0.0,2,3,66.7,2,6,33.3,0,0,0.0,1,0,1,3,0,1,1,0,0,0,1,-19,9,1197937,https://imagenes.feb.es/foto.aspx?c=1197937,1059
PALMER BASKET MALLORCA PALMA,9,0,A. Urdiain Labayen,21:16,9,0,1,0.0,3,9,33.3,3,10,30.0,0,0,0.0,1,1,2,0,1,0,0,1,0,1,0,-33,2,1593686,https://imagenes.feb.es/foto.aspx?c=1593686,1276
PALMER BASKET MALLORCA PALMA,10,0,G. Dike Egun,21:22,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.0,1,0,1,4,3,0,1,0,0,3,2,-39,0,1759354,https://imagenes.feb.es/foto.aspx?c=1759354,1282
PALMER BASKET MALLORCA PALMA,12,1,J. Carralero Martin,11:53,2,0,1,0.0,0,2,0.0,0,3,0.0,2,2,100.0,0,1,1,0,1,2,0,1,0,5,3,-18,-1,1591996,https://imagenes.feb.es/foto.aspx?c=1591996,713
PALMER BASKET MALLORCA PALMA,15,0,J. Feliu Espejo,11:41,6,3,4,75.0,0,2,0.0,3,6,50.0,0,0,0.0,0,0,0,0,2,1,0,0,0,2,0,-32,0,1688669,https://imagenes.feb.es/foto.aspx?c=1688669,701
PALMER BASKET MALLORCA PALMA,22,1,N. Camacho De Sá,19:37,9,2,3,66.7,0,3,0.0,2,6,33.3,5,6,83.3,3,2,5,0,2,1,0,1,0,0,3,-41,11,2815273,https://imagenes.feb.es/foto.aspx?c=2815273,1177
PALMER BASKET MALLORCA PALMA,23,0,J. Roberts,13:13,5,2,4,50.0,0,0,0.0,2,4,50.0,1,1,100.0,0,3,3,0,2,0,0,1,2,1,1,-15,4,2860169,https://imagenes.feb.es/foto.aspx?c=2860169,793
