Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO URETA TIZONA BURGOS,5,1,M. Jackson,28:16,6,3,5,60.0,0,5,0.0,3,10,30.0,0,0,0.0,2,1,3,3,1,0,0,0,0,3,1,-13,2,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,1696
GRUPO URETA TIZONA BURGOS,8,0,F. Terins,10:03,6,0,1,0.0,1,3,33.3,1,4,25.0,3,3,100.0,1,0,1,1,0,1,0,0,0,0,1,-5,7,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,603
GRUPO URETA TIZONA BURGOS,10,1,A. Parrado Calabria,19:55,0,0,1,0.0,0,3,0.0,0,4,0.0,0,0,0.0,2,6,8,1,1,2,0,0,0,4,2,-8,4,1787348,https://imagenes.feb.es/foto.aspx?c=1787348,1195
GRUPO URETA TIZONA BURGOS,13,1,R. Vila Soley,24:18,12,6,8,75.0,0,1,0.0,6,9,66.7,0,0,0.0,0,2,2,1,4,3,0,0,2,4,1,-3,8,1572466,https://imagenes.feb.es/foto.aspx?c=1572466,1458
GRUPO URETA TIZONA BURGOS,21,1,G. Gil Garcia,25:13,12,4,6,66.7,1,4,25.0,5,10,50.0,1,2,50.0,1,4,5,3,3,0,1,0,1,2,2,-11,12,1808439,https://imagenes.feb.es/foto.aspx?c=1808439,1513
GRUPO URETA TIZONA BURGOS,24,0,A. Huelves Garcia,09:37,2,1,4,25.0,0,2,0.0,1,6,16.7,0,0,0.0,1,0,1,0,2,0,0,1,0,0,3,-6,-1,2138600,https://imagenes.feb.es/foto.aspx?c=2138600,577
GRUPO URETA TIZONA BURGOS,25,0,J. Zidek,21:17,8,2,3,66.7,1,3,33.3,3,6,50.0,1,1,100.0,2,2,4,1,1,0,0,0,0,1,2,-11,10,2736183,https://imagenes.feb.es/foto.aspx?c=2736183,1277
GRUPO URETA TIZONA BURGOS,31,0,J. Brown-Ferguson,14:30,3,1,1,100.0,0,0,0.0,1,1,100.0,1,1,100.0,1,1,2,0,1,0,2,0,1,2,1,-4,5,2814907,https://imagenes.feb.es/foto.aspx?c=2814907,870
GRUPO URETA TIZONA BURGOS,33,0,A. Alonso Cuevas,14:28,2,1,1,100.0,0,1,0.0,1,2,50.0,0,1,0.0,0,0,0,3,1,1,0,0,0,2,1,-4,2,1879609,https://imagenes.feb.es/foto.aspx?c=1879609,868
GRUPO URETA TIZONA BURGOS,35,0,R. Seoane Rodicio,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625687,https://imagenes.feb.es/foto.aspx?c=1625687,0
GRUPO URETA TIZONA BURGOS,55,1,G. Jofresa Sarret,20:42,9,2,2,100.0,1,5,20.0,3,7,42.9,2,2,100.0,2,1,3,3,2,2,0,0,0,1,2,-9,12,1787363,https://imagenes.feb.es/foto.aspx?c=1787363,1242
GRUPO URETA TIZONA BURGOS,60,0,A. Alonso Ruiz,11:41,12,1,3,33.3,3,4,75.0,4,7,57.1,1,2,50.0,1,1,2,1,1,0,0,0,0,2,3,9,11,2325671,https://imagenes.feb.es/foto.aspx?c=2325671,701
HLA ALICANTE,3,0,U. Mendicote Rubio,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869378,https://imagenes.feb.es/foto.aspx?c=1869378,0
HLA ALICANTE,4,0,S. Ceccardi,12:31,2,0,2,0.0,0,1,0.0,0,3,0.0,2,3,66.7,0,0,0,2,3,0,0,1,0,3,1,0,-5,2787126,https://imagenes.feb.es/foto.aspx?c=2787126,751
HLA ALICANTE,8,0,J. Mwema,24:01,10,0,0,0.0,2,5,40.0,2,5,40.0,4,4,100.0,0,2,2,1,2,1,0,0,0,2,2,13,9,2734619,https://imagenes.feb.es/foto.aspx?c=2734619,1441
HLA ALICANTE,12,0,B. Coulibaly,13:58,8,4,4,100.0,0,0,0.0,4,4,100.0,0,0,0.0,0,6,6,0,1,0,1,0,2,4,1,3,11,2818653,https://imagenes.feb.es/foto.aspx?c=2818653,838
HLA ALICANTE,13,1,K. Larsen,25:57,19,4,10,40.0,0,2,0.0,4,12,33.3,11,11,100.0,4,2,6,2,0,0,0,0,0,1,5,10,23,2433482,https://imagenes.feb.es/foto.aspx?c=2433482,1557
HLA ALICANTE,14,1,I. Tamba Villen,08:34,2,1,3,33.3,0,1,0.0,1,4,25.0,0,0,0.0,3,1,4,0,0,0,0,0,0,1,0,-2,2,1997161,https://imagenes.feb.es/foto.aspx?c=1997161,514
