Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FLEXICAR FUENLABRADA,0,0,I. Aurrecoechea Alcolado,15:44,6,2,5,40.0,0,0,0.0,2,5,40.0,2,3,66.7,1,0,1,2,3,0,1,0,0,0,2,4,5,1384981,https://imagenes.feb.es/foto.aspx?c=1384981,944
FLEXICAR FUENLABRADA,7,1,M. Diaz,28:00,17,5,8,62.5,2,4,50.0,7,12,58.3,1,1,100.0,0,5,5,1,2,2,0,1,0,1,5,3,22,2736767,https://imagenes.feb.es/foto.aspx?c=2736767,1680
FLEXICAR FUENLABRADA,8,1,V. Alves Benite ,31:32,12,4,4,100.0,1,7,14.3,5,11,45.5,1,1,100.0,0,0,0,3,4,3,0,0,0,3,0,-4,5,2157874,https://imagenes.feb.es/foto.aspx?c=2157874,1892
FLEXICAR FUENLABRADA,11,1,D. Manchon Crespo,23:37,21,7,7,100.0,2,3,66.7,9,10,90.0,1,6,16.7,1,2,3,3,1,4,0,0,0,3,5,9,26,1710454,https://imagenes.feb.es/foto.aspx?c=1710454,1417
FLEXICAR FUENLABRADA,12,0,P. Suárez Custodio,01:35,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,-4,-2,2559072,https://imagenes.feb.es/foto.aspx?c=2559072,95
FLEXICAR FUENLABRADA,15,0,P. Rodriguez Pascual,00:10,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992879,https://imagenes.feb.es/foto.aspx?c=1992879,10
FLEXICAR FUENLABRADA,21,0,D. Stolbetskiy,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2736363,https://imagenes.feb.es/foto.aspx?c=2736363,0
FLEXICAR FUENLABRADA,22,1,B. De Bisschop,23:19,6,3,3,100.0,0,0,0.0,3,3,100.0,0,2,0.0,0,3,3,1,2,0,0,0,1,2,0,1,4,2703151,https://imagenes.feb.es/foto.aspx?c=2703151,1399
FLEXICAR FUENLABRADA,30,0,P. Rigot,20:30,4,1,3,33.3,0,0,0.0,1,3,33.3,2,2,100.0,1,3,4,0,1,0,0,1,0,2,1,-3,4,2820729,https://imagenes.feb.es/foto.aspx?c=2820729,1230
FLEXICAR FUENLABRADA,32,0,G. Renfroe,23:57,2,0,0,0.0,0,2,0.0,0,2,0.0,2,2,100.0,0,1,1,5,1,2,0,0,0,3,3,12,7,2236015,https://imagenes.feb.es/foto.aspx?c=2236015,1437
FLEXICAR FUENLABRADA,35,1,J. Belemene-Dzabatou,23:39,1,0,2,0.0,0,5,0.0,0,7,0.0,1,2,50.0,2,6,8,1,2,0,0,0,0,2,1,17,-1,2820728,https://imagenes.feb.es/foto.aspx?c=2820728,1419
FLEXICAR FUENLABRADA,88,0,J. Kasibabu Shilala,07:57,4,2,3,66.7,0,1,0.0,2,4,50.0,0,0,0.0,1,1,2,0,1,0,0,0,0,0,0,-5,3,2820727,https://imagenes.feb.es/foto.aspx?c=2820727,477
SÚPER AGROPAL PALENCIA,2,0,A. Wintering,25:16,12,4,5,80.0,1,2,50.0,5,7,71.4,1,1,100.0,1,4,5,6,3,2,0,0,0,2,3,4,21,2276415,https://imagenes.feb.es/foto.aspx?c=2276415,1516
