Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO CAESA SEGUROS FC CARTAGENA CB,0,1,J. Davis,27:35,5,1,6,16.7,0,2,0.0,1,8,12.5,3,4,75.0,1,1,2,4,1,1,1,0,0,2,2,16,4,2371571,https://imagenes.feb.es/foto.aspx?c=2371571,1655
GRUPO CAESA SEGUROS FC CARTAGENA CB,1,0,C. Polynice,03:38,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,-8,0,2862304,https://imagenes.feb.es/foto.aspx?c=2862304,218
GRUPO CAESA SEGUROS FC CARTAGENA CB,2,0,A. Garuba Alari,08:07,3,0,2,0.0,1,3,33.3,1,5,20.0,0,0,0.0,2,0,2,0,0,0,0,1,0,1,1,0,1,2159336,https://imagenes.feb.es/foto.aspx?c=2159336,487
GRUPO CAESA SEGUROS FC CARTAGENA CB,4,0,I. Rivera Carroll,13:24,7,1,2,50.0,1,3,33.3,2,5,40.0,2,4,50.0,1,1,2,0,1,1,0,1,0,0,2,-10,6,2816796,https://imagenes.feb.es/foto.aspx?c=2816796,804
GRUPO CAESA SEGUROS FC CARTAGENA CB,5,0,A. Martin Marin,19:55,4,2,2,100.0,0,1,0.0,2,3,66.7,0,0,0.0,0,2,2,3,0,0,0,0,0,4,2,-6,6,1384223,https://imagenes.feb.es/foto.aspx?c=1384223,1195
GRUPO CAESA SEGUROS FC CARTAGENA CB,10,1,K. Webster,19:54,7,2,3,66.7,1,4,25.0,3,7,42.9,0,0,0.0,0,0,0,4,1,0,0,0,0,2,0,-5,4,2862296,https://imagenes.feb.es/foto.aspx?c=2862296,1194
GRUPO CAESA SEGUROS FC CARTAGENA CB,11,1,E. Idehen Idehen,18:09,3,1,4,25.0,0,0,0.0,1,4,25.0,1,1,100.0,3,2,5,1,0,1,0,0,0,5,2,12,4,2525411,https://imagenes.feb.es/foto.aspx?c=2525411,1089
GRUPO CAESA SEGUROS FC CARTAGENA CB,12,1,A. Domenech Fontana,19:09,5,0,1,0.0,0,3,0.0,0,4,0.0,5,6,83.3,1,4,5,2,2,1,0,1,0,3,3,2,6,1923881,https://imagenes.feb.es/foto.aspx?c=1923881,1149
GRUPO CAESA SEGUROS FC CARTAGENA CB,13,0,V. Faverani Tatsch,21:51,18,5,10,50.0,2,5,40.0,7,15,46.7,2,2,100.0,4,5,9,0,0,1,2,0,0,0,5,-21,27,2820135,https://imagenes.feb.es/foto.aspx?c=2820135,1311
GRUPO CAESA SEGUROS FC CARTAGENA CB,15,0,M. Ayesa Rodriguez,10:23,8,1,1,100.0,2,4,50.0,3,5,60.0,0,0,0.0,0,0,0,0,0,3,0,0,0,1,0,-3,8,2736779,https://imagenes.feb.es/foto.aspx?c=2736779,623
