Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
CLUB OURENSE BALONCESTO,3,1,K. Smith,20:26,3,0,3,0.0,1,1,100.0,1,4,25.0,0,0,0.0,1,2,3,1,0,2,1,0,0,1,2,-7,8,2819338,https://imagenes.feb.es/foto.aspx?c=2819338,1226
CLUB OURENSE BALONCESTO,9,0,C. Okanu,22:56,11,5,9,55.6,0,0,0.0,5,9,55.6,1,4,25.0,5,1,6,0,0,0,0,0,1,3,2,-11,9,2819330,https://imagenes.feb.es/foto.aspx?c=2819330,1376
CLUB OURENSE BALONCESTO,10,0,I. Vazquez Perez,15:10,7,1,2,50.0,0,0,0.0,1,2,50.0,5,6,83.3,0,2,2,3,0,0,0,0,0,1,4,-7,13,1778999,https://imagenes.feb.es/foto.aspx?c=1778999,910
CLUB OURENSE BALONCESTO,11,0,M. Fernandez Carballo,08:59,12,3,3,100.0,1,1,100.0,4,4,100.0,3,4,75.0,0,1,1,1,0,0,0,0,0,1,2,-6,14,1886852,https://imagenes.feb.es/foto.aspx?c=1886852,539
CLUB OURENSE BALONCESTO,12,0,S. Huguet Carrasco,11:17,3,0,1,0.0,1,1,100.0,1,2,50.0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,1,-3,5,1765084,https://imagenes.feb.es/foto.aspx?c=1765084,677
CLUB OURENSE BALONCESTO,22,1,G. Kalscheur,18:36,2,0,2,0.0,0,5,0.0,0,7,0.0,2,2,100.0,0,2,2,2,1,0,0,0,0,1,3,-9,0,2819327,https://imagenes.feb.es/foto.aspx?c=2819327,1116
CLUB OURENSE BALONCESTO,23,0,D. Saraiva Seixas,13:01,3,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,1,0,0,0,0,0,1,1,-7,5,2819332,https://imagenes.feb.es/foto.aspx?c=2819332,781
CLUB OURENSE BALONCESTO,24,1,S. Mc Donnell,21:46,4,1,2,50.0,0,0,0.0,1,2,50.0,2,2,100.0,2,0,2,0,2,1,0,0,0,3,4,-1,5,2781800,https://imagenes.feb.es/foto.aspx?c=2781800,1306
CLUB OURENSE BALONCESTO,27,0,M. Iglesias Fernandez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863291,https://imagenes.feb.es/foto.aspx?c=1863291,0
CLUB OURENSE BALONCESTO,28,1,R. Dias Marques Lisboa Santos,26:53,21,6,8,75.0,2,5,40.0,8,13,61.5,3,4,75.0,0,4,4,2,1,0,0,0,0,1,1,-7,20,2650871,https://imagenes.feb.es/foto.aspx?c=2650871,1613
CLUB OURENSE BALONCESTO,35,1,R. Gill,16:53,4,2,5,40.0,0,0,0.0,2,5,40.0,0,0,0.0,2,1,3,0,2,1,1,0,0,3,0,1,1,2654188,https://imagenes.feb.es/foto.aspx?c=2654188,1013
CLUB OURENSE BALONCESTO,41,0,C. Jürgens,24:03,7,1,8,12.5,0,3,0.0,1,11,9.1,5,6,83.3,0,1,1,1,1,0,1,2,0,1,4,-3,1,2819335,https://imagenes.feb.es/foto.aspx?c=2819335,1443
INVEREADY GIPUZKOA,0,0,A. Ngom,16:41,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,6,6,0,2,0,1,0,1,3,2,-3,6,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,1001
INVEREADY GIPUZKOA,1,0,J. Tate,20:01,16,4,5,80.0,2,3,66.7,6,8,75.0,2,4,50.0,2,0,2,7,0,1,0,0,0,2,2,13,22,2862573,https://imagenes.feb.es/foto.aspx?c=2862573,1201
INVEREADY GIPUZKOA,2,0,O. Hanzlik,26:44,17,2,3,66.7,4,6,66.7,6,9,66.7,1,2,50.0,2,2,4,0,1,0,1,0,1,3,1,10,15,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,1604
INVEREADY GIPUZKOA,6,0,A. Zubizarreta Aranbarri,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,0
INVEREADY GIPUZKOA,9,1,M. Motos Cabodevilla,17:38,2,1,2,50.0,0,2,0.0,1,4,25.0,0,0,0.0,0,2,2,1,1,0,0,0,0,3,1,6,-1,1447983,https://imagenes.feb.es/foto.aspx?c=1447983,1058
INVEREADY GIPUZKOA,10,0,M. Ansorregui Deba,32:10,17,5,7,71.4,2,3,66.7,7,10,70.0,1,2,50.0,2,4,6,0,0,1,0,0,0,2,1,11,19,2082685,https://imagenes.feb.es/foto.aspx?c=2082685,1930
INVEREADY GIPUZKOA,11,0,G. Maiza Apecechea,20:08,6,1,1,100.0,1,3,33.3,2,4,50.0,1,2,50.0,0,2,2,3,3,0,0,0,0,1,2,10,6,1822814,https://imagenes.feb.es/foto.aspx?c=1822814,1208
INVEREADY GIPUZKOA,12,1,J. Nicolau Aledon,15:34,10,4,7,57.1,0,0,0.0,4,7,57.1,2,3,66.7,2,1,3,2,1,0,0,0,1,2,3,11,11,1988355,https://imagenes.feb.es/foto.aspx?c=1988355,934
INVEREADY GIPUZKOA,13,1,T. Mcghie,15:37,4,0,2,0.0,1,2,50.0,1,4,25.0,1,1,100.0,0,0,0,0,0,1,0,0,0,2,0,-5,0,2814207,https://imagenes.feb.es/foto.aspx?c=2814207,937
INVEREADY GIPUZKOA,22,1,G. Korsantia,15:35,10,4,7,57.1,0,0,0.0,4,7,57.1,2,4,50.0,3,3,6,2,2,1,0,2,0,4,4,5,12,2813562,https://imagenes.feb.es/foto.aspx?c=2813562,935
